trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.18425874412059784
trial_1	placebo	17	KG00097991	Asthenia NOS	0.11261288821697235
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10464248806238174
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.10013558715581894
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09511763602495193
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.0931316614151001
trial_1	placebo	9	KG00098432	Confusion NOS	0.08540791273117065
trial_1	placebo	21	KG00098675	dyspnoea	0.08275686949491501
trial_1	placebo	123	KG00099351	hypokalaemia	0.07956940680742264
trial_1	placebo	46	KG00099121	Headache NOS	0.07692620903253555
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.07191614806652069
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07033608108758926
trial_1	placebo	20	KG00098540	dehydration	0.06935378909111023
trial_1	placebo	14	KG00097852	Anemia NOS	0.06879058480262756
trial_1	placebo	85	KG00098474	coughs	0.06750815361738205
trial_1	placebo	114	KG00098933	fevers	0.06516123563051224
trial_1	placebo	228	KG00114657	Weight below normal	0.06291396915912628
trial_1	placebo	68	KG00099901	nauseas	0.0621173121035099
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05915350094437599
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.05584394186735153
trial_1	placebo	49	KG00099902	nausea with vomiting	0.0540597066283226
trial_1	placebo	126	KG00100076	Pain NOS	0.05212626978754997
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04962370917201042
trial_1	placebo	77	KG00098450	Constipation NOS	0.04859963431954384
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.047419045120477676
trial_1	placebo	86	KG00098565	Depression, Mental	0.047065235674381256
trial_1	placebo	72	KG00103771	myalgias	0.047006361186504364
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.04654676839709282
