trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.11826475709676743
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.09138642251491547
trial_1	placebo	9	KG00098432	Confusion NOS	0.08752766996622086
trial_1	placebo	46	KG00099121	Headache NOS	0.0711083859205246
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06862771511077881
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.0671510174870491
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06579482555389404
trial_1	placebo	17	KG00097991	Asthenia NOS	0.06224631518125534
trial_1	placebo	21	KG00098675	dyspnoea	0.06173759326338768
trial_1	placebo	68	KG00099901	nauseas	0.05927501618862152
trial_1	placebo	123	KG00099351	hypokalaemia	0.059079695492982864
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.05355696752667427
trial_1	placebo	49	KG00099902	nausea with vomiting	0.05345866456627846
trial_1	placebo	20	KG00098540	dehydration	0.051649030297994614
trial_1	placebo	77	KG00098450	Constipation NOS	0.04949513450264931
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04583491012454033
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.045470576733350754
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.04255354776978493
trial_1	placebo	228	KG00114657	Weight below normal	0.040680576115846634
trial_1	placebo	14	KG00097852	Anemia NOS	0.04001462459564209
trial_1	placebo	126	KG00100076	Pain NOS	0.03979715332388878
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.03850903362035751
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.03638051077723503
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03514837101101875
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.034884653985500336
trial_1	placebo	114	KG00098933	fevers	0.034443169832229614
trial_1	placebo	85	KG00098474	coughs	0.03423495590686798
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.03320090100169182
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03161536529660225
trial_1	placebo	350	KG00106765	decreased platelet count	0.0314738005399704
trial_1	placebo	29	KG00099354	hyponatraemia	0.031131891533732414
trial_1	placebo	101	KG00097901	Anorexia NOS	0.030426908284425735
trial_1	placebo	147	KG00098000	atelectases	0.029063411056995392
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.028731752187013626
trial_1	placebo	72	KG00103771	myalgias	0.02866082452237606
trial_1	placebo	5	KG00099169	haematuria	0.028596440330147743
trial_1	placebo	96	KG00101679	Unattended death NOS	0.02816895954310894
