trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.3895116150379181
trial_1	placebo	17	KG00097991	Asthenia NOS	0.1936376839876175
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.19194282591342926
trial_1	placebo	20	KG00098540	dehydration	0.17390814423561096
trial_1	placebo	123	KG00099351	hypokalaemia	0.17323726415634155
trial_1	placebo	228	KG00114657	Weight below normal	0.1708916872739792
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.1690840721130371
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.16728425025939941
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.1497948318719864
trial_1	placebo	9	KG00098432	Confusion NOS	0.14919762313365936
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.148827463388443
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.13640375435352325
trial_1	placebo	21	KG00098675	dyspnoea	0.12502534687519073
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.12373863160610199
trial_1	placebo	46	KG00099121	Headache NOS	0.12285730242729187
trial_1	placebo	177	KG00099299	hyperglycaemia	0.12145626544952393
trial_1	placebo	68	KG00099901	nauseas	0.1163124218583107
trial_1	placebo	77	KG00098450	Constipation NOS	0.10467852652072906
trial_1	placebo	49	KG00099902	nausea with vomiting	0.10078856348991394
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.09858869016170502
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.09858017414808273
trial_1	placebo	101	KG00097901	Anorexia NOS	0.09232024848461151
trial_1	placebo	239	KG00100128	pareses	0.09174983203411102
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.08749669790267944
trial_1	placebo	29	KG00099354	hyponatraemia	0.07967329770326614
trial_1	placebo	126	KG00100076	Pain NOS	0.07900294661521912
trial_1	placebo	350	KG00106765	decreased platelet count	0.07694286853075027
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.07409413903951645
