trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.13206252455711365
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.09730026870965958
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09044204652309418
trial_1	placebo	123	KG00099351	hypokalaemia	0.08586630970239639
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.08369152247905731
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0681542307138443
trial_1	placebo	177	KG00099299	hyperglycaemia	0.06690289080142975
trial_1	placebo	20	KG00098540	dehydration	0.0660366415977478
trial_1	placebo	9	KG00098432	Confusion NOS	0.06467566639184952
trial_1	placebo	21	KG00098675	dyspnoea	0.06467203050851822
trial_1	placebo	17	KG00097991	Asthenia NOS	0.06343135237693787
trial_1	placebo	49	KG00099902	nausea with vomiting	0.06098061054944992
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.060923073440790176
trial_1	placebo	77	KG00098450	Constipation NOS	0.0582173652946949
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.056258201599121094
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.052460309118032455
trial_1	placebo	68	KG00099901	nauseas	0.05075919255614281
trial_1	placebo	14	KG00097852	Anemia NOS	0.04927949607372284
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04353086277842522
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.04347264766693115
trial_1	placebo	46	KG00099121	Headache NOS	0.04342968016862869
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.0429343618452549
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04288456588983536
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.04282316192984581
trial_1	placebo	114	KG00098933	fevers	0.042657751590013504
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04125484824180603
trial_1	placebo	350	KG00106765	decreased platelet count	0.04092033952474594
trial_1	placebo	228	KG00114657	Weight below normal	0.039394330233335495
trial_1	placebo	29	KG00099354	hyponatraemia	0.03900689259171486
trial_1	placebo	126	KG00100076	Pain NOS	0.03852292522788048
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.037626296281814575
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.03746214136481285
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.0368301197886467
trial_1	placebo	104	KG00097963	arthralgias	0.03528239205479622
trial_1	placebo	5	KG00099169	haematuria	0.03515591472387314
trial_1	placebo	86	KG00098565	Depression, Mental	0.03492574766278267
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.032700639218091965
trial_1	placebo	147	KG00098000	atelectases	0.03269472345709801
trial_1	placebo	85	KG00098474	coughs	0.03196721524000168
trial_1	placebo	239	KG00100128	pareses	0.03184160217642784
trial_1	placebo	101	KG00097901	Anorexia NOS	0.031576935201883316
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.0311735849827528
trial_1	placebo	96	KG00101679	Unattended death NOS	0.030178191140294075
trial_1	placebo	28	KG00099347	hypoglycaemia	0.029538700357079506
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.029382217675447464
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.029347382485866547
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.02922801300883293
trial_1	placebo	191	KG00104055	Biliverdin increased	0.028270035982131958
trial_1	placebo	180	KG00099363	Hypotension NOS	0.027618803083896637
