trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.19359400868415833
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.13920260965824127
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.12786361575126648
trial_1	placebo	17	KG00097991	Asthenia NOS	0.12309721112251282
trial_1	placebo	9	KG00098432	Confusion NOS	0.10562333464622498
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10185825824737549
trial_1	placebo	21	KG00098675	dyspnoea	0.098029226064682
trial_1	placebo	20	KG00098540	dehydration	0.09361404180526733
trial_1	placebo	46	KG00099121	Headache NOS	0.09258593618869781
trial_1	placebo	123	KG00099351	hypokalaemia	0.09115015715360641
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.0898955762386322
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.08926194906234741
trial_1	placebo	68	KG00099901	nauseas	0.08917289227247238
trial_1	placebo	49	KG00099902	nausea with vomiting	0.08823774009943008
trial_1	placebo	77	KG00098450	Constipation NOS	0.08707553893327713
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07776562124490738
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.07291004061698914
trial_1	placebo	228	KG00114657	Weight below normal	0.06988733261823654
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06971440464258194
trial_1	placebo	14	KG00097852	Anemia NOS	0.06940293312072754
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.06486578285694122
trial_1	placebo	114	KG00098933	fevers	0.0642736479640007
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.06300181895494461
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.05850140377879143
trial_1	placebo	104	KG00097963	arthralgias	0.057288460433483124
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.05656827241182327
trial_1	placebo	5	KG00099169	haematuria	0.05631847307085991
trial_1	placebo	85	KG00098474	coughs	0.05615652725100517
trial_1	placebo	101	KG00097901	Anorexia NOS	0.0557902529835701
trial_1	placebo	350	KG00106765	decreased platelet count	0.05505166947841644
trial_1	placebo	72	KG00103771	myalgias	0.05477455258369446
trial_1	placebo	86	KG00098565	Depression, Mental	0.05424502119421959
trial_1	placebo	239	KG00100128	pareses	0.05330045893788338
trial_1	placebo	126	KG00100076	Pain NOS	0.05257866531610489
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.052359700202941895
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.048854000866413116
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.045695289969444275
trial_1	placebo	29	KG00099354	hyponatraemia	0.045486051589250565
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.04404805973172188
trial_1	placebo	116	KG00098964	Pain in foot	0.04193658381700516
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.04171296954154968
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.04161005839705467
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.04046597331762314
trial_1	placebo	180	KG00099363	Hypotension NOS	0.04036453366279602
trial_1	placebo	18	KG00098307	Pain, Chest	0.03872581198811531
trial_1	placebo	102	KG00097916	anxieties	0.038386572152376175
trial_1	placebo	466	KG00101205	fall	0.03818348050117493
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.036699745804071426
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.03626077622175217
trial_1	placebo	96	KG00101679	Unattended death NOS	0.03611641377210617
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.035900793969631195
trial_1	placebo	82	KG00097697	abdomen distended	0.035878896713256836
trial_1	placebo	69	KG00100082	Palpitations NOS	0.03558259457349777
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.03558182343840599
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.03521376848220825
trial_1	placebo	28	KG00099347	hypoglycaemia	0.034797608852386475
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.034187134355306625
trial_1	placebo	179	KG00099342	hypocalcaemia	0.03353916108608246
trial_1	placebo	262	KG00101199	agitation	0.032964639365673065
trial_1	placebo	147	KG00098000	atelectases	0.03274666890501976
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.031567852944135666
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.03152080252766609
trial_1	placebo	132	KG00101045	Gain, Weight	0.03126255422830582
trial_1	placebo	27	KG00099303	hyperkalaemia	0.030922645702958107
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.030634397640824318
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.0301577877253294
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.03008122369647026
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.030037859454751015
trial_1	placebo	234	KG00098669	dysgeusias	0.02982725203037262
trial_1	placebo	441	KG00098262	cellulitis nos	0.02961847558617592
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.029068058356642723
trial_1	placebo	154	KG00099686	Lymphopenias	0.028660479933023453
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.027375753968954086
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.027232401072978973
trial_1	placebo	191	KG00104055	Biliverdin increased	0.02702302671968937
trial_1	placebo	269	KG00100399	pyaemia	0.026799174025654793
trial_1	placebo	508	KG00108565	blood glucose increased	0.026732098311185837
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.026718519628047943
trial_1	placebo	282	KG00099309	hypernatraemia	0.026392225176095963
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.026297904551029205
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.02588234841823578
trial_1	placebo	11	KG00097993	Asthma NOS	0.025778504088521004
trial_1	placebo	4	KG00098817	epistaxis	0.025667240843176842
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.025638841092586517
trial_1	placebo	454	KG00098286	Pain, Neck	0.02515113167464733
trial_1	placebo	211	KG00100341	Pruritus NOS	0.02498418092727661
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.02480049431324005
trial_1	placebo	221	KG00101207	peripheral oedema	0.024675283581018448
trial_1	placebo	153	KG00099579	lethargy	0.024212634190917015
trial_1	placebo	456	KG00099420	Influenzae	0.023713480681180954
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.023652853444218636
trial_1	placebo	286	KG00101110	Retention, Urinary	0.023538056761026382
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.02307880111038685
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.02305930107831955
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.022677525877952576
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.022423163056373596
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.02234342321753502
trial_1	placebo	100	KG00097815	alopecias	0.022192494943737984
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.021965691819787025
trial_1	placebo	186	KG00101431	creatinine increased	0.02180851250886917
trial_2	vinpocetine	87	KG00098599	diarrhoea	0.19359400868415833
trial_2	vinpocetine	78	KG00099326	Hypertensive diseases	0.13920260965824127
trial_2	vinpocetine	173	KG00098172	Bronchopneumonia NOS	0.12786361575126648
trial_2	vinpocetine	17	KG00097991	Asthenia NOS	0.12309721112251282
trial_2	vinpocetine	9	KG00098432	Confusion NOS	0.10562333464622498
trial_2	vinpocetine	177	KG00099299	hyperglycaemia	0.10185825824737549
trial_2	vinpocetine	21	KG00098675	dyspnoea	0.098029226064682
trial_2	vinpocetine	20	KG00098540	dehydration	0.09361404180526733
trial_2	vinpocetine	46	KG00099121	Headache NOS	0.09258593618869781
trial_2	vinpocetine	123	KG00099351	hypokalaemia	0.09115015715360641
trial_2	vinpocetine	67	KG00098673	Dyspepsia, NOS	0.0898955762386322
trial_2	vinpocetine	37	KG00097696	Cramps, Abdominal	0.08926194906234741
trial_2	vinpocetine	68	KG00099901	nauseas	0.08917289227247238
trial_2	vinpocetine	49	KG00099902	nausea with vomiting	0.08823774009943008
trial_2	vinpocetine	77	KG00098450	Constipation NOS	0.08707553893327713
trial_2	vinpocetine	189	KG00101580	Alanine aminotransferase increase	0.07776562124490738
trial_2	vinpocetine	79	KG00100317	Insomnia, Primary	0.07291004061698914
trial_2	vinpocetine	228	KG00114657	Weight below normal	0.06988733261823654
trial_2	vinpocetine	64	KG00097734	Acrodermatitis, NOS	0.06971440464258194
trial_2	vinpocetine	14	KG00097852	Anemia NOS	0.06940293312072754
trial_2	vinpocetine	188	KG00101579	Aspartate aminotransferase increase	0.06486578285694122
trial_2	vinpocetine	114	KG00098933	fevers	0.0642736479640007
trial_2	vinpocetine	200	KG00098539	Disorders, Deglutition	0.06300181895494461
trial_2	vinpocetine	2	KG00100772	thrombocytopaenia	0.05850140377879143
trial_2	vinpocetine	104	KG00097963	arthralgias	0.057288460433483124
trial_2	vinpocetine	243	KG00100947	Micturition frequency increased	0.05656827241182327
trial_2	vinpocetine	5	KG00099169	haematuria	0.05631847307085991
trial_2	vinpocetine	85	KG00098474	coughs	0.05615652725100517
trial_2	vinpocetine	101	KG00097901	Anorexia NOS	0.0557902529835701
trial_2	vinpocetine	350	KG00106765	decreased platelet count	0.05505166947841644
trial_2	vinpocetine	72	KG00103771	myalgias	0.05477455258369446
trial_2	vinpocetine	86	KG00098565	Depression, Mental	0.05424502119421959
trial_2	vinpocetine	239	KG00100128	pareses	0.05330045893788338
trial_2	vinpocetine	126	KG00100076	Pain NOS	0.05257866531610489
trial_2	vinpocetine	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.052359700202941895
trial_2	vinpocetine	151	KG00098274	Infarction, Cerebral	0.048854000866413116
trial_2	vinpocetine	76	KG00100450	Respiratory insufficiency, NOS	0.045695289969444275
trial_2	vinpocetine	29	KG00099354	hyponatraemia	0.045486051589250565
trial_2	vinpocetine	131	KG00100948	Urinary tract infection (& [NOS])	0.04404805973172188
trial_2	vinpocetine	116	KG00098964	Pain in foot	0.04193658381700516
trial_2	vinpocetine	194	KG00110727	Neutrophil Count Decreased	0.04171296954154968
trial_2	vinpocetine	139	KG00098855	Sinusitis, Ethmoid	0.04161005839705467
trial_2	vinpocetine	396	KG00100373	Embolism, Pulmonary	0.04046597331762314
trial_2	vinpocetine	180	KG00099363	Hypotension NOS	0.04036453366279602
trial_2	vinpocetine	18	KG00098307	Pain, Chest	0.03872581198811531
trial_2	vinpocetine	102	KG00097916	anxieties	0.038386572152376175
trial_2	vinpocetine	466	KG00101205	fall	0.03818348050117493
trial_2	vinpocetine	122	KG00099321	Hypersensitivity NOS	0.036699745804071426
trial_2	vinpocetine	61	KG00099501	Chronic Kidney Failure	0.03626077622175217
trial_2	vinpocetine	96	KG00101679	Unattended death NOS	0.03611641377210617
trial_2	vinpocetine	38	KG00098066	Binocular vision disorders	0.035900793969631195
trial_2	vinpocetine	82	KG00097697	abdomen distended	0.035878896713256836
trial_2	vinpocetine	69	KG00100082	Palpitations NOS	0.03558259457349777
trial_2	vinpocetine	30	KG00099500	Acute Kidney Failure	0.03558182343840599
trial_2	vinpocetine	144	KG00099610	Leukopenia NOS	0.03521376848220825
trial_2	vinpocetine	28	KG00099347	hypoglycaemia	0.034797608852386475
trial_2	vinpocetine	355	KG00110857	lymphocyte count decreased	0.034187134355306625
trial_2	vinpocetine	179	KG00099342	hypocalcaemia	0.03353916108608246
trial_2	vinpocetine	262	KG00101199	agitation	0.032964639365673065
trial_2	vinpocetine	147	KG00098000	atelectases	0.03274666890501976
trial_2	vinpocetine	1	KG00099959	Neutropenia NOS	0.031567852944135666
trial_2	vinpocetine	422	KG00101429	Creatine phosphokinase increased	0.03152080252766609
trial_2	vinpocetine	132	KG00101045	Gain, Weight	0.03126255422830582
trial_2	vinpocetine	27	KG00099303	hyperkalaemia	0.030922645702958107
trial_2	vinpocetine	341	KG00101472	Gamma-glutamyltransferase increased	0.030634397640824318
trial_2	vinpocetine	75	KG00100195	Dolens, Phlegmasia Alba	0.0301577877253294
trial_2	vinpocetine	204	KG00098849	Esophagitis, Peptic	0.03008122369647026
trial_2	vinpocetine	261	KG00101559	raised alkaline phosphatase	0.030037859454751015
trial_2	vinpocetine	234	KG00098669	dysgeusias	0.02982725203037262
trial_2	vinpocetine	441	KG00098262	cellulitis nos	0.02961847558617592
trial_2	vinpocetine	98	KG00097718	Incised wound, NOS	0.029068058356642723
trial_2	vinpocetine	154	KG00099686	Lymphopenias	0.028660479933023453
trial_2	vinpocetine	199	KG00098371	Rhinitis (chronic) NOS	0.027375753968954086
trial_2	vinpocetine	36	KG00106434	Vision, Blurring Of	0.027232401072978973
