trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.1883213371038437
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.13402016460895538
trial_1	placebo	20	KG00098540	dehydration	0.08944912999868393
trial_1	placebo	177	KG00099299	hyperglycaemia	0.08336474746465683
trial_1	placebo	123	KG00099351	hypokalaemia	0.08274233341217041
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.0801432728767395
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.07721011340618134
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.0676586925983429
trial_1	placebo	77	KG00098450	Constipation NOS	0.066378153860569
trial_1	placebo	228	KG00114657	Weight below normal	0.065633624792099
trial_1	placebo	9	KG00098432	Confusion NOS	0.06554428488016129
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.06541179865598679
trial_1	placebo	17	KG00097991	Asthenia NOS	0.06523871421813965
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06376434862613678
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.06182918697595596
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.06077338755130768
trial_1	placebo	46	KG00099121	Headache NOS	0.057916972786188126
trial_1	placebo	49	KG00099902	nausea with vomiting	0.049837853759527206
trial_1	placebo	21	KG00098675	dyspnoea	0.049173131585121155
trial_1	placebo	68	KG00099901	nauseas	0.04897133633494377
trial_1	placebo	350	KG00106765	decreased platelet count	0.04859888181090355
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.047847483307123184
trial_1	placebo	29	KG00099354	hyponatraemia	0.047033004462718964
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04452400282025337
trial_1	placebo	5	KG00099169	haematuria	0.04426291212439537
trial_1	placebo	101	KG00097901	Anorexia NOS	0.04236273095011711
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04155576601624489
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.04090452939271927
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04046798497438431
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04017413780093193
trial_1	placebo	147	KG00098000	atelectases	0.036122847348451614
trial_1	placebo	239	KG00100128	pareses	0.03607266768813133
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.0359664224088192
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03596165031194687
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.03590744361281395
trial_1	placebo	86	KG00098565	Depression, Mental	0.03550799563527107
trial_1	placebo	126	KG00100076	Pain NOS	0.03522108122706413
trial_1	placebo	191	KG00104055	Biliverdin increased	0.03455600142478943
trial_1	placebo	82	KG00097697	abdomen distended	0.03445640578866005
trial_1	placebo	14	KG00097852	Anemia NOS	0.032548148185014725
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.032203130424022675
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03137664869427681
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.02969718910753727
trial_1	placebo	180	KG00099363	Hypotension NOS	0.02935049496591091
trial_1	placebo	121	KG00099190	haemorrhage	0.028778301551938057
trial_1	placebo	104	KG00097963	arthralgias	0.028408650308847427
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.02814614027738571
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.02782965637743473
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.027525892481207848
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.027510881423950195
trial_1	placebo	85	KG00098474	coughs	0.027348030358552933
trial_1	placebo	422	KG00101429	Creatine phosphokinase increased	0.027188673615455627
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.02694019116461277
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.026701994240283966
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.026293424889445305
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.026021016761660576
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.02579447813332081
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.025672685354948044
trial_1	placebo	18	KG00098307	Pain, Chest	0.025548338890075684
trial_1	placebo	72	KG00103771	myalgias	0.025270938873291016
trial_1	placebo	282	KG00099309	hypernatraemia	0.02523254044353962
trial_1	placebo	132	KG00101045	Gain, Weight	0.0251238401979208
trial_1	placebo	102	KG00097916	anxieties	0.025089940056204796
trial_1	placebo	257	KG00100922	Erythema NOS	0.025075657293200493
trial_1	placebo	339	KG00100334	proteinurias	0.025069326162338257
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.024505840614438057
trial_1	placebo	466	KG00101205	fall	0.024394912645220757
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.02430400624871254
trial_1	placebo	288	KG00101223	hypophosphataemia	0.024052198976278305
trial_1	placebo	69	KG00100082	Palpitations NOS	0.02399202436208725
trial_1	placebo	186	KG00101431	creatinine increased	0.023977162316441536
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.023941172286868095
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.02357003465294838
trial_1	placebo	114	KG00098933	fevers	0.02325911447405815
trial_1	placebo	234	KG00098669	dysgeusias	0.02317124977707863
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.023064184933900833
trial_1	placebo	286	KG00101110	Retention, Urinary	0.022950291633605957
trial_1	placebo	382	KG00099200	haemorrhoids	0.022929472848773003
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.02232382446527481
trial_1	placebo	116	KG00098964	Pain in foot	0.02213497832417488
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.022131454199552536
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.02196313627064228
trial_1	placebo	4	KG00098817	epistaxis	0.021593157202005386
trial_1	placebo	136	KG00101582	Dry;skin	0.021395744755864143
trial_1	placebo	96	KG00101679	Unattended death NOS	0.021313754841685295
trial_1	placebo	164	KG00108827	ileus colon	0.021301841363310814
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.020855451002717018
trial_1	placebo	454	KG00098286	Pain, Neck	0.020746508613228798
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.020600218325853348
trial_1	placebo	97	KG00104198	LIVER ENZYME ELEVATED	0.020191116258502007
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.020114704966545105
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.020102404057979584
trial_1	placebo	152	KG00099402	INCONTINENCE NOS	0.0196897704154253
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.019664466381072998
trial_1	placebo	269	KG00100399	pyaemia	0.01963588409125805
trial_1	placebo	441	KG00098262	cellulitis nos	0.019319985061883926
trial_1	placebo	218	KG00100801	Tinnitus NOS	0.019244493916630745
trial_1	placebo	118	KG00099011	Gastritis NOS	0.019198624417185783
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.01898823492228985
trial_1	placebo	163	KG00104050	bowel obstructions small	0.018924038857221603
trial_2	voglibose	87	KG00098599	diarrhoea	0.1883213371038437
trial_2	voglibose	78	KG00099326	Hypertensive diseases	0.13402016460895538
trial_2	voglibose	20	KG00098540	dehydration	0.08944912999868393
trial_2	voglibose	177	KG00099299	hyperglycaemia	0.08336474746465683
trial_2	voglibose	123	KG00099351	hypokalaemia	0.08274233341217041
trial_2	voglibose	67	KG00098673	Dyspepsia, NOS	0.0801432728767395
trial_2	voglibose	189	KG00101580	Alanine aminotransferase increase	0.07721011340618134
trial_2	voglibose	188	KG00101579	Aspartate aminotransferase increase	0.0676586925983429
trial_2	voglibose	77	KG00098450	Constipation NOS	0.066378153860569
trial_2	voglibose	228	KG00114657	Weight below normal	0.065633624792099
trial_2	voglibose	9	KG00098432	Confusion NOS	0.06554428488016129
