trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.1786811649799347
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.11548499017953873
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.09793601930141449
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.09234864264726639
trial_1	placebo	123	KG00099351	hypokalaemia	0.09091304987668991
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.09020477533340454
trial_1	placebo	21	KG00098675	dyspnoea	0.08089516311883926
trial_1	placebo	17	KG00097991	Asthenia NOS	0.07816900312900543
trial_1	placebo	46	KG00099121	Headache NOS	0.07693150639533997
trial_1	placebo	177	KG00099299	hyperglycaemia	0.07481993734836578
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.06519287079572678
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.06464917957782745
trial_1	placebo	9	KG00098432	Confusion NOS	0.06359539926052094
trial_1	placebo	121	KG00099190	haemorrhage	0.05945849418640137
trial_1	placebo	20	KG00098540	dehydration	0.05936478078365326
trial_1	placebo	114	KG00098933	fevers	0.05910857766866684
trial_1	placebo	228	KG00114657	Weight below normal	0.05522865056991577
trial_1	placebo	14	KG00097852	Anemia NOS	0.05391254276037216
trial_1	placebo	68	KG00099901	nauseas	0.05328943952918053
trial_1	placebo	49	KG00099902	nausea with vomiting	0.052116598933935165
trial_1	placebo	85	KG00098474	coughs	0.05050722882151604
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.04862315207719803
trial_1	placebo	18	KG00098307	Pain, Chest	0.047406155616045
trial_1	placebo	96	KG00101679	Unattended death NOS	0.046222805976867676
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.04613287001848221
trial_1	placebo	72	KG00103771	myalgias	0.04583803564310074
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.04562341421842575
trial_1	placebo	5	KG00099169	haematuria	0.04441698640584946
trial_1	placebo	126	KG00100076	Pain NOS	0.043571699410676956
trial_1	placebo	28	KG00099347	hypoglycaemia	0.043121423572301865
trial_1	placebo	142	KG00100923	Unspecified infectious and parasitic diseases	0.042776212096214294
trial_1	placebo	29	KG00099354	hyponatraemia	0.04232557862997055
trial_1	placebo	104	KG00097963	arthralgias	0.041696254163980484
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.041629496961832047
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.04107879102230072
trial_1	placebo	350	KG00106765	decreased platelet count	0.04073440656065941
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.040035150945186615
trial_1	placebo	147	KG00098000	atelectases	0.037731271237134933
trial_1	placebo	86	KG00098565	Depression, Mental	0.03763556852936745
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.03747792914509773
trial_1	placebo	4	KG00098817	epistaxis	0.03650634363293648
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.035271722823381424
trial_1	placebo	77	KG00098450	Constipation NOS	0.03508923947811127
trial_1	placebo	239	KG00100128	pareses	0.033827658742666245
trial_1	placebo	136	KG00101582	Dry;skin	0.03360254690051079
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.03296402841806412
trial_1	placebo	101	KG00097901	Anorexia NOS	0.0327458530664444
trial_1	placebo	100	KG00097815	alopecias	0.03215351328253746
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.03197021782398224
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03181071579456329
trial_1	placebo	191	KG00104055	Biliverdin increased	0.030820991843938828
trial_1	placebo	179	KG00099342	hypocalcaemia	0.03060370683670044
trial_1	placebo	27	KG00099303	hyperkalaemia	0.029728513211011887
trial_1	placebo	69	KG00100082	Palpitations NOS	0.02959538623690605
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.029408462345600128
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.028491996228694916
trial_1	placebo	441	KG00098262	cellulitis nos	0.02795478142797947
trial_1	placebo	116	KG00098964	Pain in foot	0.02782340534031391
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.02779533714056015
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.02722679264843464
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.02717086859047413
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.02715972438454628
trial_1	placebo	132	KG00101045	Gain, Weight	0.0267819631844759
trial_1	placebo	269	KG00100399	pyaemia	0.026734787970781326
trial_1	placebo	36	KG00106434	Vision, Blurring Of	0.025994479656219482
trial_1	placebo	339	KG00100334	proteinurias	0.02567281201481819
