trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	87	KG00098599	diarrhoea	0.21940629184246063
trial_1	placebo	78	KG00099326	Hypertensive diseases	0.1666356772184372
trial_1	placebo	123	KG00099351	hypokalaemia	0.13623636960983276
trial_1	placebo	189	KG00101580	Alanine aminotransferase increase	0.13417381048202515
trial_1	placebo	173	KG00098172	Bronchopneumonia NOS	0.11820574849843979
trial_1	placebo	17	KG00097991	Asthenia NOS	0.11787307262420654
trial_1	placebo	188	KG00101579	Aspartate aminotransferase increase	0.11359625309705734
trial_1	placebo	9	KG00098432	Confusion NOS	0.11293622106313705
trial_1	placebo	177	KG00099299	hyperglycaemia	0.10913150757551193
trial_1	placebo	67	KG00098673	Dyspepsia, NOS	0.10691960901021957
trial_1	placebo	68	KG00099901	nauseas	0.10569281876087189
trial_1	placebo	20	KG00098540	dehydration	0.10564034432172775
trial_1	placebo	49	KG00099902	nausea with vomiting	0.10096929222345352
trial_1	placebo	21	KG00098675	dyspnoea	0.09929955750703812
trial_1	placebo	64	KG00097734	Acrodermatitis, NOS	0.09117800742387772
trial_1	placebo	37	KG00097696	Cramps, Abdominal	0.0901094377040863
trial_1	placebo	228	KG00114657	Weight below normal	0.08893022686243057
trial_1	placebo	79	KG00100317	Insomnia, Primary	0.0801849514245987
trial_1	placebo	46	KG00099121	Headache NOS	0.0787542387843132
trial_1	placebo	350	KG00106765	decreased platelet count	0.07594364881515503
trial_1	placebo	77	KG00098450	Constipation NOS	0.07566199451684952
trial_1	placebo	101	KG00097901	Anorexia NOS	0.07554089277982712
trial_1	placebo	200	KG00098539	Disorders, Deglutition	0.07275640964508057
trial_1	placebo	243	KG00100947	Micturition frequency increased	0.0717802569270134
trial_1	placebo	29	KG00099354	hyponatraemia	0.07042298465967178
trial_1	placebo	14	KG00097852	Anemia NOS	0.07008809596300125
trial_1	placebo	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.06960901618003845
trial_1	placebo	2	KG00100772	thrombocytopaenia	0.0675029456615448
trial_1	placebo	5	KG00099169	haematuria	0.05844252556562424
trial_1	placebo	239	KG00100128	pareses	0.056241657584905624
trial_1	placebo	86	KG00098565	Depression, Mental	0.056115373969078064
trial_1	placebo	72	KG00103771	myalgias	0.05582363158464432
trial_1	placebo	76	KG00100450	Respiratory insufficiency, NOS	0.05454197898507118
trial_1	placebo	114	KG00098933	fevers	0.054248910397291183
trial_1	placebo	151	KG00098274	Infarction, Cerebral	0.05418834462761879
trial_1	placebo	104	KG00097963	arthralgias	0.053563106805086136
trial_1	placebo	85	KG00098474	coughs	0.053285155445337296
trial_1	placebo	122	KG00099321	Hypersensitivity NOS	0.050179217010736465
trial_1	placebo	179	KG00099342	hypocalcaemia	0.04854216426610947
trial_1	placebo	126	KG00100076	Pain NOS	0.04851146042346954
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.04700148105621338
trial_1	placebo	147	KG00098000	atelectases	0.04696047678589821
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.046031199395656586
trial_1	placebo	61	KG00099501	Chronic Kidney Failure	0.045204777270555496
trial_1	placebo	139	KG00098855	Sinusitis, Ethmoid	0.04410155862569809
trial_1	placebo	28	KG00099347	hypoglycaemia	0.04365427792072296
trial_1	placebo	38	KG00098066	Binocular vision disorders	0.04242600500583649
trial_1	placebo	191	KG00104055	Biliverdin increased	0.04214605689048767
trial_1	placebo	69	KG00100082	Palpitations NOS	0.041305266320705414
trial_1	placebo	18	KG00098307	Pain, Chest	0.04103587567806244
trial_1	placebo	30	KG00099500	Acute Kidney Failure	0.040536947548389435
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.04022881016135216
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.04009545221924782
trial_1	placebo	116	KG00098964	Pain in foot	0.03928237408399582
trial_1	placebo	180	KG00099363	Hypotension NOS	0.03924374654889107
trial_1	placebo	131	KG00100948	Urinary tract infection (& [NOS])	0.03880295157432556
trial_1	placebo	27	KG00099303	hyperkalaemia	0.03808329999446869
trial_1	placebo	396	KG00100373	Embolism, Pulmonary	0.03766027092933655
