drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_primary_composite_worst
upadacitinib,Upadacitinib,2.269034999096764,5.576070860028263,2.269034999096764,100.0,0.240935,0.514822,0.240935,0.514822,2.269034999096764,0.2602039276191115,0.064506713368361,0.1441487320391709,0.1587140028028232,0.240935,0.514822,5.576070860028263,unweighted_total_prob,0.1587140028028232,292.0,460.0,2.0,1.0,-0.30765285899999995,-0.003917849000000029,-0.0451463019717373,True
secnidazole,Secnidazole,1.143545626848934,2.685890854336316,1.143545626848934,100.0,0.124417,0.516469,0.124417,0.516469,1.143545626848934,0.0647990071944859,0.160653823701108,0.3707517604246628,0.1643314844431701,0.124417,0.516469,2.685890854336316,unweighted_total_prob,0.1643314844431701,1376.0,10.0,23.0,2.0,-0.42417085899999996,-0.0022708490000000747,-2.9353263076636846,True
fluticasone_propiona,Fluticasone_propiona,,,,,0.127262,0.515746,0.127262,0.515746,0.8231785262352769,0.0695701755857049,0.1184471687098693,0.5485466950265095,0.1849162767235316,0.127262,0.515746,,unweighted_total_prob,0.1849162767235316,,13.0,9.0,3.0,-0.42132585899999997,-0.002993848999999993,,True
pivampicillin,Pivampicillin,2.181062824279068,5.145615639165039,2.181062824279068,100.0,0.319886,0.513717,0.319886,0.513717,2.181062824279068,0.3926076238072079,0.0,0.1534352940268761,0.1877301083282584,0.319886,0.513717,5.145615639165039,unweighted_total_prob,0.1877301083282584,396.0,1140.0,1.0,4.0,-0.22870185899999995,-0.005022849000000051,-0.47560152283496127,True
empagliflozin,Empagliflozin,1.6647066506789976,4.171593271195884,1.6647066506789976,100.0,0.182745,0.517165,0.182745,0.517165,1.6647066506789976,0.1626171829143537,0.2012842965557507,0.227730790191968,0.1911067498264354,0.182745,0.517165,4.171593271195884,unweighted_total_prob,0.1911067498264354,716.0,139.0,43.0,5.0,-0.36584285899999996,-0.0015748490000000448,-1.4496238908041166,True
fidaxomicin,Fidaxomicin,2.028482102416453,4.749666040763254,2.028482102416453,100.0,0.199674,0.517163,0.199674,0.517163,2.028482102416453,0.1910077311375337,0.201167542323413,0.1714521627096771,0.1911605419263141,0.199674,0.517163,4.749666040763254,unweighted_total_prob,0.1911605419263141,496.0,213.0,42.0,6.0,-0.34891385899999994,-0.0015768489999999913,-0.871551121236747,True
ethionamide,Ethionamide,1.873066379595546,4.924144538119431,1.873066379595546,100.0,0.19624,0.517485,0.19624,0.517485,1.873066379595546,0.1852487883412433,0.2199649737302976,0.1928214288174783,0.200649790592112,0.19624,0.517485,4.924144538119431,unweighted_total_prob,0.200649790592112,445.0,193.0,62.0,7.0,-0.352347859,-0.0012548490000000578,-0.6970726238805698,True
bithionol,Bithionol,2.551974970195441,6.64953899569809,2.551974970195441,100.0,0.299059,0.515307,0.299059,0.515307,2.551974970195441,0.3576799879253384,0.0928196147110322,0.1186219715732383,0.2039242353691959,0.299059,0.515307,6.64953899569809,unweighted_total_prob,0.2039242353691959,153.0,955.0,4.0,8.0,-0.24952885899999994,-0.003432849000000071,1.0283218336980893,True
thiethylperazine,Thiethylperazine,1.9656946523580685,4.972752314060922,1.9656946523580685,100.0,0.218563,0.517126,0.218563,0.517126,1.9656946523580685,0.2226852705898137,0.1990075890251021,0.1796784640234884,0.204612836650664,0.218563,0.517126,4.972752314060922,unweighted_total_prob,0.204612836650664,433.0,317.0,40.0,9.0,-0.33002485899999995,-0.001613849000000056,-0.6484648479390787,True
tavaborole,Tavaborole,2.2527260595466925,5.361470850184555,2.2527260595466925,100.0,0.167734,0.519095,0.167734,0.519095,2.2527260595466925,0.1374431903939358,0.3139521307647402,0.1458155767787085,0.2097212438192121,0.167734,0.519095,5.361470850184555,unweighted_total_prob,0.2097212438192121,337.0,83.0,236.0,10.0,-0.38085385899999996,0.0003551509999999425,-0.2597463118154453,True
