drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real
abacavir,Abacavir,2.8726505159167552,6.579834664240475,2.8726505159167552,100,0.433229,0.196414,0.433229,0.196414,2.8726505159167552,0.4189692353041562,0.2994822029215127,0.2568320555154638,0.3387469863933603,0.433229,0.196414,6.579834664240475,unweighted_total_prob,0.3387469863933603,1139.0,607.0,413.0,447.0,-0.17507728871917727,-0.28265666345214835,-4.222167434170843
abemaciclib,Abemaciclib,6.907927548512815,17.09272406995296,6.907927548512815,100,0.567142,0.118759,0.567142,0.118759,6.907927548512815,0.6786636827652545,0.1754552685293732,0.0642467381047403,0.3544969281387992,0.567142,0.118759,17.09272406995296,unweighted_total_prob,0.3544969281387992,88.0,1546.0,177.0,550.0,-0.04116428871917721,-0.3603116634521484,6.290721971541643
abiraterone,Abiraterone,6.228195695113389,13.163962893187996,6.228195695113389,100,0.630364,0.033638,0.630364,0.033638,6.228195695113389,0.8012686752408584,0.0395039880916254,0.0792093697242392,0.3521509392778414,0.630364,0.033638,13.163962893187996,unweighted_total_prob,0.3521509392778414,275.0,1607.0,30.0,530.0,0.02205771128082279,-0.4454326634521484,2.361960794776678
acalabrutinib,Acalabrutinib,8.913823267444966,21.589529812335964,8.913823267444966,100,0.51121,0.107496,0.51121,0.107496,8.913823267444966,0.5701960221543046,0.1574665316539799,0.0333951912479009,0.297744059772894,0.51121,0.107496,21.589529812335964,unweighted_total_prob,0.297744059772894,29.0,1327.0,146.0,224.0,-0.09709628871917719,-0.3715746634521484,10.787527713924646
acamprosate,Acamprosate,2.2086382472421957,5.012614417821164,2.2086382472421957,100,0.348342,0.30862,0.348342,0.30862,2.208638247242196,0.2543497990908667,0.4786923787041977,0.3559492742472375,0.3644067259674733,0.348342,0.30862,5.012614417821164,unweighted_total_prob,0.3644067259674733,1422.0,133.0,995.0,621.0,-0.25996428871917726,-0.17045066345214838,-5.7893876805901545
acarbose,Acarbose,1.6039942165836671,3.555028343573208,1.6039942165836671,100,0.325573,0.254546,0.325573,0.254546,1.6039942165836671,0.2101943931613323,0.3923279147247945,0.5175907356214674,0.3445270702787443,0.325573,0.254546,3.555028343573208,unweighted_total_prob,0.3445270702787443,1574.0,72.0,706.0,480.0,-0.28273328871917724,-0.2245246634521484,-7.24697375483811
acebutolol,Acebutolol,2.915333841834216,6.31126873195171,2.915333841834216,100,0.454259,0.258346,0.454259,0.258346,2.915333841834216,0.4597522379260593,0.3983970970142818,0.2520051638615122,0.393660766748439,0.454259,0.258346,6.31126873195171,unweighted_total_prob,0.393660766748439,1188.0,798.0,732.0,824.0,-0.15404728871917722,-0.22072466345214836,-4.490733366459608
aceclofenac,Aceclofenac,3.269826159719376,7.288518957793708,3.269826159719376,100,0.413445,0.449488,0.413445,0.449488,3.269826159719376,0.380602572257474,0.703680160481957,0.2167863880962744,0.4770703707150273,0.413445,0.449488,7.288518957793708,unweighted_total_prob,0.4770703707150273,1012.0,455.0,1528.0,1361.0,-0.19486128871917724,-0.029582663452148383,-3.51348314061761
acemetacin,Acemetacin,5.714649325236676,13.189308479428288,5.714649325236676,100,0.481168,0.428656,0.481168,0.428656,5.714649325236676,0.5119362520750267,0.6704082643096944,0.0928743249717207,0.4915126715482326,0.481168,0.428656,13.189308479428288,unweighted_total_prob,0.4915126715482326,273.0,1076.0,1485.0,1428.0,-0.12713828871917726,-0.0504146634521484,2.3873063810169697
acenocoumarol,Acenocoumarol,3.676569888181983,7.629249535500999,3.676569888181983,100,0.403485,0.084092,0.403485,0.084092,3.676569888181983,0.3612873698744899,0.120086757363675,0.1847433444914293,0.2294983197935518,0.403485,0.084092,7.629249535500999,unweighted_total_prob,0.2294983197935518,950.0,383.0,103.0,49.0,-0.20482128871917726,-0.3949786634521484,-3.1727525629103193
