trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.5027921199798584
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.34554198384284973
trial_1	active	77	KG00098450	Constipation NOS	0.31993523240089417
trial_1	active	30	KG00099500	Acute Kidney Failure	0.31739360094070435
trial_1	active	68	KG00099901	nauseas	0.31726035475730896
trial_1	active	102	KG00097916	anxieties	0.3076370358467102
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.3074202537536621
trial_1	active	9	KG00098432	Confusion NOS	0.30520451068878174
trial_1	active	20	KG00098540	dehydration	0.3031061291694641
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.30261528491973877
trial_1	active	49	KG00099902	nausea with vomiting	0.29920172691345215
trial_1	active	211	KG00100341	Pruritus NOS	0.288266658782959
trial_1	active	114	KG00098933	fevers	0.26683226227760315
trial_1	active	123	KG00099351	hypokalaemia	0.2631073296070099
trial_1	active	78	KG00099326	Hypertensive diseases	0.2606410086154938
trial_1	active	221	KG00101207	peripheral oedema	0.25464609265327454
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.25109943747520447
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.2478761225938797
trial_1	active	151	KG00098274	Infarction, Cerebral	0.247623011469841
trial_1	active	37	KG00097696	Cramps, Abdominal	0.23770779371261597
trial_1	active	228	KG00114657	Weight below normal	0.2340092957019806
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.2300383448600769
trial_1	active	186	KG00101431	creatinine increased	0.2157714068889618
trial_1	active	441	KG00098262	cellulitis nos	0.20266050100326538
trial_1	active	21	KG00098675	dyspnoea	0.19428452849388123
trial_1	active	29	KG00099354	hyponatraemia	0.19376030564308167
trial_1	active	466	KG00101205	fall	0.19203925132751465
trial_1	active	101	KG00097901	Anorexia NOS	0.19120031595230103
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.1855977326631546
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.18383441865444183
trial_1	active	86	KG00098565	Depression, Mental	0.18281231820583344
trial_1	active	11	KG00097993	Asthma NOS	0.18204040825366974
trial_1	active	79	KG00100317	Insomnia, Primary	0.18113428354263306
trial_1	active	180	KG00099363	Hypotension NOS	0.1804087907075882
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.18005934357643127
trial_1	active	177	KG00099299	hyperglycaemia	0.17630474269390106
trial_1	active	269	KG00100399	pyaemia	0.17314109206199646
trial_1	active	14	KG00097852	Anemia NOS	0.17246364057064056
trial_1	active	69	KG00100082	Palpitations NOS	0.17173898220062256
trial_1	active	27	KG00099303	hyperkalaemia	0.16920194029808044
trial_1	active	147	KG00098000	atelectases	0.16857407987117767
trial_1	active	239	KG00100128	pareses	0.16136683523654938
trial_1	active	661	KG00101056	Laceration(s)	0.1612575799226761
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.152102530002594
trial_1	active	130	KG00100683	Stomatitis NOS	0.14838078618049622
trial_1	active	276	KG00099127	Arrest, Cardiac	0.14779923856258392
trial_1	active	104	KG00097963	arthralgias	0.14715437591075897
trial_1	active	5	KG00099169	haematuria	0.14597183465957642
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.14512039721012115
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.14444248378276825
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.14428535103797913
