trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.3704265356063843
trial_1	active	30	KG00099500	Acute Kidney Failure	0.3278926908969879
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.3116151690483093
trial_1	active	9	KG00098432	Confusion NOS	0.31146344542503357
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.3033811151981354
trial_1	active	78	KG00099326	Hypertensive diseases	0.2794889509677887
trial_1	active	77	KG00098450	Constipation NOS	0.2584908604621887
trial_1	active	151	KG00098274	Infarction, Cerebral	0.25600364804267883
trial_1	active	221	KG00101207	peripheral oedema	0.2519516050815582
trial_1	active	20	KG00098540	dehydration	0.2428784817457199
trial_1	active	211	KG00100341	Pruritus NOS	0.22802968323230743
trial_1	active	114	KG00098933	fevers	0.22564229369163513
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.2247411161661148
trial_1	active	11	KG00097993	Asthma NOS	0.22251415252685547
trial_1	active	49	KG00099902	nausea with vomiting	0.2201511561870575
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.21765445172786713
trial_1	active	102	KG00097916	anxieties	0.21600724756717682
trial_1	active	180	KG00099363	Hypotension NOS	0.2154591679573059
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.20912450551986694
trial_1	active	269	KG00100399	pyaemia	0.18823295831680298
trial_1	active	276	KG00099127	Arrest, Cardiac	0.18436746299266815
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.18393303453922272
trial_1	active	123	KG00099351	hypokalaemia	0.18365925550460815
trial_1	active	86	KG00098565	Depression, Mental	0.18065358698368073
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.17818300426006317
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.17696037888526917
trial_1	active	68	KG00099901	nauseas	0.17182575166225433
trial_1	active	21	KG00098675	dyspnoea	0.163406103849411
trial_1	active	37	KG00097696	Cramps, Abdominal	0.15820221602916718
trial_1	active	14	KG00097852	Anemia NOS	0.15553081035614014
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.15290971100330353
trial_1	active	147	KG00098000	atelectases	0.15119974315166473
trial_1	active	79	KG00100317	Insomnia, Primary	0.15020239353179932
trial_1	active	29	KG00099354	hyponatraemia	0.1500149667263031
trial_1	active	85	KG00098474	coughs	0.14962604641914368
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.14962194859981537
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.14471259713172913
trial_1	active	177	KG00099299	hyperglycaemia	0.1398283839225769
trial_1	active	441	KG00098262	cellulitis nos	0.1376160830259323
trial_1	active	228	KG00114657	Weight below normal	0.13449078798294067
trial_1	active	466	KG00101205	fall	0.13439485430717468
trial_1	active	186	KG00101431	creatinine increased	0.13379095494747162
trial_1	active	661	KG00101056	Laceration(s)	0.13035529851913452
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.12711019814014435
trial_1	active	130	KG00100683	Stomatitis NOS	0.1258142739534378
trial_1	active	27	KG00099303	hyperkalaemia	0.12501703202724457
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.12477177381515503
trial_1	active	17	KG00097991	Asthenia NOS	0.12449274212121964
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.12214424461126328
trial_1	active	69	KG00100082	Palpitations NOS	0.1220182478427887
trial_1	active	104	KG00097963	arthralgias	0.12001293152570724
trial_1	active	713	KG00107657	distressed respiratory	0.11872971802949905
trial_1	active	5	KG00099169	haematuria	0.1155506819486618
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.11483722925186157
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.11357780545949936
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.11202047765254974
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.11201334744691849
trial_1	active	237	KG00099189	haemoptysis	0.11198215931653976
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.11195357888936996
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.11022588610649109
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.10894571989774704
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.10671104490756989
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.10621508955955505
trial_1	active	35	KG00101507	hypomagnesaemia	0.10405983775854111
trial_1	active	31	KG00099872	Infarction, Myocardial	0.10393361747264862
trial_1	active	2	KG00100772	thrombocytopaenia	0.10345987975597382
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.09990990906953812
trial_1	active	66	KG00098642	drowsiness	0.09900825470685959
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.09876582026481628
trial_1	active	488	KG00098167	Bronchospasm NOS	0.09630794078111649
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.09630189090967178
trial_1	active	126	KG00100076	Pain NOS	0.09421796351671219
trial_1	active	239	KG00100128	pareses	0.092952199280262
trial_1	active	456	KG00099420	Influenzae	0.09209373593330383
trial_1	active	118	KG00099011	Gastritis NOS	0.09160143882036209
trial_1	active	398	KG00100580	Shock, Septic	0.0914871022105217
trial_1	active	94	KG00103829	abdominal discomfort	0.08821428567171097
trial_1	active	271	KG00103813	reflex bradycardia	0.08777478337287903
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.0875655934214592
trial_1	active	15	KG00097882	Angina pectoris NOS	0.08717533946037292
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.0866541638970375
trial_1	active	98	KG00097718	Incised wound, NOS	0.08637027442455292
trial_1	active	376	KG00098803	epilepsies	0.08567994832992554
trial_1	active	200	KG00098539	Disorders, Deglutition	0.08541577309370041
trial_1	active	191	KG00104055	Biliverdin increased	0.08460216969251633
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.08354093134403229
trial_1	active	522	KG00100078	Postoperative Pain	0.0828893631696701
trial_1	active	286	KG00101110	Retention, Urinary	0.08054690062999725
trial_1	active	717	KG00112760	General physical health deterioration	0.07981593906879425
trial_1	active	373	KG00098613	Digitalis Toxicity	0.0796908363699913
trial_1	active	25	KG00099134	congestive failures heart	0.07966350764036179
trial_1	active	219	KG00101049	Wheezes	0.07939516007900238
trial_1	active	454	KG00098286	Pain, Neck	0.07881773263216019
trial_1	active	96	KG00101679	Unattended death NOS	0.07877366989850998
trial_1	active	46	KG00099121	Headache NOS	0.07815415412187576
trial_1	active	18	KG00098307	Pain, Chest	0.0772126242518425
trial_1	active	450	KG00101442	anasarca	0.07687404751777649
trial_1	active	489	KG00099244	Herpes zoster disease	0.07640919834375381
trial_1	active	101	KG00097901	Anorexia NOS	0.07640433311462402
trial_1	active	470	KG00098567	dermabrasions	0.0760122761130333
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
trial_2	control	11	KG00097993	Asthma NOS	0.12974649667739868
trial_2	control	494	KG00099838	Organ Failure, Multiple	0.1287405639886856
trial_2	control	396	KG00100373	Embolism, Pulmonary	0.12624897062778473
trial_2	control	29	KG00099354	hyponatraemia	0.12441596388816833
trial_2	control	101	KG00097901	Anorexia NOS	0.1209268718957901
trial_2	control	79	KG00100317	Insomnia, Primary	0.12021980434656143
trial_2	control	17	KG00097991	Asthenia NOS	0.11931263655424118
trial_2	control	69	KG00100082	Palpitations NOS	0.11469438672065735
trial_2	control	131	KG00100948	Urinary tract infection (& [NOS])	0.11283913999795914
trial_2	control	102	KG00097916	anxieties	0.11273739486932755
trial_2	control	177	KG00099299	hyperglycaemia	0.1124439686536789
trial_2	control	2	KG00100772	thrombocytopaenia	0.11206149309873581
trial_2	control	228	KG00114657	Weight below normal	0.1106056272983551
trial_2	control	199	KG00098371	Rhinitis (chronic) NOS	0.10840196162462234
trial_2	control	130	KG00100683	Stomatitis NOS	0.10835694521665573
trial_2	control	361	KG00098004	Fibrillation, Atrial	0.10444892942905426
