trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	151	KG00098274	Infarction, Cerebral	0.14799191057682037
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.1461268961429596
trial_1	active	78	KG00099326	Hypertensive diseases	0.1436963677406311
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.13093599677085876
trial_1	active	221	KG00101207	peripheral oedema	0.11773344874382019
trial_1	active	87	KG00098599	diarrhoea	0.10822979360818863
trial_1	active	180	KG00099363	Hypotension NOS	0.10036177188158035
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.09798156470060349
trial_1	active	30	KG00099500	Acute Kidney Failure	0.09382683038711548
trial_1	active	77	KG00098450	Constipation NOS	0.09199473261833191
trial_1	active	177	KG00099299	hyperglycaemia	0.0907362550497055
trial_1	active	11	KG00097993	Asthma NOS	0.08715874701738358
trial_1	active	9	KG00098432	Confusion NOS	0.0844198614358902
trial_1	active	20	KG00098540	dehydration	0.08392959088087082
trial_1	active	211	KG00100341	Pruritus NOS	0.08061431348323822
trial_1	active	27	KG00099303	hyperkalaemia	0.0791306421160698
trial_1	active	86	KG00098565	Depression, Mental	0.07856795936822891
trial_1	active	147	KG00098000	atelectases	0.07827556133270264
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.0775119811296463
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.07661861181259155
trial_1	active	276	KG00099127	Arrest, Cardiac	0.06641445308923721
trial_1	active	466	KG00101205	fall	0.066373310983181
trial_1	active	29	KG00099354	hyponatraemia	0.06325018405914307
trial_1	active	21	KG00098675	dyspnoea	0.06296619027853012
trial_1	active	14	KG00097852	Anemia NOS	0.06279867887496948
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.06151469051837921
trial_1	active	441	KG00098262	cellulitis nos	0.061182353645563126
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.060817405581474304
trial_1	active	123	KG00099351	hypokalaemia	0.06057368218898773
trial_1	active	102	KG00097916	anxieties	0.059920791536569595
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.05962156876921654
trial_1	active	28	KG00099347	hypoglycaemia	0.057660993188619614
trial_1	active	269	KG00100399	pyaemia	0.056349653750658035
trial_1	active	126	KG00100076	Pain NOS	0.05585082992911339
trial_1	active	114	KG00098933	fevers	0.0555797778069973
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.05250120908021927
trial_1	active	186	KG00101431	creatinine increased	0.05220258608460426
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.050219204276800156
trial_1	active	179	KG00099342	hypocalcaemia	0.04918324202299118
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.04889242723584175
