trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	9	KG00098432	Confusion NOS	0.25515303015708923
trial_1	active	87	KG00098599	diarrhoea	0.23490697145462036
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.2131405621767044
trial_1	active	30	KG00099500	Acute Kidney Failure	0.2028464525938034
trial_1	active	49	KG00099902	nausea with vomiting	0.19847829639911652
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.18715205788612366
trial_1	active	68	KG00099901	nauseas	0.17285151779651642
trial_1	active	151	KG00098274	Infarction, Cerebral	0.1695437729358673
trial_1	active	211	KG00100341	Pruritus NOS	0.1659507304430008
trial_1	active	78	KG00099326	Hypertensive diseases	0.159066841006279
trial_1	active	77	KG00098450	Constipation NOS	0.1503303050994873
trial_1	active	20	KG00098540	dehydration	0.14637568593025208
trial_1	active	221	KG00101207	peripheral oedema	0.1417086273431778
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.13867251574993134
trial_1	active	102	KG00097916	anxieties	0.1381421536207199
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.12839816510677338
trial_1	active	180	KG00099363	Hypotension NOS	0.1255614161491394
trial_1	active	11	KG00097993	Asthma NOS	0.12459823489189148
trial_1	active	21	KG00098675	dyspnoea	0.11797996610403061
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.10884586721658707
trial_1	active	86	KG00098565	Depression, Mental	0.10814327746629715
trial_1	active	79	KG00100317	Insomnia, Primary	0.10751383751630783
trial_1	active	123	KG00099351	hypokalaemia	0.10553067177534103
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.10244368016719818
trial_1	active	269	KG00100399	pyaemia	0.09774550050497055
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.09765326231718063
trial_1	active	147	KG00098000	atelectases	0.09640057384967804
trial_1	active	114	KG00098933	fevers	0.09609132260084152
trial_1	active	466	KG00101205	fall	0.09552167356014252
trial_1	active	441	KG00098262	cellulitis nos	0.09451711922883987
trial_1	active	17	KG00097991	Asthenia NOS	0.09359171986579895
trial_1	active	276	KG00099127	Arrest, Cardiac	0.09334155172109604
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.09052001684904099
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.08846062421798706
trial_1	active	66	KG00098642	drowsiness	0.08777104318141937
trial_1	active	661	KG00101056	Laceration(s)	0.08771028369665146
trial_1	active	271	KG00103813	reflex bradycardia	0.08716803044080734
trial_1	active	37	KG00097696	Cramps, Abdominal	0.08298148214817047
trial_1	active	29	KG00099354	hyponatraemia	0.08210448920726776
trial_1	active	177	KG00099299	hyperglycaemia	0.08192667365074158
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.08188243955373764
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.07770740240812302
