trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.2958489954471588
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.2857937812805176
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.21808095276355743
trial_1	active	9	KG00098432	Confusion NOS	0.2101927101612091
trial_1	active	30	KG00099500	Acute Kidney Failure	0.2089235633611679
trial_1	active	276	KG00099127	Arrest, Cardiac	0.19399689137935638
trial_1	active	180	KG00099363	Hypotension NOS	0.1933252513408661
trial_1	active	49	KG00099902	nausea with vomiting	0.1830979734659195
trial_1	active	114	KG00098933	fevers	0.1766376942396164
trial_1	active	11	KG00097993	Asthma NOS	0.17069824039936066
trial_1	active	269	KG00100399	pyaemia	0.16786181926727295
trial_1	active	151	KG00098274	Infarction, Cerebral	0.16534824669361115
trial_1	active	78	KG00099326	Hypertensive diseases	0.16457264125347137
trial_1	active	14	KG00097852	Anemia NOS	0.16399264335632324
trial_1	active	211	KG00100341	Pruritus NOS	0.1606832593679428
trial_1	active	221	KG00101207	peripheral oedema	0.15283994376659393
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.15001823008060455
trial_1	active	68	KG00099901	nauseas	0.1437191218137741
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.13866382837295532
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.1376064419746399
trial_1	active	123	KG00099351	hypokalaemia	0.13674725592136383
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.13508982956409454
trial_1	active	37	KG00097696	Cramps, Abdominal	0.13453835248947144
trial_1	active	147	KG00098000	atelectases	0.134504497051239
trial_1	active	441	KG00098262	cellulitis nos	0.1324901431798935
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.12417315691709518
trial_1	active	21	KG00098675	dyspnoea	0.12294358760118484
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.12198712676763535
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.11762601882219315
trial_1	active	20	KG00098540	dehydration	0.11478108912706375
trial_1	active	77	KG00098450	Constipation NOS	0.11031905561685562
trial_1	active	46	KG00099121	Headache NOS	0.10737571120262146
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.10531019419431686
trial_1	active	69	KG00100082	Palpitations NOS	0.10385794937610626
trial_1	active	85	KG00098474	coughs	0.0944182351231575
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.09323249757289886
trial_1	active	237	KG00099189	haemoptysis	0.09253773838281631
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.09125746041536331
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.09084128588438034
trial_1	active	102	KG00097916	anxieties	0.08952327817678452
trial_1	active	488	KG00098167	Bronchospasm NOS	0.08918313682079315
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.08682168275117874
trial_1	active	126	KG00100076	Pain NOS	0.08515560626983643
trial_1	active	31	KG00099872	Infarction, Myocardial	0.08299615234136581
trial_1	active	380	KG00099133	Heart failures	0.0810752585530281
trial_1	active	398	KG00100580	Shock, Septic	0.08008572459220886
trial_1	active	2	KG00100772	thrombocytopaenia	0.07646474242210388
trial_1	active	79	KG00100317	Insomnia, Primary	0.07645335793495178
trial_1	active	713	KG00107657	distressed respiratory	0.07603458315134048
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.07501937448978424
trial_1	active	18	KG00098307	Pain, Chest	0.07487741857767105
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.0731634870171547
trial_1	active	29	KG00099354	hyponatraemia	0.07222526520490646
trial_1	active	450	KG00101442	anasarca	0.07105875015258789
trial_1	active	27	KG00099303	hyperkalaemia	0.07076410204172134
trial_1	active	208	KG00099896	Nasal congestion (finding)	0.06914366036653519
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.06892193853855133
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.06860097497701645
trial_1	active	271	KG00103813	reflex bradycardia	0.06834127008914948
trial_1	active	25	KG00099134	congestive failures heart	0.06833136081695557
trial_1	active	228	KG00114657	Weight below normal	0.06709235906600952
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.06568358093500137
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.06519801169633865
trial_1	active	177	KG00099299	hyperglycaemia	0.06501984596252441
trial_1	active	4	KG00098817	epistaxis	0.06473714858293533
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.0634613037109375
trial_1	active	661	KG00101056	Laceration(s)	0.06304848939180374
trial_1	active	96	KG00101679	Unattended death NOS	0.06274116784334183
trial_1	active	186	KG00101431	creatinine increased	0.060384076088666916
trial_1	active	618	KG00099164	haematoma	0.0591069795191288
trial_1	active	116	KG00098964	Pain in foot	0.058991868048906326
trial_1	active	204	KG00098849	Esophagitis, Peptic	0.05714390426874161
trial_1	active	86	KG00098565	Depression, Mental	0.05684986710548401
trial_1	active	466	KG00101205	fall	0.05539713427424431
trial_1	active	15	KG00097882	Angina pectoris NOS	0.05429378151893616
trial_1	active	402	KG00101291	Lower respiratory tract infections	0.053379274904727936
trial_1	active	585	KG00098005	Flutter, Atrial	0.05311800166964531
trial_1	active	17	KG00097991	Asthenia NOS	0.05308714509010315
trial_1	active	101	KG00097901	Anorexia NOS	0.05245352163910866
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.05210381746292114
trial_1	active	219	KG00101049	Wheezes	0.051553573459386826
trial_1	active	130	KG00100683	Stomatitis NOS	0.05101363733410835
trial_1	active	481	KG00104585	Pulmonary congestion, NOS	0.05035945773124695
trial_1	active	200	KG00098539	Disorders, Deglutition	0.050343580543994904
trial_1	active	94	KG00103829	abdominal discomfort	0.05031149089336395
trial_1	active	139	KG00098855	Sinusitis, Ethmoid	0.04994732141494751
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.04978404566645622
trial_1	active	652	KG00100662	Sputums	0.04933291673660278
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.04925049468874931
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.04798382148146629
trial_1	active	118	KG00099011	Gastritis NOS	0.047816865146160126
trial_1	active	329	KG00100062	otitis media nos	0.04630409926176071
trial_1	active	142	KG00100923	Unspecified infectious and parasitic diseases	0.04629380628466606
trial_1	active	392	KG00100135	paroxysmal ventricular tachycardia	0.046034228056669235
trial_1	active	150	KG00098201	candidiases	0.045823704451322556
trial_1	active	236	KG00099158	haematemesis	0.04575379192829132
trial_1	active	104	KG00097963	arthralgias	0.04544413462281227
trial_1	active	270	KG00101499	Haemorrhage pulmonary	0.045004524290561676
trial_1	active	24	KG00099015	Hemorrhage, Gastrointestinal	0.04483446478843689
trial_1	active	608	KG00098572	Atopic Dermatitis	0.044761449098587036
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
