trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.5350663065910339
trial_1	active	9	KG00098432	Confusion NOS	0.43918079137802124
trial_1	active	30	KG00099500	Acute Kidney Failure	0.3940460979938507
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.39183181524276733
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.36148300766944885
trial_1	active	49	KG00099902	nausea with vomiting	0.3535448908805847
trial_1	active	211	KG00100341	Pruritus NOS	0.33281856775283813
trial_1	active	114	KG00098933	fevers	0.3163996934890747
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.31412917375564575
trial_1	active	228	KG00114657	Weight below normal	0.3120258152484894
trial_1	active	68	KG00099901	nauseas	0.3090532124042511
trial_1	active	123	KG00099351	hypokalaemia	0.3036356568336487
trial_1	active	21	KG00098675	dyspnoea	0.30323171615600586
trial_1	active	20	KG00098540	dehydration	0.29863402247428894
trial_1	active	77	KG00098450	Constipation NOS	0.2929772436618805
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.2897903621196747
trial_1	active	78	KG00099326	Hypertensive diseases	0.27890872955322266
trial_1	active	37	KG00097696	Cramps, Abdominal	0.27666008472442627
trial_1	active	151	KG00098274	Infarction, Cerebral	0.27474433183670044
trial_1	active	441	KG00098262	cellulitis nos	0.27446648478507996
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.2678394615650177
trial_1	active	221	KG00101207	peripheral oedema	0.2639330327510834
trial_1	active	102	KG00097916	anxieties	0.2639070749282837
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.2596333622932434
trial_1	active	180	KG00099363	Hypotension NOS	0.2505457401275635
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.2496970146894455
trial_1	active	269	KG00100399	pyaemia	0.2444511502981186
trial_1	active	276	KG00099127	Arrest, Cardiac	0.23277217149734497
trial_1	active	27	KG00099303	hyperkalaemia	0.22544647753238678
trial_1	active	191	KG00104055	Biliverdin increased	0.2182311713695526
trial_1	active	14	KG00097852	Anemia NOS	0.2168864607810974
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.2154853790998459
trial_1	active	86	KG00098565	Depression, Mental	0.21276985108852386
trial_1	active	147	KG00098000	atelectases	0.2119038701057434
trial_1	active	29	KG00099354	hyponatraemia	0.21022650599479675
trial_1	active	11	KG00097993	Asthma NOS	0.20776589214801788
trial_1	active	101	KG00097901	Anorexia NOS	0.19267334043979645
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.19103309512138367
trial_1	active	104	KG00097963	arthralgias	0.19100584089756012
trial_1	active	18	KG00098307	Pain, Chest	0.18914678692817688
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.18799448013305664
trial_1	active	2	KG00100772	thrombocytopaenia	0.1878073811531067
trial_1	active	466	KG00101205	fall	0.18738526105880737
trial_1	active	17	KG00097991	Asthenia NOS	0.18410280346870422
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.18357783555984497
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.17933087050914764
trial_1	active	126	KG00100076	Pain NOS	0.1789015233516693
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.1745494157075882
trial_1	active	661	KG00101056	Laceration(s)	0.1723421961069107
trial_1	active	69	KG00100082	Palpitations NOS	0.17067062854766846
trial_1	active	5	KG00099169	haematuria	0.1681402027606964
trial_1	active	79	KG00100317	Insomnia, Primary	0.16767935454845428
trial_1	active	15	KG00097882	Angina pectoris NOS	0.16571955382823944
trial_1	active	271	KG00103813	reflex bradycardia	0.1639111489057541
trial_1	active	46	KG00099121	Headache NOS	0.1636715531349182
trial_1	active	85	KG00098474	coughs	0.16222284734249115
trial_1	active	31	KG00099872	Infarction, Myocardial	0.1617916226387024
trial_1	active	35	KG00101507	hypomagnesaemia	0.16001449525356293
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.1589340716600418
trial_1	active	239	KG00100128	pareses	0.15861837565898895
trial_1	active	98	KG00097718	Incised wound, NOS	0.152915358543396
trial_1	active	186	KG00101431	creatinine increased	0.15059903264045715
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.14925795793533325
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.14706233143806458
trial_1	active	237	KG00099189	haemoptysis	0.14482802152633667
trial_1	active	94	KG00103829	abdominal discomfort	0.1381789743900299
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.13263003528118134
trial_1	active	286	KG00101110	Retention, Urinary	0.13064567744731903
trial_1	active	177	KG00099299	hyperglycaemia	0.12981808185577393
trial_1	active	130	KG00100683	Stomatitis NOS	0.12884312868118286
trial_1	active	302	KG00100163	Pericardial effusions	0.12869687378406525
trial_1	active	179	KG00099342	hypocalcaemia	0.1279904544353485
trial_1	active	488	KG00098167	Bronchospasm NOS	0.12582366168498993
trial_1	active	618	KG00099164	haematoma	0.12501369416713715
trial_1	active	404	KG00101768	Staphylococcal bacteraemia	0.12397482991218567
trial_1	active	116	KG00098964	Pain in foot	0.12306028604507446
trial_1	active	282	KG00099309	hypernatraemia	0.12301841378211975
trial_1	active	108	KG00098479	Cramp, Limb	0.12283376604318619
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.12212289869785309
trial_1	active	4	KG00098817	epistaxis	0.12202522903680801
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.12139998376369476
trial_1	active	398	KG00100580	Shock, Septic	0.1209738552570343
trial_1	active	212	KG00100576	shivers	0.12081652134656906
trial_1	active	387	KG00099558	Ulcer, Leg	0.12037140130996704
trial_1	active	713	KG00107657	distressed respiratory	0.12023086100816727
trial_1	active	478	KG00103778	antalgic gait	0.11690446734428406
trial_1	active	257	KG00100922	Erythema NOS	0.11446460336446762
trial_1	active	204	KG00098849	Esophagitis, Peptic	0.11224988102912903
trial_1	active	400	KG00100925	Upper gastrointestinal haemorrhage	0.1108904778957367
trial_1	active	382	KG00099200	haemorrhoids	0.11037600040435791
trial_1	active	25	KG00099134	congestive failures heart	0.11019483208656311
trial_1	active	136	KG00101582	Dry;skin	0.10915887355804443
trial_1	active	288	KG00101223	hypophosphataemia	0.10876571387052536
trial_1	active	200	KG00098539	Disorders, Deglutition	0.10866440832614899
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.10805223137140274
trial_1	active	264	KG00098627	Coagulation, Intravascular Disseminated	0.10727806389331818
trial_1	active	425	KG00098146	Chronic Brain Damage	0.1069725975394249
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.10688261687755585
trial_1	active	455	KG00099290	hyperbilirubinemias	0.1064324826002121
trial_1	active	450	KG00101442	anasarca	0.10582544654607773
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
