trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.4594738185405731
trial_1	active	9	KG00098432	Confusion NOS	0.3548746407032013
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.31776633858680725
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.31073060631752014
trial_1	active	30	KG00099500	Acute Kidney Failure	0.2818180322647095
trial_1	active	21	KG00098675	dyspnoea	0.25246259570121765
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.24506963789463043
trial_1	active	78	KG00099326	Hypertensive diseases	0.224206805229187
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.22359144687652588
trial_1	active	11	KG00097993	Asthma NOS	0.22337043285369873
trial_1	active	151	KG00098274	Infarction, Cerebral	0.21999436616897583
trial_1	active	180	KG00099363	Hypotension NOS	0.2127634882926941
trial_1	active	49	KG00099902	nausea with vomiting	0.21098922193050385
trial_1	active	123	KG00099351	hypokalaemia	0.20245832204818726
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.2019394338130951
trial_1	active	68	KG00099901	nauseas	0.199822336435318
trial_1	active	211	KG00100341	Pruritus NOS	0.19889436662197113
trial_1	active	37	KG00097696	Cramps, Abdominal	0.19543173909187317
trial_1	active	114	KG00098933	fevers	0.19327224791049957
trial_1	active	276	KG00099127	Arrest, Cardiac	0.19060118496418
trial_1	active	69	KG00100082	Palpitations NOS	0.18313387036323547
trial_1	active	77	KG00098450	Constipation NOS	0.17751844227313995
trial_1	active	441	KG00098262	cellulitis nos	0.17500905692577362
trial_1	active	269	KG00100399	pyaemia	0.17158034443855286
trial_1	active	147	KG00098000	atelectases	0.1712615191936493
trial_1	active	104	KG00097963	arthralgias	0.16859965026378632
trial_1	active	20	KG00098540	dehydration	0.1650630384683609
trial_1	active	221	KG00101207	peripheral oedema	0.16471189260482788
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.16144219040870667
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.15993483364582062
trial_1	active	5	KG00099169	haematuria	0.156691774725914
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.15036317706108093
trial_1	active	271	KG00103813	reflex bradycardia	0.14911296963691711
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.14896507561206818
trial_1	active	85	KG00098474	coughs	0.14641430974006653
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.1457732915878296
trial_1	active	98	KG00097718	Incised wound, NOS	0.143769308924675
trial_1	active	15	KG00097882	Angina pectoris NOS	0.139929860830307
trial_1	active	4	KG00098817	epistaxis	0.13710038363933563
trial_1	active	18	KG00098307	Pain, Chest	0.13640104234218597
trial_1	active	79	KG00100317	Insomnia, Primary	0.13619647920131683
trial_1	active	661	KG00101056	Laceration(s)	0.13469508290290833
trial_1	active	14	KG00097852	Anemia NOS	0.13425490260124207
trial_1	active	102	KG00097916	anxieties	0.13199473917484283
trial_1	active	46	KG00099121	Headache NOS	0.1291375458240509
trial_1	active	29	KG00099354	hyponatraemia	0.12863081693649292
trial_1	active	86	KG00098565	Depression, Mental	0.12591826915740967
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.12451116740703583
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.12318076193332672
trial_1	active	31	KG00099872	Infarction, Myocardial	0.11719807982444763
trial_1	active	228	KG00114657	Weight below normal	0.11633465439081192
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.11550325900316238
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.11511333286762238
trial_1	active	466	KG00101205	fall	0.11487054079771042
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.1144024133682251
trial_1	active	17	KG00097991	Asthenia NOS	0.11408105492591858
trial_1	active	237	KG00099189	haemoptysis	0.11278524249792099
trial_1	active	618	KG00099164	haematoma	0.11196715384721756
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.11127287894487381
trial_1	active	27	KG00099303	hyperkalaemia	0.10862506181001663
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.1057257428765297
trial_1	active	177	KG00099299	hyperglycaemia	0.10543681681156158
trial_1	active	116	KG00098964	Pain in foot	0.10080531984567642
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.09966744482517242
