trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.26249590516090393
trial_1	active	9	KG00098432	Confusion NOS	0.24964766204357147
trial_1	active	87	KG00098599	diarrhoea	0.24055403470993042
trial_1	active	30	KG00099500	Acute Kidney Failure	0.23191893100738525
trial_1	active	151	KG00098274	Infarction, Cerebral	0.21452546119689941
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.2105669230222702
trial_1	active	114	KG00098933	fevers	0.20025746524333954
trial_1	active	78	KG00099326	Hypertensive diseases	0.19174076616764069
trial_1	active	180	KG00099363	Hypotension NOS	0.18003366887569427
trial_1	active	269	KG00100399	pyaemia	0.17443379759788513
trial_1	active	221	KG00101207	peripheral oedema	0.1730741262435913
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.17164263129234314
trial_1	active	14	KG00097852	Anemia NOS	0.17126038670539856
trial_1	active	77	KG00098450	Constipation NOS	0.1494261920452118
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.13926324248313904
trial_1	active	49	KG00099902	nausea with vomiting	0.13917097449302673
trial_1	active	276	KG00099127	Arrest, Cardiac	0.13769489526748657
trial_1	active	2	KG00100772	thrombocytopaenia	0.13256129622459412
trial_1	active	123	KG00099351	hypokalaemia	0.13138632476329803
trial_1	active	20	KG00098540	dehydration	0.1268729269504547
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.1263832002878189
trial_1	active	11	KG00097993	Asthma NOS	0.12628737092018127
trial_1	active	102	KG00097916	anxieties	0.12558043003082275
trial_1	active	68	KG00099901	nauseas	0.12252189964056015
trial_1	active	147	KG00098000	atelectases	0.12200793623924255
trial_1	active	37	KG00097696	Cramps, Abdominal	0.1217321902513504
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.12156207859516144
trial_1	active	130	KG00100683	Stomatitis NOS	0.12122166156768799
trial_1	active	29	KG00099354	hyponatraemia	0.11969950050115585
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.11820505559444427
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.11785681545734406
trial_1	active	211	KG00100341	Pruritus NOS	0.11576477438211441
trial_1	active	177	KG00099299	hyperglycaemia	0.1144777238368988
trial_1	active	69	KG00100082	Palpitations NOS	0.1088881716132164
trial_1	active	441	KG00098262	cellulitis nos	0.10878783464431763
trial_1	active	79	KG00100317	Insomnia, Primary	0.10863593965768814
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.10565785318613052
trial_1	active	398	KG00100580	Shock, Septic	0.10125691443681717
trial_1	active	35	KG00101507	hypomagnesaemia	0.10121146589517593
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.09932608902454376
trial_1	active	228	KG00114657	Weight below normal	0.09924640506505966
trial_1	active	27	KG00099303	hyperkalaemia	0.09728910773992538
trial_1	active	86	KG00098565	Depression, Mental	0.09482387453317642
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.09335947036743164
trial_1	active	186	KG00101431	creatinine increased	0.09028896689414978
trial_1	active	21	KG00098675	dyspnoea	0.08900196850299835
