trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.21071216464042664
trial_1	active	151	KG00098274	Infarction, Cerebral	0.19063520431518555
trial_1	active	9	KG00098432	Confusion NOS	0.1777120679616928
trial_1	active	87	KG00098599	diarrhoea	0.1707424819469452
trial_1	active	49	KG00099902	nausea with vomiting	0.14728465676307678
trial_1	active	114	KG00098933	fevers	0.14407244324684143
trial_1	active	102	KG00097916	anxieties	0.14084549248218536
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.14076648652553558
trial_1	active	30	KG00099500	Acute Kidney Failure	0.13293810188770294
trial_1	active	211	KG00100341	Pruritus NOS	0.12349142879247665
trial_1	active	221	KG00101207	peripheral oedema	0.12275654822587967
trial_1	active	11	KG00097993	Asthma NOS	0.12075242400169373
trial_1	active	77	KG00098450	Constipation NOS	0.11296086013317108
trial_1	active	20	KG00098540	dehydration	0.11059712618589401
trial_1	active	79	KG00100317	Insomnia, Primary	0.10987145453691483
trial_1	active	180	KG00099363	Hypotension NOS	0.1039612889289856
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.1025104969739914
trial_1	active	78	KG00099326	Hypertensive diseases	0.10218475013971329
trial_1	active	68	KG00099901	nauseas	0.09731236100196838
trial_1	active	37	KG00097696	Cramps, Abdominal	0.09562577307224274
trial_1	active	86	KG00098565	Depression, Mental	0.09205609560012817
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.09054230153560638
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.0872010737657547
trial_1	active	269	KG00100399	pyaemia	0.08516009896993637
trial_1	active	441	KG00098262	cellulitis nos	0.08466801047325134
trial_1	active	123	KG00099351	hypokalaemia	0.07734853029251099
trial_1	active	21	KG00098675	dyspnoea	0.07293064147233963
trial_1	active	147	KG00098000	atelectases	0.0714993104338646
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.07135245949029922
trial_1	active	14	KG00097852	Anemia NOS	0.07103656232357025
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.07094185799360275
trial_1	active	466	KG00101205	fall	0.06902580708265305
trial_1	active	276	KG00099127	Arrest, Cardiac	0.06740598380565643
trial_1	active	661	KG00101056	Laceration(s)	0.06504420191049576
trial_1	active	228	KG00114657	Weight below normal	0.06370014697313309
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.06342369318008423
trial_1	active	17	KG00097991	Asthenia NOS	0.06274734437465668
trial_1	active	69	KG00100082	Palpitations NOS	0.06256510317325592
trial_1	active	46	KG00099121	Headache NOS	0.06015748530626297
trial_1	active	66	KG00098642	drowsiness	0.05979993939399719
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.05955549702048302
trial_1	active	177	KG00099299	hyperglycaemia	0.058534059673547745
trial_1	active	130	KG00100683	Stomatitis NOS	0.05761762335896492
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.057391420006752014
trial_1	active	85	KG00098474	coughs	0.055379245430231094
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.053152233362197876
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.05216964706778526
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.051703207194805145
trial_1	active	101	KG00097901	Anorexia NOS	0.05023745074868202
trial_1	active	31	KG00099872	Infarction, Myocardial	0.05008498206734657
trial_1	active	4	KG00098817	epistaxis	0.0500716008245945
trial_1	active	29	KG00099354	hyponatraemia	0.04983971640467644
trial_1	active	126	KG00100076	Pain NOS	0.04972592741250992
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.04726126417517662
trial_1	active	18	KG00098307	Pain, Chest	0.047039907425642014
trial_1	active	456	KG00099420	Influenzae	0.046658534556627274
trial_1	active	186	KG00101431	creatinine increased	0.04664487764239311
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.04655744507908821
trial_1	active	94	KG00103829	abdominal discomfort	0.04550240933895111
trial_1	active	5	KG00099169	haematuria	0.04457256570458412
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.04432309418916702
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.04329768195748329
trial_1	active	104	KG00097963	arthralgias	0.04321838542819023
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.04300574213266373
trial_1	active	271	KG00103813	reflex bradycardia	0.04292183741927147
trial_1	active	2	KG00100772	thrombocytopaenia	0.04276353865861893
trial_1	active	15	KG00097882	Angina pectoris NOS	0.04233574494719505
trial_1	active	96	KG00101679	Unattended death NOS	0.041725028306245804
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.04079149290919304
trial_1	active	398	KG00100580	Shock, Septic	0.04041178897023201
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.03980885446071625
trial_1	active	713	KG00107657	distressed respiratory	0.03966507688164711
trial_1	active	139	KG00098855	Sinusitis, Ethmoid	0.0387687012553215
trial_1	active	118	KG00099011	Gastritis NOS	0.038687560707330704
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.03839225694537163
trial_1	active	237	KG00099189	haemoptysis	0.038219012320041656
trial_1	active	98	KG00097718	Incised wound, NOS	0.03818415105342865
trial_1	active	116	KG00098964	Pain in foot	0.037615254521369934
trial_1	active	27	KG00099303	hyperkalaemia	0.03734093904495239
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.0367194339632988
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.03616086021065712
trial_1	active	286	KG00101110	Retention, Urinary	0.035967934876680374
trial_1	active	524	KG00100611	Sleeping disturbances	0.035114239901304245
