trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.42963889241218567
trial_1	active	9	KG00098432	Confusion NOS	0.3334863483905792
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.3103509247303009
trial_1	active	114	KG00098933	fevers	0.28140607476234436
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.27009180188179016
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.2689720690250397
trial_1	active	68	KG00099901	nauseas	0.26780378818511963
trial_1	active	49	KG00099902	nausea with vomiting	0.2644531726837158
trial_1	active	78	KG00099326	Hypertensive diseases	0.26321887969970703
trial_1	active	30	KG00099500	Acute Kidney Failure	0.2570771276950836
trial_1	active	37	KG00097696	Cramps, Abdominal	0.24331839382648468
trial_1	active	77	KG00098450	Constipation NOS	0.24093134701251984
trial_1	active	11	KG00097993	Asthma NOS	0.2218332439661026
trial_1	active	151	KG00098274	Infarction, Cerebral	0.22156184911727905
trial_1	active	211	KG00100341	Pruritus NOS	0.22147077322006226
trial_1	active	221	KG00101207	peripheral oedema	0.21420834958553314
trial_1	active	102	KG00097916	anxieties	0.20643389225006104
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.2053665667772293
trial_1	active	14	KG00097852	Anemia NOS	0.20400658249855042
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.19975481927394867
trial_1	active	2	KG00100772	thrombocytopaenia	0.19722647964954376
trial_1	active	269	KG00100399	pyaemia	0.19078566133975983
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.19035065174102783
trial_1	active	130	KG00100683	Stomatitis NOS	0.1876118928194046
trial_1	active	69	KG00100082	Palpitations NOS	0.17956949770450592
trial_1	active	20	KG00098540	dehydration	0.17951533198356628
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.17912030220031738
trial_1	active	180	KG00099363	Hypotension NOS	0.1787484586238861
trial_1	active	123	KG00099351	hypokalaemia	0.177922323346138
trial_1	active	276	KG00099127	Arrest, Cardiac	0.17590546607971191
trial_1	active	79	KG00100317	Insomnia, Primary	0.17254966497421265
trial_1	active	147	KG00098000	atelectases	0.1696237176656723
trial_1	active	228	KG00114657	Weight below normal	0.16332180798053741
trial_1	active	441	KG00098262	cellulitis nos	0.16280680894851685
trial_1	active	21	KG00098675	dyspnoea	0.16220997273921967
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.15687598288059235
trial_1	active	86	KG00098565	Depression, Mental	0.15627510845661163
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.1482839286327362
trial_1	active	101	KG00097901	Anorexia NOS	0.1465625911951065
trial_1	active	29	KG00099354	hyponatraemia	0.14366045594215393
trial_1	active	186	KG00101431	creatinine increased	0.14147891104221344
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.1312483847141266
trial_1	active	85	KG00098474	coughs	0.13076002895832062
trial_1	active	46	KG00099121	Headache NOS	0.126336932182312
trial_1	active	5	KG00099169	haematuria	0.1250782608985901
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.12465766072273254
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.1243767961859703
trial_1	active	661	KG00101056	Laceration(s)	0.12296711653470993
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.11971966922283173
trial_1	active	177	KG00099299	hyperglycaemia	0.11884497851133347
trial_1	active	17	KG00097991	Asthenia NOS	0.11689621210098267
trial_1	active	98	KG00097718	Incised wound, NOS	0.11619574576616287
trial_1	active	237	KG00099189	haemoptysis	0.11530642956495285
trial_1	active	4	KG00098817	epistaxis	0.11342982202768326
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.11257366091012955
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.11230707168579102
trial_1	active	104	KG00097963	arthralgias	0.10950622707605362
trial_1	active	202	KG00098630	Disturbance of Skin Sensation	0.10932604223489761
trial_1	active	35	KG00101507	hypomagnesaemia	0.10911349207162857
trial_1	active	27	KG00099303	hyperkalaemia	0.10833808034658432
trial_1	active	94	KG00103829	abdominal discomfort	0.1071331650018692
trial_1	active	547	KG00099240	herpes; labialis	0.10703631490468979
trial_1	active	191	KG00104055	Biliverdin increased	0.10515311360359192
trial_1	active	466	KG00101205	fall	0.10496039688587189
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.10351534932851791
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.10146112740039825
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.10092557966709137
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.1009226143360138
trial_1	active	204	KG00098849	Esophagitis, Peptic	0.10085611045360565
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.10041456669569016
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.10039503872394562
trial_1	active	208	KG00099896	Nasal congestion (finding)	0.10038837790489197
trial_1	active	126	KG00100076	Pain NOS	0.09976460039615631
trial_1	active	116	KG00098964	Pain in foot	0.09689029306173325
trial_1	active	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.09596329927444458
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.09531152993440628
trial_1	active	257	KG00100922	Erythema NOS	0.09421474486589432
trial_1	active	713	KG00107657	distressed respiratory	0.09351196140050888
trial_1	active	488	KG00098167	Bronchospasm NOS	0.0930827185511589
trial_1	active	398	KG00100580	Shock, Septic	0.09277278184890747
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.09244677424430847
trial_1	active	212	KG00100576	shivers	0.09109534323215485
trial_1	active	271	KG00103813	reflex bradycardia	0.09052274376153946
trial_1	active	395	KG00100340	Prurigo NOS	0.09045414626598358
trial_1	active	144	KG00099610	Leukopenia NOS	0.08937850594520569
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.08882700651884079
trial_1	active	71	KG00100958	urticarias	0.08870287239551544
trial_1	active	18	KG00098307	Pain, Chest	0.08855944126844406
trial_1	active	239	KG00100128	pareses	0.08845726400613785
trial_1	active	219	KG00101049	Wheezes	0.08800879120826721
trial_1	active	350	KG00106765	decreased platelet count	0.08753203600645065
trial_1	active	454	KG00098286	Pain, Neck	0.08718156069517136
trial_1	active	31	KG00099872	Infarction, Myocardial	0.087154820561409
trial_1	active	618	KG00099164	haematoma	0.08675717562437057
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.08655344694852829
trial_1	active	200	KG00098539	Disorders, Deglutition	0.08652409166097641
trial_1	active	470	KG00098567	dermabrasions	0.08510084450244904
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.08399265259504318
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.08355051279067993
trial_1	active	72	KG00103771	myalgias	0.08309728652238846
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
