trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	9	KG00098432	Confusion NOS	0.25164535641670227
trial_1	active	87	KG00098599	diarrhoea	0.23148533701896667
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.22759909927845
trial_1	active	151	KG00098274	Infarction, Cerebral	0.21788941323757172
trial_1	active	30	KG00099500	Acute Kidney Failure	0.2140229195356369
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.21085558831691742
trial_1	active	78	KG00099326	Hypertensive diseases	0.20827578008174896
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.18514491617679596
trial_1	active	77	KG00098450	Constipation NOS	0.17361733317375183
trial_1	active	180	KG00099363	Hypotension NOS	0.16466741263866425
trial_1	active	221	KG00101207	peripheral oedema	0.15140613913536072
trial_1	active	114	KG00098933	fevers	0.14849478006362915
trial_1	active	68	KG00099901	nauseas	0.14847822487354279
trial_1	active	269	KG00100399	pyaemia	0.14117708802223206
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.14052750170230865
trial_1	active	49	KG00099902	nausea with vomiting	0.13507607579231262
trial_1	active	14	KG00097852	Anemia NOS	0.13033556938171387
trial_1	active	276	KG00099127	Arrest, Cardiac	0.12862317264080048
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.12707357108592987
trial_1	active	102	KG00097916	anxieties	0.1263374537229538
trial_1	active	441	KG00098262	cellulitis nos	0.12415631115436554
trial_1	active	2	KG00100772	thrombocytopaenia	0.12232325971126556
trial_1	active	123	KG00099351	hypokalaemia	0.11711541563272476
trial_1	active	147	KG00098000	atelectases	0.11657651513814926
trial_1	active	69	KG00100082	Palpitations NOS	0.1121126338839531
trial_1	active	29	KG00099354	hyponatraemia	0.11195196211338043
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.11169029772281647
trial_1	active	20	KG00098540	dehydration	0.1103862076997757
trial_1	active	11	KG00097993	Asthma NOS	0.10992459952831268
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.10674605518579483
trial_1	active	79	KG00100317	Insomnia, Primary	0.10379869490861893
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.10258366912603378
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.09827584773302078
trial_1	active	37	KG00097696	Cramps, Abdominal	0.09769675880670547
trial_1	active	211	KG00100341	Pruritus NOS	0.09613622725009918
trial_1	active	27	KG00099303	hyperkalaemia	0.09595200419425964
