trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.18614186346530914
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.1260867863893509
trial_1	active	151	KG00098274	Infarction, Cerebral	0.11068469285964966
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.10750900954008102
trial_1	active	30	KG00099500	Acute Kidney Failure	0.09832176566123962
trial_1	active	114	KG00098933	fevers	0.08664969354867935
trial_1	active	180	KG00099363	Hypotension NOS	0.08326786011457443
trial_1	active	147	KG00098000	atelectases	0.07886721938848495
trial_1	active	211	KG00100341	Pruritus NOS	0.07749205827713013
trial_1	active	77	KG00098450	Constipation NOS	0.07645699381828308
trial_1	active	9	KG00098432	Confusion NOS	0.07587125152349472
trial_1	active	276	KG00099127	Arrest, Cardiac	0.07237058132886887
trial_1	active	269	KG00100399	pyaemia	0.0722646415233612
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.07044588774442673
trial_1	active	37	KG00097696	Cramps, Abdominal	0.06658787280321121
trial_1	active	49	KG00099902	nausea with vomiting	0.06503080576658249
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.06378938257694244
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.06307323276996613
trial_1	active	221	KG00101207	peripheral oedema	0.06230294331908226
trial_1	active	123	KG00099351	hypokalaemia	0.061835791915655136
trial_1	active	14	KG00097852	Anemia NOS	0.061314381659030914
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.0562153160572052
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.055399030447006226
trial_1	active	20	KG00098540	dehydration	0.05503053963184357
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.054866865277290344
trial_1	active	441	KG00098262	cellulitis nos	0.05472393333911896
trial_1	active	78	KG00099326	Hypertensive diseases	0.05381489917635918
trial_1	active	68	KG00099901	nauseas	0.05354104936122894
trial_1	active	11	KG00097993	Asthma NOS	0.05229650437831879
trial_1	active	21	KG00098675	dyspnoea	0.05091075226664543
trial_1	active	31	KG00099872	Infarction, Myocardial	0.045977793633937836
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.0449257493019104
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.044163674116134644
trial_1	active	46	KG00099121	Headache NOS	0.04393569380044937
trial_1	active	177	KG00099299	hyperglycaemia	0.04272874817252159
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.0419953353703022
trial_1	active	102	KG00097916	anxieties	0.041830264031887054
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.03955627605319023
trial_1	active	69	KG00100082	Palpitations NOS	0.038314320147037506
trial_1	active	398	KG00100580	Shock, Septic	0.03779483214020729
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.037478841841220856
trial_1	active	713	KG00107657	distressed respiratory	0.03697316721081734
trial_1	active	85	KG00098474	coughs	0.03581392392516136
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.03568289801478386
trial_1	active	96	KG00101679	Unattended death NOS	0.03558579459786415
trial_1	active	79	KG00100317	Insomnia, Primary	0.03546113893389702
trial_1	active	130	KG00100683	Stomatitis NOS	0.03539523482322693
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.035251978784799576
trial_1	active	2	KG00100772	thrombocytopaenia	0.035142235457897186
trial_1	active	126	KG00100076	Pain NOS	0.03476666286587715
trial_1	active	29	KG00099354	hyponatraemia	0.03399348258972168
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.03380046784877777
trial_1	active	27	KG00099303	hyperkalaemia	0.033630162477493286
trial_1	active	86	KG00098565	Depression, Mental	0.03219689428806305
trial_1	active	4	KG00098817	epistaxis	0.031476061791181564
trial_1	active	186	KG00101431	creatinine increased	0.031002478674054146
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.030039401724934578
trial_1	active	5	KG00099169	haematuria	0.029311558231711388
trial_1	active	237	KG00099189	haemoptysis	0.02911856584250927
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.02876495011150837
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.028310485184192657
trial_1	active	15	KG00097882	Angina pectoris NOS	0.02830268256366253
trial_1	active	488	KG00098167	Bronchospasm NOS	0.028230926021933556
trial_1	active	466	KG00101205	fall	0.02708687074482441
trial_1	active	18	KG00098307	Pain, Chest	0.027043482288718224
