trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.3339943587779999
trial_1	active	68	KG00099901	nauseas	0.30678704380989075
trial_1	active	114	KG00098933	fevers	0.305290162563324
trial_1	active	49	KG00099902	nausea with vomiting	0.2965143620967865
trial_1	active	9	KG00098432	Confusion NOS	0.23305298388004303
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.20330853760242462
trial_1	active	14	KG00097852	Anemia NOS	0.19404347240924835
trial_1	active	77	KG00098450	Constipation NOS	0.18752534687519073
trial_1	active	211	KG00100341	Pruritus NOS	0.1847124695777893
trial_1	active	37	KG00097696	Cramps, Abdominal	0.18298940360546112
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.17725710570812225
trial_1	active	180	KG00099363	Hypotension NOS	0.17584966123104095
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.17003245651721954
trial_1	active	20	KG00098540	dehydration	0.166584774851799
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.15913428366184235
trial_1	active	21	KG00098675	dyspnoea	0.15168419480323792
trial_1	active	101	KG00097901	Anorexia NOS	0.1497829109430313
trial_1	active	221	KG00101207	peripheral oedema	0.14914798736572266
trial_1	active	17	KG00097991	Asthenia NOS	0.14803816378116608
trial_1	active	269	KG00100399	pyaemia	0.1468396782875061
trial_1	active	2	KG00100772	thrombocytopaenia	0.14573335647583008
trial_1	active	151	KG00098274	Infarction, Cerebral	0.14273972809314728
trial_1	active	30	KG00099500	Acute Kidney Failure	0.13217034935951233
trial_1	active	123	KG00099351	hypokalaemia	0.1296367198228836
trial_1	active	78	KG00099326	Hypertensive diseases	0.12864956259727478
trial_1	active	177	KG00099299	hyperglycaemia	0.12679223716259003
trial_1	active	102	KG00097916	anxieties	0.12519434094429016
trial_1	active	79	KG00100317	Insomnia, Primary	0.11868948489427567
trial_1	active	1	KG00099959	Neutropenia NOS	0.11789759248495102
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.11172642558813095
trial_1	active	46	KG00099121	Headache NOS	0.11034690588712692
trial_1	active	29	KG00099354	hyponatraemia	0.10477558523416519
trial_1	active	147	KG00098000	atelectases	0.10060923546552658
trial_1	active	130	KG00100683	Stomatitis NOS	0.09993425011634827
trial_1	active	228	KG00114657	Weight below normal	0.09654983133077621
trial_1	active	441	KG00098262	cellulitis nos	0.09351135790348053
trial_1	active	144	KG00099610	Leukopenia NOS	0.08979292213916779
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.088202565908432
trial_1	active	85	KG00098474	coughs	0.08735959976911545
