trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	9	KG00098432	Confusion NOS	0.4805664122104645
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.3609462082386017
trial_1	active	151	KG00098274	Infarction, Cerebral	0.3221992552280426
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.3121304512023926
trial_1	active	30	KG00099500	Acute Kidney Failure	0.3017720580101013
trial_1	active	87	KG00098599	diarrhoea	0.2922441363334656
trial_1	active	77	KG00098450	Constipation NOS	0.28609853982925415
trial_1	active	68	KG00099901	nauseas	0.27500438690185547
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.23538453876972198
trial_1	active	466	KG00101205	fall	0.2343388795852661
trial_1	active	49	KG00099902	nausea with vomiting	0.22532905638217926
trial_1	active	102	KG00097916	anxieties	0.21815110743045807
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.21625342965126038
trial_1	active	441	KG00098262	cellulitis nos	0.21559441089630127
trial_1	active	20	KG00098540	dehydration	0.21180136501789093
trial_1	active	79	KG00100317	Insomnia, Primary	0.21173159778118134
trial_1	active	221	KG00101207	peripheral oedema	0.2086155116558075
trial_1	active	180	KG00099363	Hypotension NOS	0.20461918413639069
trial_1	active	11	KG00097993	Asthma NOS	0.2021731287240982
trial_1	active	78	KG00099326	Hypertensive diseases	0.19796034693717957
trial_1	active	86	KG00098565	Depression, Mental	0.19521784782409668
trial_1	active	114	KG00098933	fevers	0.19480587542057037
trial_1	active	21	KG00098675	dyspnoea	0.17241469025611877
trial_1	active	269	KG00100399	pyaemia	0.17044611275196075
trial_1	active	17	KG00097991	Asthenia NOS	0.1658652126789093
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.16040284931659698
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.15887504816055298
trial_1	active	211	KG00100341	Pruritus NOS	0.15811248123645782
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.15033484995365143
