trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.5961299538612366
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.3789004683494568
trial_1	active	49	KG00099902	nausea with vomiting	0.3184702396392822
trial_1	active	211	KG00100341	Pruritus NOS	0.31730416417121887
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.30168667435646057
trial_1	active	21	KG00098675	dyspnoea	0.2971569299697876
trial_1	active	123	KG00099351	hypokalaemia	0.2895496189594269
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.28634169697761536
trial_1	active	114	KG00098933	fevers	0.27908268570899963
trial_1	active	68	KG00099901	nauseas	0.27440425753593445
trial_1	active	20	KG00098540	dehydration	0.2720377743244171
trial_1	active	9	KG00098432	Confusion NOS	0.27054956555366516
trial_1	active	30	KG00099500	Acute Kidney Failure	0.2211640477180481
trial_1	active	78	KG00099326	Hypertensive diseases	0.21779590845108032
trial_1	active	228	KG00114657	Weight below normal	0.2135145664215088
trial_1	active	151	KG00098274	Infarction, Cerebral	0.2103070318698883
trial_1	active	102	KG00097916	anxieties	0.209595188498497
trial_1	active	221	KG00101207	peripheral oedema	0.20818763971328735
trial_1	active	147	KG00098000	atelectases	0.2040616124868393
trial_1	active	77	KG00098450	Constipation NOS	0.1914648711681366
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.18980245292186737
trial_1	active	29	KG00099354	hyponatraemia	0.18743324279785156
trial_1	active	101	KG00097901	Anorexia NOS	0.1855979561805725
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.18212325870990753
trial_1	active	269	KG00100399	pyaemia	0.18057501316070557
trial_1	active	17	KG00097991	Asthenia NOS	0.17938564717769623
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.1788666844367981
trial_1	active	180	KG00099363	Hypotension NOS	0.17815923690795898
trial_1	active	441	KG00098262	cellulitis nos	0.1771944910287857
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.17151792347431183
trial_1	active	79	KG00100317	Insomnia, Primary	0.16877523064613342
trial_1	active	86	KG00098565	Depression, Mental	0.16826552152633667
trial_1	active	126	KG00100076	Pain NOS	0.1655770093202591
trial_1	active	104	KG00097963	arthralgias	0.1637582778930664
trial_1	active	14	KG00097852	Anemia NOS	0.1588432937860489
trial_1	active	191	KG00104055	Biliverdin increased	0.15734410285949707
trial_1	active	130	KG00100683	Stomatitis NOS	0.15611058473587036
trial_1	active	85	KG00098474	coughs	0.15185314416885376
trial_1	active	37	KG00097696	Cramps, Abdominal	0.1509229987859726
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.14948688447475433
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.14878928661346436
trial_1	active	27	KG00099303	hyperkalaemia	0.14806850254535675
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.14784643054008484
trial_1	active	18	KG00098307	Pain, Chest	0.14657758176326752
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.14585229754447937
trial_1	active	11	KG00097993	Asthma NOS	0.144850492477417
trial_1	active	257	KG00100922	Erythema NOS	0.14391663670539856
trial_1	active	276	KG00099127	Arrest, Cardiac	0.1413385421037674
trial_1	active	69	KG00100082	Palpitations NOS	0.1399446427822113
trial_1	active	177	KG00099299	hyperglycaemia	0.13989120721817017
trial_1	active	136	KG00101582	Dry;skin	0.13634894788265228
trial_1	active	179	KG00099342	hypocalcaemia	0.12707044184207916
trial_1	active	186	KG00101431	creatinine increased	0.1251535713672638
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.12400773167610168
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.12392754852771759
trial_1	active	35	KG00101507	hypomagnesaemia	0.12259862571954727
trial_1	active	4	KG00098817	epistaxis	0.12033756077289581
trial_1	active	237	KG00099189	haemoptysis	0.11995548754930496
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.11910520493984222
trial_1	active	46	KG00099121	Headache NOS	0.11839927732944489
trial_1	active	5	KG00099169	haematuria	0.11713770776987076
trial_1	active	200	KG00098539	Disorders, Deglutition	0.11698123067617416
trial_1	active	466	KG00101205	fall	0.11274401843547821
trial_1	active	302	KG00100163	Pericardial effusions	0.111691914498806
trial_1	active	2	KG00100772	thrombocytopaenia	0.10732005536556244
trial_1	active	31	KG00099872	Infarction, Myocardial	0.10710791498422623
trial_1	active	239	KG00100128	pareses	0.10598406195640564
trial_1	active	271	KG00103813	reflex bradycardia	0.10510332137346268
trial_1	active	212	KG00100576	shivers	0.10489459335803986
trial_1	active	118	KG00099011	Gastritis NOS	0.10316014289855957
trial_1	active	96	KG00101679	Unattended death NOS	0.0988958403468132
trial_1	active	282	KG00099309	hypernatraemia	0.09852281957864761
trial_1	active	503	KG00102612	low haemoglobin	0.09684091806411743
trial_1	active	713	KG00107657	distressed respiratory	0.09559169411659241
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.09284480661153793
trial_1	active	142	KG00100923	Unspecified infectious and parasitic diseases	0.09249213337898254
trial_1	active	488	KG00098167	Bronchospasm NOS	0.09107091277837753
trial_1	active	342	KG00101570	intervals prolonged qt	0.09092570096254349
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.08889619261026382
trial_1	active	270	KG00101499	Haemorrhage pulmonary	0.08840975165367126
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.08690588921308517
trial_1	active	28	KG00099347	hypoglycaemia	0.0865541473031044
trial_1	active	121	KG00099190	haemorrhage	0.0860861986875534
trial_1	active	661	KG00101056	Laceration(s)	0.0845944806933403
trial_1	active	15	KG00097882	Angina pectoris NOS	0.08421939611434937
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.08306434005498886
trial_1	active	288	KG00101223	hypophosphataemia	0.08222781121730804
trial_1	active	98	KG00097718	Incised wound, NOS	0.08181670308113098
trial_1	active	116	KG00098964	Pain in foot	0.08158749341964722
trial_1	active	652	KG00100662	Sputums	0.08148231357336044
trial_1	active	618	KG00099164	haematoma	0.08017681539058685
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.08016276359558105
trial_1	active	94	KG00103829	abdominal discomfort	0.07896657288074493
trial_1	active	286	KG00101110	Retention, Urinary	0.07848665118217468
trial_1	active	454	KG00098286	Pain, Neck	0.07814570516347885
