trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.25175249576568604
trial_1	active	9	KG00098432	Confusion NOS	0.21764981746673584
trial_1	active	151	KG00098274	Infarction, Cerebral	0.20113037526607513
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.14152862131595612
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.13456277549266815
trial_1	active	30	KG00099500	Acute Kidney Failure	0.13115040957927704
trial_1	active	78	KG00099326	Hypertensive diseases	0.11345015466213226
trial_1	active	114	KG00098933	fevers	0.11141082644462585
trial_1	active	20	KG00098540	dehydration	0.11009642481803894
trial_1	active	180	KG00099363	Hypotension NOS	0.10957134515047073
trial_1	active	221	KG00101207	peripheral oedema	0.1088748425245285
trial_1	active	77	KG00098450	Constipation NOS	0.10730587691068649
trial_1	active	269	KG00100399	pyaemia	0.10193426162004471
trial_1	active	49	KG00099902	nausea with vomiting	0.10190398246049881
trial_1	active	123	KG00099351	hypokalaemia	0.09747254103422165
trial_1	active	68	KG00099901	nauseas	0.09400000423192978
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.09191761165857315
trial_1	active	276	KG00099127	Arrest, Cardiac	0.09078080207109451
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.08976253122091293
trial_1	active	147	KG00098000	atelectases	0.08807100355625153
trial_1	active	11	KG00097993	Asthma NOS	0.08379074931144714
trial_1	active	211	KG00100341	Pruritus NOS	0.08375903218984604
trial_1	active	14	KG00097852	Anemia NOS	0.08212799578905106
trial_1	active	102	KG00097916	anxieties	0.08150435239076614
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.07919949293136597
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.07701969146728516
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.07521604746580124
trial_1	active	130	KG00100683	Stomatitis NOS	0.07278823107481003
trial_1	active	79	KG00100317	Insomnia, Primary	0.07183586061000824
trial_1	active	441	KG00098262	cellulitis nos	0.07116741687059402
trial_1	active	21	KG00098675	dyspnoea	0.07029037177562714
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.07005872577428818
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.06870076060295105
trial_1	active	37	KG00097696	Cramps, Abdominal	0.06803833693265915
trial_1	active	29	KG00099354	hyponatraemia	0.06704514473676682
trial_1	active	228	KG00114657	Weight below normal	0.0660744160413742
trial_1	active	17	KG00097991	Asthenia NOS	0.06557365506887436
trial_1	active	186	KG00101431	creatinine increased	0.062333595007658005
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.060386065393686295
trial_1	active	85	KG00098474	coughs	0.06032095104455948
trial_1	active	69	KG00100082	Palpitations NOS	0.058827754110097885
trial_1	active	86	KG00098565	Depression, Mental	0.05869127810001373
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.05578915774822235
trial_1	active	31	KG00099872	Infarction, Myocardial	0.05564706027507782
trial_1	active	46	KG00099121	Headache NOS	0.055314578115940094
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.055004529654979706
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.054621607065200806
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.05383716896176338
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.052288446575403214
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.052133359014987946
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.051274437457323074
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.05091109871864319
trial_1	active	18	KG00098307	Pain, Chest	0.05059894919395447
trial_1	active	2	KG00100772	thrombocytopaenia	0.050340499728918076
trial_1	active	177	KG00099299	hyperglycaemia	0.048420753329992294
trial_1	active	27	KG00099303	hyperkalaemia	0.04787498340010643
trial_1	active	488	KG00098167	Bronchospasm NOS	0.04769304022192955
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.04760650545358658
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.04625478759407997
trial_1	active	15	KG00097882	Angina pectoris NOS	0.04601321741938591
trial_1	active	35	KG00101507	hypomagnesaemia	0.04550471901893616
trial_1	active	237	KG00099189	haemoptysis	0.04450593516230583
trial_1	active	713	KG00107657	distressed respiratory	0.04432214796543121
trial_1	active	271	KG00103813	reflex bradycardia	0.04367847368121147
trial_1	active	661	KG00101056	Laceration(s)	0.0432400107383728
trial_1	active	118	KG00099011	Gastritis NOS	0.042316120117902756
trial_1	active	96	KG00101679	Unattended death NOS	0.0422404408454895
trial_1	active	466	KG00101205	fall	0.042193081229925156
trial_1	active	126	KG00100076	Pain NOS	0.041813597083091736
trial_1	active	234	KG00098669	dysgeusias	0.041755352169275284
trial_1	active	101	KG00097901	Anorexia NOS	0.04146267846226692
