trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.27683988213539124
trial_1	active	9	KG00098432	Confusion NOS	0.23317234218120575
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.20802272856235504
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.2013244926929474
trial_1	active	30	KG00099500	Acute Kidney Failure	0.18723873794078827
trial_1	active	68	KG00099901	nauseas	0.18241944909095764
trial_1	active	77	KG00098450	Constipation NOS	0.181491419672966
trial_1	active	78	KG00099326	Hypertensive diseases	0.1797802597284317
trial_1	active	49	KG00099902	nausea with vomiting	0.17701824009418488
trial_1	active	151	KG00098274	Infarction, Cerebral	0.16815243661403656
trial_1	active	211	KG00100341	Pruritus NOS	0.16509093344211578
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.15337157249450684
trial_1	active	102	KG00097916	anxieties	0.14996127784252167
trial_1	active	20	KG00098540	dehydration	0.13674695789813995
trial_1	active	11	KG00097993	Asthma NOS	0.1334545612335205
trial_1	active	221	KG00101207	peripheral oedema	0.13292144238948822
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.1300341784954071
trial_1	active	114	KG00098933	fevers	0.12668730318546295
trial_1	active	147	KG00098000	atelectases	0.11144835501909256
trial_1	active	466	KG00101205	fall	0.11122439801692963
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.108954057097435
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.10786698013544083
trial_1	active	269	KG00100399	pyaemia	0.10528679937124252
trial_1	active	441	KG00098262	cellulitis nos	0.10453169792890549
trial_1	active	79	KG00100317	Insomnia, Primary	0.1035185158252716
trial_1	active	86	KG00098565	Depression, Mental	0.10334184020757675
trial_1	active	37	KG00097696	Cramps, Abdominal	0.1032988503575325
trial_1	active	123	KG00099351	hypokalaemia	0.10273350030183792
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.10227357596158981
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.1021907702088356
trial_1	active	180	KG00099363	Hypotension NOS	0.09824710339307785
trial_1	active	21	KG00098675	dyspnoea	0.09124059975147247
trial_1	active	228	KG00114657	Weight below normal	0.09073902666568756
trial_1	active	276	KG00099127	Arrest, Cardiac	0.09025364369153976
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.08997268974781036
trial_1	active	29	KG00099354	hyponatraemia	0.0886797308921814
trial_1	active	177	KG00099299	hyperglycaemia	0.08582618087530136
trial_1	active	14	KG00097852	Anemia NOS	0.08534421026706696
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.08396924287080765
trial_1	active	17	KG00097991	Asthenia NOS	0.08318878710269928
trial_1	active	101	KG00097901	Anorexia NOS	0.0825628787279129
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.08065849542617798
trial_1	active	661	KG00101056	Laceration(s)	0.07926425337791443
trial_1	active	69	KG00100082	Palpitations NOS	0.07861105352640152
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.07804256677627563
trial_1	active	713	KG00107657	distressed respiratory	0.07537323236465454
trial_1	active	27	KG00099303	hyperkalaemia	0.07405497133731842
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.07373146712779999
trial_1	active	186	KG00101431	creatinine increased	0.07211370021104813
trial_1	active	5	KG00099169	haematuria	0.07075143605470657
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.0703505203127861
