trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.29662179946899414
trial_1	active	9	KG00098432	Confusion NOS	0.2504515051841736
trial_1	active	30	KG00099500	Acute Kidney Failure	0.21917638182640076
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.21424612402915955
trial_1	active	151	KG00098274	Infarction, Cerebral	0.21122971177101135
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.20183418691158295
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.1965341717004776
trial_1	active	114	KG00098933	fevers	0.1877886950969696
trial_1	active	211	KG00100341	Pruritus NOS	0.18643435835838318
trial_1	active	78	KG00099326	Hypertensive diseases	0.17556649446487427
trial_1	active	269	KG00100399	pyaemia	0.1666165292263031
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.14249750971794128
trial_1	active	123	KG00099351	hypokalaemia	0.13945819437503815
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.1383008062839508
trial_1	active	221	KG00101207	peripheral oedema	0.13537955284118652
trial_1	active	11	KG00097993	Asthma NOS	0.13275864720344543
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.13203486800193787
trial_1	active	20	KG00098540	dehydration	0.13049539923667908
trial_1	active	14	KG00097852	Anemia NOS	0.1302490383386612
trial_1	active	102	KG00097916	anxieties	0.12420051544904709
trial_1	active	147	KG00098000	atelectases	0.12388255447149277
trial_1	active	77	KG00098450	Constipation NOS	0.12164753675460815
trial_1	active	21	KG00098675	dyspnoea	0.11999743431806564
trial_1	active	180	KG00099363	Hypotension NOS	0.11993388831615448
trial_1	active	29	KG00099354	hyponatraemia	0.11785807460546494
trial_1	active	228	KG00114657	Weight below normal	0.11780958622694016
trial_1	active	49	KG00099902	nausea with vomiting	0.11489785462617874
trial_1	active	441	KG00098262	cellulitis nos	0.11448530852794647
trial_1	active	68	KG00099901	nauseas	0.11287514120340347
trial_1	active	130	KG00100683	Stomatitis NOS	0.11276024580001831
trial_1	active	186	KG00101431	creatinine increased	0.11083631962537766
trial_1	active	86	KG00098565	Depression, Mental	0.11057575792074203
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.11041315644979477
trial_1	active	37	KG00097696	Cramps, Abdominal	0.10998144000768661
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.10714091360569
trial_1	active	79	KG00100317	Insomnia, Primary	0.10675409436225891
trial_1	active	85	KG00098474	coughs	0.09922300279140472
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.09725739061832428
trial_1	active	276	KG00099127	Arrest, Cardiac	0.09640298038721085
trial_1	active	191	KG00104055	Biliverdin increased	0.09400733560323715
trial_1	active	17	KG00097991	Asthenia NOS	0.0875587910413742
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.08664712309837341
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.08515904098749161
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.0807127133011818
trial_1	active	177	KG00099299	hyperglycaemia	0.08035900443792343
trial_1	active	46	KG00099121	Headache NOS	0.0799628421664238
trial_1	active	104	KG00097963	arthralgias	0.07759855687618256
trial_1	active	69	KG00100082	Palpitations NOS	0.07710767537355423
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.07693744450807571
trial_1	active	661	KG00101056	Laceration(s)	0.07693402469158173
trial_1	active	27	KG00099303	hyperkalaemia	0.07681265473365784
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.07578352093696594
trial_1	active	35	KG00101507	hypomagnesaemia	0.07572217285633087
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.07479256391525269
trial_1	active	237	KG00099189	haemoptysis	0.06754960119724274
trial_1	active	2	KG00100772	thrombocytopaenia	0.06715700775384903
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.06480265408754349
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.06407377123832703
trial_1	active	126	KG00100076	Pain NOS	0.062197133898735046
trial_1	active	5	KG00099169	haematuria	0.06214570254087448
trial_1	active	31	KG00099872	Infarction, Myocardial	0.06195170804858208
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.060377899557352066
trial_1	active	18	KG00098307	Pain, Chest	0.059028852730989456
trial_1	active	136	KG00101582	Dry;skin	0.05880167335271835
trial_1	active	713	KG00107657	distressed respiratory	0.05873440206050873
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.058642636984586716
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.05799172446131706
trial_1	active	466	KG00101205	fall	0.05793447047472
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.057658933103084564
trial_1	active	96	KG00101679	Unattended death NOS	0.05562349781394005
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.05552138015627861
trial_1	active	488	KG00098167	Bronchospasm NOS	0.055346619337797165
