trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.09916497766971588
trial_1	active	87	KG00098599	diarrhoea	0.09477150440216064
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.07543802261352539
trial_1	active	114	KG00098933	fevers	0.0722605362534523
trial_1	active	151	KG00098274	Infarction, Cerebral	0.06538396328687668
trial_1	active	221	KG00101207	peripheral oedema	0.06503283232450485
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.05825547128915787
trial_1	active	211	KG00100341	Pruritus NOS	0.05712491273880005
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.05659500136971474
trial_1	active	147	KG00098000	atelectases	0.05547907203435898
trial_1	active	20	KG00098540	dehydration	0.05530779808759689
trial_1	active	30	KG00099500	Acute Kidney Failure	0.05413807928562164
trial_1	active	180	KG00099363	Hypotension NOS	0.05384821072220802
trial_1	active	77	KG00098450	Constipation NOS	0.05349760875105858
trial_1	active	9	KG00098432	Confusion NOS	0.051695387810468674
trial_1	active	78	KG00099326	Hypertensive diseases	0.0500069186091423
trial_1	active	123	KG00099351	hypokalaemia	0.04888244718313217
trial_1	active	69	KG00100082	Palpitations NOS	0.04690815880894661
trial_1	active	177	KG00099299	hyperglycaemia	0.046504534780979156
trial_1	active	102	KG00097916	anxieties	0.04420294985175133
trial_1	active	37	KG00097696	Cramps, Abdominal	0.04322493448853493
trial_1	active	11	KG00097993	Asthma NOS	0.042763784527778625
trial_1	active	441	KG00098262	cellulitis nos	0.04210078343749046
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.04126116633415222
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.041207168251276016
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.040054451674222946
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.03782423585653305
trial_1	active	49	KG00099902	nausea with vomiting	0.03720458596944809
trial_1	active	86	KG00098565	Depression, Mental	0.03561116009950638
trial_1	active	14	KG00097852	Anemia NOS	0.03550586476922035
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.03532244265079498
trial_1	active	79	KG00100317	Insomnia, Primary	0.03525717929005623
trial_1	active	276	KG00099127	Arrest, Cardiac	0.03490321338176727
trial_1	active	130	KG00100683	Stomatitis NOS	0.03475269675254822
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.03403428941965103
trial_1	active	21	KG00098675	dyspnoea	0.03284623473882675
trial_1	active	85	KG00098474	coughs	0.032773207873106
