trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.24962107837200165
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.2290463000535965
trial_1	active	87	KG00098599	diarrhoea	0.19852399826049805
trial_1	active	180	KG00099363	Hypotension NOS	0.17365242540836334
trial_1	active	114	KG00098933	fevers	0.17334838211536407
trial_1	active	9	KG00098432	Confusion NOS	0.1702592372894287
trial_1	active	30	KG00099500	Acute Kidney Failure	0.1702054738998413
trial_1	active	211	KG00100341	Pruritus NOS	0.17012876272201538
trial_1	active	221	KG00101207	peripheral oedema	0.15876123309135437
trial_1	active	14	KG00097852	Anemia NOS	0.1475963145494461
trial_1	active	77	KG00098450	Constipation NOS	0.14210310578346252
trial_1	active	123	KG00099351	hypokalaemia	0.1354254186153412
trial_1	active	49	KG00099902	nausea with vomiting	0.13472577929496765
trial_1	active	68	KG00099901	nauseas	0.13326913118362427
trial_1	active	21	KG00098675	dyspnoea	0.13022561371326447
trial_1	active	147	KG00098000	atelectases	0.12960240244865417
trial_1	active	151	KG00098274	Infarction, Cerebral	0.12424257397651672
trial_1	active	20	KG00098540	dehydration	0.12336498498916626
trial_1	active	37	KG00097696	Cramps, Abdominal	0.11456017941236496
trial_1	active	102	KG00097916	anxieties	0.11290635168552399
trial_1	active	69	KG00100082	Palpitations NOS	0.11164487153291702
trial_1	active	269	KG00100399	pyaemia	0.10990018397569656
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.10710282623767853
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.10493894666433334
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.10439673066139221
trial_1	active	78	KG00099326	Hypertensive diseases	0.10298991203308105
trial_1	active	441	KG00098262	cellulitis nos	0.10228303074836731
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.10156810283660889
trial_1	active	11	KG00097993	Asthma NOS	0.10103683173656464
trial_1	active	177	KG00099299	hyperglycaemia	0.0984598845243454
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.09783101826906204
trial_1	active	2	KG00100772	thrombocytopaenia	0.09698817133903503
trial_1	active	276	KG00099127	Arrest, Cardiac	0.09542443603277206
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.0886128768324852
trial_1	active	79	KG00100317	Insomnia, Primary	0.08827868103981018
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.08791541308164597
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.08308366686105728
trial_1	active	29	KG00099354	hyponatraemia	0.08071593195199966
trial_1	active	86	KG00098565	Depression, Mental	0.08022875338792801
trial_1	active	27	KG00099303	hyperkalaemia	0.07363133877515793
trial_1	active	398	KG00100580	Shock, Septic	0.07312628626823425
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.07107479870319366
trial_1	active	237	KG00099189	haemoptysis	0.06971334666013718
trial_1	active	466	KG00101205	fall	0.06824865192174911
trial_1	active	186	KG00101431	creatinine increased	0.06771472841501236
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.06678838282823563
trial_1	active	126	KG00100076	Pain NOS	0.06643456965684891
trial_1	active	713	KG00107657	distressed respiratory	0.06643004715442657
trial_1	active	228	KG00114657	Weight below normal	0.06524387747049332
trial_1	active	46	KG00099121	Headache NOS	0.06492511928081512
trial_1	active	85	KG00098474	coughs	0.06470802426338196
trial_1	active	5	KG00099169	haematuria	0.06452849507331848
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.06387333571910858
trial_1	active	130	KG00100683	Stomatitis NOS	0.062714122235775
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.06246551498770714
trial_1	active	101	KG00097901	Anorexia NOS	0.0623076967895031
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.06187828257679939
trial_1	active	17	KG00097991	Asthenia NOS	0.06146696209907532
trial_1	active	35	KG00101507	hypomagnesaemia	0.06120834872126579
trial_1	active	4	KG00098817	epistaxis	0.059253960847854614
trial_1	active	104	KG00097963	arthralgias	0.058987800031900406
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.05858469754457474
trial_1	active	208	KG00099896	Nasal congestion (finding)	0.0577845498919487
trial_1	active	661	KG00101056	Laceration(s)	0.05538705736398697
trial_1	active	31	KG00099872	Infarction, Myocardial	0.055004559457302094
trial_1	active	98	KG00097718	Incised wound, NOS	0.0547194667160511
trial_1	active	202	KG00098630	Disturbance of Skin Sensation	0.05372653156518936
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.052201006561517715
trial_1	active	212	KG00100576	shivers	0.049363408237695694
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.04877571389079094
trial_1	active	271	KG00103813	reflex bradycardia	0.04799393191933632
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.04774075001478195
trial_1	active	652	KG00100662	Sputums	0.047548841685056686
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.04688244313001633
trial_1	active	144	KG00099610	Leukopenia NOS	0.04679258540272713
trial_1	active	627	KG00099603	Leucocytosis NOS	0.04643998295068741
trial_1	active	18	KG00098307	Pain, Chest	0.04626493155956268
trial_1	active	179	KG00099342	hypocalcaemia	0.04624687135219574
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.04599551483988762
trial_1	active	380	KG00099133	Heart failures	0.04593975469470024
trial_1	active	503	KG00102612	low haemoglobin	0.045455701649188995
trial_1	active	200	KG00098539	Disorders, Deglutition	0.044421371072530746
trial_1	active	96	KG00101679	Unattended death NOS	0.044268280267715454
trial_1	active	239	KG00100128	pareses	0.04417932778596878
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.04396805539727211
trial_1	active	282	KG00099309	hypernatraemia	0.04379952326416969
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.0434206984937191
trial_1	active	302	KG00100163	Pericardial effusions	0.04335987567901611
trial_1	active	116	KG00098964	Pain in foot	0.04318641871213913
trial_1	active	618	KG00099164	haematoma	0.04275243729352951
trial_1	active	488	KG00098167	Bronchospasm NOS	0.042678993195295334
trial_1	active	28	KG00099347	hypoglycaemia	0.04145537689328194
trial_1	active	219	KG00101049	Wheezes	0.04140257090330124
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.04092550277709961
trial_1	active	191	KG00104055	Biliverdin increased	0.04087626934051514
trial_1	active	94	KG00103829	abdominal discomfort	0.039672672748565674
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.03929343447089195
trial_1	active	454	KG00098286	Pain, Neck	0.03894701227545738
trial_1	active	286	KG00101110	Retention, Urinary	0.038755569607019424
trial_1	active	535	KG00098309	chest pains wall	0.03819487616419792
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
trial_2	control	11	KG00097993	Asthma NOS	0.12974649667739868
trial_2	control	494	KG00099838	Organ Failure, Multiple	0.1287405639886856
trial_2	control	396	KG00100373	Embolism, Pulmonary	0.12624897062778473
trial_2	control	29	KG00099354	hyponatraemia	0.12441596388816833
trial_2	control	101	KG00097901	Anorexia NOS	0.1209268718957901
trial_2	control	79	KG00100317	Insomnia, Primary	0.12021980434656143
trial_2	control	17	KG00097991	Asthenia NOS	0.11931263655424118
trial_2	control	69	KG00100082	Palpitations NOS	0.11469438672065735
trial_2	control	131	KG00100948	Urinary tract infection (& [NOS])	0.11283913999795914
trial_2	control	102	KG00097916	anxieties	0.11273739486932755
trial_2	control	177	KG00099299	hyperglycaemia	0.1124439686536789
trial_2	control	2	KG00100772	thrombocytopaenia	0.11206149309873581
