trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.304336279630661
trial_1	active	30	KG00099500	Acute Kidney Failure	0.2735219895839691
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.24348247051239014
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.2351769059896469
trial_1	active	151	KG00098274	Infarction, Cerebral	0.2194455862045288
trial_1	active	78	KG00099326	Hypertensive diseases	0.20367835462093353
trial_1	active	114	KG00098933	fevers	0.19452957808971405
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.18164381384849548
trial_1	active	269	KG00100399	pyaemia	0.1773097664117813
trial_1	active	9	KG00098432	Confusion NOS	0.16733784973621368
trial_1	active	221	KG00101207	peripheral oedema	0.16458092629909515
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.16002319753170013
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.15679363906383514
trial_1	active	147	KG00098000	atelectases	0.1540902853012085
trial_1	active	211	KG00100341	Pruritus NOS	0.15397754311561584
trial_1	active	123	KG00099351	hypokalaemia	0.15094441175460815
trial_1	active	180	KG00099363	Hypotension NOS	0.14583462476730347
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.14550811052322388
trial_1	active	77	KG00098450	Constipation NOS	0.14541053771972656
trial_1	active	20	KG00098540	dehydration	0.14532893896102905
trial_1	active	276	KG00099127	Arrest, Cardiac	0.14421221613883972
trial_1	active	49	KG00099902	nausea with vomiting	0.1419467031955719
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.13728313148021698
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.12820307910442352
trial_1	active	102	KG00097916	anxieties	0.1279488354921341
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.1264181137084961
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.12528082728385925
trial_1	active	11	KG00097993	Asthma NOS	0.12199855595827103
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.1218775287270546
trial_1	active	441	KG00098262	cellulitis nos	0.11968234181404114
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.1180047020316124
trial_1	active	14	KG00097852	Anemia NOS	0.11473777145147324
trial_1	active	21	KG00098675	dyspnoea	0.11433102190494537
trial_1	active	186	KG00101431	creatinine increased	0.11135812848806381
trial_1	active	29	KG00099354	hyponatraemia	0.10943463444709778
trial_1	active	86	KG00098565	Depression, Mental	0.10898544639348984
trial_1	active	37	KG00097696	Cramps, Abdominal	0.10418148338794708
trial_1	active	228	KG00114657	Weight below normal	0.10132251679897308
trial_1	active	130	KG00100683	Stomatitis NOS	0.10023389011621475
trial_1	active	68	KG00099901	nauseas	0.09967653453350067
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.09835518896579742
trial_1	active	35	KG00101507	hypomagnesaemia	0.09799204021692276
trial_1	active	713	KG00107657	distressed respiratory	0.09764494001865387
trial_1	active	5	KG00099169	haematuria	0.09581224620342255
trial_1	active	237	KG00099189	haemoptysis	0.09566982090473175
trial_1	active	27	KG00099303	hyperkalaemia	0.09461963921785355
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.09447863698005676
trial_1	active	2	KG00100772	thrombocytopaenia	0.0940864160656929
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.09175410121679306
trial_1	active	177	KG00099299	hyperglycaemia	0.09061983972787857
trial_1	active	69	KG00100082	Palpitations NOS	0.08996961265802383
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.0894646942615509
trial_1	active	79	KG00100317	Insomnia, Primary	0.08661186695098877
trial_1	active	661	KG00101056	Laceration(s)	0.0860341414809227
trial_1	active	466	KG00101205	fall	0.08262770622968674
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.08250702172517776
trial_1	active	191	KG00104055	Biliverdin increased	0.08116662502288818
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.0803007185459137
trial_1	active	85	KG00098474	coughs	0.0787188708782196
trial_1	active	398	KG00100580	Shock, Septic	0.07593955099582672
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.0754922404885292
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.07263673841953278
trial_1	active	31	KG00099872	Infarction, Myocardial	0.07006443291902542
trial_1	active	488	KG00098167	Bronchospasm NOS	0.06886952370405197
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.06786792725324631
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.06723364442586899
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.06704222410917282
trial_1	active	126	KG00100076	Pain NOS	0.06698191165924072
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.06671004742383957
trial_1	active	179	KG00099342	hypocalcaemia	0.06662143021821976
trial_1	active	17	KG00097991	Asthenia NOS	0.06576739996671677
trial_1	active	239	KG00100128	pareses	0.06566993147134781
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.06405575573444366
trial_1	active	98	KG00097718	Incised wound, NOS	0.06333079189062119
trial_1	active	271	KG00103813	reflex bradycardia	0.06263565272092819
trial_1	active	286	KG00101110	Retention, Urinary	0.06233065947890282
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.06216036528348923
trial_1	active	104	KG00097963	arthralgias	0.06059647724032402
trial_1	active	200	KG00098539	Disorders, Deglutition	0.060261379927396774
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.059614818543195724
trial_1	active	380	KG00099133	Heart failures	0.0592840239405632
trial_1	active	101	KG00097901	Anorexia NOS	0.058519236743450165
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.05788922309875488
trial_1	active	118	KG00099011	Gastritis NOS	0.057697948068380356
