trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.1648406684398651
trial_1	active	30	KG00099500	Acute Kidney Failure	0.1501702219247818
trial_1	active	180	KG00099363	Hypotension NOS	0.13047564029693604
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.12082549929618835
trial_1	active	87	KG00098599	diarrhoea	0.1145971417427063
trial_1	active	151	KG00098274	Infarction, Cerebral	0.11409242451190948
trial_1	active	78	KG00099326	Hypertensive diseases	0.11153028905391693
trial_1	active	269	KG00100399	pyaemia	0.10895031690597534
trial_1	active	9	KG00098432	Confusion NOS	0.1074313223361969
trial_1	active	276	KG00099127	Arrest, Cardiac	0.0992421880364418
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.08944990485906601
trial_1	active	147	KG00098000	atelectases	0.0848855972290039
trial_1	active	14	KG00097852	Anemia NOS	0.08287017047405243
trial_1	active	221	KG00101207	peripheral oedema	0.08214429765939713
trial_1	active	114	KG00098933	fevers	0.08148018270730972
trial_1	active	211	KG00100341	Pruritus NOS	0.07649508863687515
trial_1	active	21	KG00098675	dyspnoea	0.07582277059555054
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.07570852339267731
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.07472458481788635
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.07367055863142014
trial_1	active	441	KG00098262	cellulitis nos	0.07040788978338242
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.06901909410953522
trial_1	active	11	KG00097993	Asthma NOS	0.06867686659097672
trial_1	active	31	KG00099872	Infarction, Myocardial	0.06700887531042099
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.06365940719842911
trial_1	active	177	KG00099299	hyperglycaemia	0.06273189187049866
trial_1	active	123	KG00099351	hypokalaemia	0.06240526959300041
trial_1	active	49	KG00099902	nausea with vomiting	0.06094604730606079
trial_1	active	713	KG00107657	distressed respiratory	0.060297030955553055
trial_1	active	20	KG00098540	dehydration	0.05967012047767639
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.05838564783334732
trial_1	active	77	KG00098450	Constipation NOS	0.057101354002952576
trial_1	active	37	KG00097696	Cramps, Abdominal	0.056429628282785416
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.05633959174156189
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.05364410579204559
trial_1	active	79	KG00100317	Insomnia, Primary	0.05337394028902054
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.052742648869752884
trial_1	active	68	KG00099901	nauseas	0.05211212486028671
trial_1	active	2	KG00100772	thrombocytopaenia	0.05196429789066315
trial_1	active	102	KG00097916	anxieties	0.05154937878251076
trial_1	active	27	KG00099303	hyperkalaemia	0.05062539130449295
trial_1	active	398	KG00100580	Shock, Septic	0.04753026366233826
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.04751989617943764
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.0474931076169014
trial_1	active	69	KG00100082	Palpitations NOS	0.04747249186038971
trial_1	active	29	KG00099354	hyponatraemia	0.04666644707322121
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.04419144615530968
trial_1	active	86	KG00098565	Depression, Mental	0.043887656182050705
trial_1	active	130	KG00100683	Stomatitis NOS	0.04230828210711479
trial_1	active	237	KG00099189	haemoptysis	0.041611675173044205
trial_1	active	380	KG00099133	Heart failures	0.040597960352897644
trial_1	active	85	KG00098474	coughs	0.03894748538732529
trial_1	active	15	KG00097882	Angina pectoris NOS	0.03747636452317238
trial_1	active	46	KG00099121	Headache NOS	0.036421999335289
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.03631073981523514
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.0360228605568409
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.03501027449965477
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.034539833664894104
trial_1	active	25	KG00099134	congestive failures heart	0.0344487801194191
trial_1	active	202	KG00098630	Disturbance of Skin Sensation	0.03416021540760994
trial_1	active	17	KG00097991	Asthenia NOS	0.03398510441184044
trial_1	active	271	KG00103813	reflex bradycardia	0.033479757606983185
trial_1	active	35	KG00101507	hypomagnesaemia	0.03285966441035271
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.03281237185001373
trial_1	active	327	KG00098362	Chronic Bronchitis	0.03254648298025131
trial_1	active	5	KG00099169	haematuria	0.03247807174921036
trial_1	active	104	KG00097963	arthralgias	0.032106198370456696
trial_1	active	186	KG00101431	creatinine increased	0.03205600753426552
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.03202258050441742
trial_1	active	126	KG00100076	Pain NOS	0.031888872385025024
trial_1	active	98	KG00097718	Incised wound, NOS	0.03092975914478302
trial_1	active	661	KG00101056	Laceration(s)	0.029759889468550682
trial_1	active	28	KG00099347	hypoglycaemia	0.029757602140307426
trial_1	active	4	KG00098817	epistaxis	0.029647313058376312
trial_1	active	208	KG00099896	Nasal congestion (finding)	0.02955733798444271
trial_1	active	466	KG00101205	fall	0.029100710526108742
trial_1	active	96	KG00101679	Unattended death NOS	0.02858831360936165
trial_1	active	212	KG00100576	shivers	0.027483897283673286
trial_1	active	488	KG00098167	Bronchospasm NOS	0.026995915919542313
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.026578174903988838
trial_1	active	18	KG00098307	Pain, Chest	0.02650754153728485
trial_1	active	282	KG00099309	hypernatraemia	0.025999896228313446
trial_1	active	144	KG00099610	Leukopenia NOS	0.025598827749490738
trial_1	active	200	KG00098539	Disorders, Deglutition	0.024891510605812073
trial_1	active	627	KG00099603	Leucocytosis NOS	0.024744302034378052
trial_1	active	149	KG00100192	phlebitides	0.024561837315559387
trial_1	active	522	KG00100078	Postoperative Pain	0.02424437925219536
trial_1	active	618	KG00099164	haematoma	0.02385711297392845
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.02375601977109909
trial_1	active	150	KG00098201	candidiases	0.02332291007041931
trial_1	active	228	KG00114657	Weight below normal	0.023119710385799408
trial_1	active	234	KG00098669	dysgeusias	0.023052072152495384
trial_1	active	139	KG00098855	Sinusitis, Ethmoid	0.02289056032896042
trial_1	active	179	KG00099342	hypocalcaemia	0.022582415491342545
trial_1	active	219	KG00101049	Wheezes	0.022517085075378418
trial_1	active	400	KG00100925	Upper gastrointestinal haemorrhage	0.022449543699622154
trial_1	active	183	KG00100449	Adult Respiratory Distress Syndrome	0.02236277423799038
trial_1	active	821	KG00100667	Infections, Staphylococcal	0.0219737458974123
trial_1	active	481	KG00104585	Pulmonary congestion, NOS	0.021967485547065735
trial_1	active	286	KG00101110	Retention, Urinary	0.02192707546055317
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
