trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.36058011651039124
trial_1	active	87	KG00098599	diarrhoea	0.3519856631755829
trial_1	active	68	KG00099901	nauseas	0.3151395618915558
trial_1	active	77	KG00098450	Constipation NOS	0.29052987694740295
trial_1	active	49	KG00099902	nausea with vomiting	0.29047706723213196
trial_1	active	114	KG00098933	fevers	0.2895582318305969
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.276210755109787
trial_1	active	9	KG00098432	Confusion NOS	0.27071690559387207
trial_1	active	30	KG00099500	Acute Kidney Failure	0.26274996995925903
trial_1	active	221	KG00101207	peripheral oedema	0.233695849776268
trial_1	active	211	KG00100341	Pruritus NOS	0.2323681116104126
trial_1	active	180	KG00099363	Hypotension NOS	0.22989521920681
trial_1	active	21	KG00098675	dyspnoea	0.2286156862974167
trial_1	active	14	KG00097852	Anemia NOS	0.22704291343688965
trial_1	active	123	KG00099351	hypokalaemia	0.20580440759658813
trial_1	active	37	KG00097696	Cramps, Abdominal	0.20256561040878296
trial_1	active	269	KG00100399	pyaemia	0.20115917921066284
trial_1	active	147	KG00098000	atelectases	0.195995032787323
trial_1	active	20	KG00098540	dehydration	0.19538062810897827
trial_1	active	102	KG00097916	anxieties	0.1932469755411148
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.1900746077299118
trial_1	active	11	KG00097993	Asthma NOS	0.18745602667331696
trial_1	active	78	KG00099326	Hypertensive diseases	0.17865371704101562
trial_1	active	151	KG00098274	Infarction, Cerebral	0.17661122977733612
trial_1	active	276	KG00099127	Arrest, Cardiac	0.1759147047996521
trial_1	active	69	KG00100082	Palpitations NOS	0.17324349284172058
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.17106185853481293
trial_1	active	441	KG00098262	cellulitis nos	0.16653992235660553
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.16526196897029877
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.15936768054962158
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.15311388671398163
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.15188996493816376
trial_1	active	79	KG00100317	Insomnia, Primary	0.15004011988639832
trial_1	active	101	KG00097901	Anorexia NOS	0.14937230944633484
trial_1	active	29	KG00099354	hyponatraemia	0.14709240198135376
trial_1	active	177	KG00099299	hyperglycaemia	0.14662860333919525
trial_1	active	2	KG00100772	thrombocytopaenia	0.1429763287305832
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.14166592061519623
trial_1	active	27	KG00099303	hyperkalaemia	0.13634979724884033
trial_1	active	228	KG00114657	Weight below normal	0.1352134495973587
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.1336231380701065
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.13295963406562805
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.13094401359558105
trial_1	active	86	KG00098565	Depression, Mental	0.12827901542186737
trial_1	active	713	KG00107657	distressed respiratory	0.12343550473451614
trial_1	active	17	KG00097991	Asthenia NOS	0.11994191259145737
trial_1	active	85	KG00098474	coughs	0.11971648782491684
trial_1	active	186	KG00101431	creatinine increased	0.1194198876619339
trial_1	active	398	KG00100580	Shock, Septic	0.1146785095334053
trial_1	active	466	KG00101205	fall	0.11348598450422287
trial_1	active	126	KG00100076	Pain NOS	0.11299948394298553
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.11237844824790955
trial_1	active	237	KG00099189	haemoptysis	0.11144732683897018
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.10957285761833191
trial_1	active	5	KG00099169	haematuria	0.10684414207935333
trial_1	active	46	KG00099121	Headache NOS	0.10438969731330872
trial_1	active	130	KG00100683	Stomatitis NOS	0.1031237468123436
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.10307096689939499
trial_1	active	661	KG00101056	Laceration(s)	0.1026771292090416
trial_1	active	212	KG00100576	shivers	0.10047749429941177
trial_1	active	35	KG00101507	hypomagnesaemia	0.10036212205886841
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.10011541098356247
trial_1	active	488	KG00098167	Bronchospasm NOS	0.10005584359169006
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.09973083436489105
trial_1	active	104	KG00097963	arthralgias	0.0994788184762001
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.09600868821144104
trial_1	active	98	KG00097718	Incised wound, NOS	0.08999471366405487
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.08955118805170059
trial_1	active	18	KG00098307	Pain, Chest	0.08898381888866425
trial_1	active	302	KG00100163	Pericardial effusions	0.08843696117401123
trial_1	active	4	KG00098817	epistaxis	0.08824439346790314
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.08673378825187683
trial_1	active	618	KG00099164	haematoma	0.08626773953437805
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.08539935201406479
trial_1	active	200	KG00098539	Disorders, Deglutition	0.08413216471672058
trial_1	active	239	KG00100128	pareses	0.08348837494850159
trial_1	active	503	KG00102612	low haemoglobin	0.08187361061573029
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.08162160217761993
trial_1	active	144	KG00099610	Leukopenia NOS	0.08152186125516891
trial_1	active	179	KG00099342	hypocalcaemia	0.08119982481002808
trial_1	active	31	KG00099872	Infarction, Myocardial	0.0809864029288292
trial_1	active	282	KG00099309	hypernatraemia	0.08059927076101303
trial_1	active	271	KG00103813	reflex bradycardia	0.08006849884986877
trial_1	active	652	KG00100662	Sputums	0.08004014194011688
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.0791451558470726
trial_1	active	627	KG00099603	Leucocytosis NOS	0.0789259746670723
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.07874894887208939
trial_1	active	116	KG00098964	Pain in foot	0.07785863429307938
trial_1	active	202	KG00098630	Disturbance of Skin Sensation	0.07742492854595184
trial_1	active	208	KG00099896	Nasal congestion (finding)	0.07603423297405243
trial_1	active	96	KG00101679	Unattended death NOS	0.07482025027275085
trial_1	active	454	KG00098286	Pain, Neck	0.07286988943815231
trial_1	active	191	KG00104055	Biliverdin increased	0.07192383706569672
trial_1	active	219	KG00101049	Wheezes	0.0711938813328743
trial_1	active	380	KG00099133	Heart failures	0.06922226399183273
trial_1	active	350	KG00106765	decreased platelet count	0.06919199973344803
trial_1	active	25	KG00099134	congestive failures heart	0.06891880929470062
trial_1	active	535	KG00098309	chest pains wall	0.06843669712543488
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.06779004633426666
trial_1	active	450	KG00101442	anasarca	0.0675685703754425
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
trial_2	control	11	KG00097993	Asthma NOS	0.12974649667739868
trial_2	control	494	KG00099838	Organ Failure, Multiple	0.1287405639886856
trial_2	control	396	KG00100373	Embolism, Pulmonary	0.12624897062778473
trial_2	control	29	KG00099354	hyponatraemia	0.12441596388816833
trial_2	control	101	KG00097901	Anorexia NOS	0.1209268718957901
trial_2	control	79	KG00100317	Insomnia, Primary	0.12021980434656143
trial_2	control	17	KG00097991	Asthenia NOS	0.11931263655424118
trial_2	control	69	KG00100082	Palpitations NOS	0.11469438672065735
trial_2	control	131	KG00100948	Urinary tract infection (& [NOS])	0.11283913999795914
trial_2	control	102	KG00097916	anxieties	0.11273739486932755
trial_2	control	177	KG00099299	hyperglycaemia	0.1124439686536789
trial_2	control	2	KG00100772	thrombocytopaenia	0.11206149309873581
trial_2	control	228	KG00114657	Weight below normal	0.1106056272983551
trial_2	control	199	KG00098371	Rhinitis (chronic) NOS	0.10840196162462234
trial_2	control	130	KG00100683	Stomatitis NOS	0.10835694521665573
trial_2	control	361	KG00098004	Fibrillation, Atrial	0.10444892942905426
trial_2	control	398	KG00100580	Shock, Septic	0.10309060662984848
trial_2	control	441	KG00098262	cellulitis nos	0.10283619910478592
trial_2	control	713	KG00107657	distressed respiratory	0.10114724934101105
