trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.4439525604248047
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.3052188456058502
trial_1	active	211	KG00100341	Pruritus NOS	0.24546921253204346
trial_1	active	49	KG00099902	nausea with vomiting	0.24408182501792908
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.2377183735370636
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.23522228002548218
trial_1	active	20	KG00098540	dehydration	0.2067527174949646
trial_1	active	68	KG00099901	nauseas	0.20414552092552185
trial_1	active	114	KG00098933	fevers	0.2039552628993988
trial_1	active	123	KG00099351	hypokalaemia	0.20270337164402008
trial_1	active	9	KG00098432	Confusion NOS	0.2011762112379074
trial_1	active	151	KG00098274	Infarction, Cerebral	0.19323010742664337
trial_1	active	30	KG00099500	Acute Kidney Failure	0.17494666576385498
trial_1	active	21	KG00098675	dyspnoea	0.17196272313594818
trial_1	active	78	KG00099326	Hypertensive diseases	0.16967931389808655
trial_1	active	221	KG00101207	peripheral oedema	0.16674277186393738
trial_1	active	228	KG00114657	Weight below normal	0.1624300330877304
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.14917702972888947
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.1488325446844101
trial_1	active	14	KG00097852	Anemia NOS	0.14723289012908936
trial_1	active	77	KG00098450	Constipation NOS	0.13820107281208038
trial_1	active	269	KG00100399	pyaemia	0.13728046417236328
trial_1	active	147	KG00098000	atelectases	0.13682875037193298
trial_1	active	29	KG00099354	hyponatraemia	0.13406157493591309
trial_1	active	101	KG00097901	Anorexia NOS	0.12893983721733093
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.12710176408290863
trial_1	active	102	KG00097916	anxieties	0.12673978507518768
trial_1	active	191	KG00104055	Biliverdin increased	0.12602877616882324
trial_1	active	37	KG00097696	Cramps, Abdominal	0.12177929282188416
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.12174799293279648
trial_1	active	180	KG00099363	Hypotension NOS	0.11907771974802017
trial_1	active	276	KG00099127	Arrest, Cardiac	0.11613935232162476
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.11572069674730301
trial_1	active	130	KG00100683	Stomatitis NOS	0.11523973196744919
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.11396787315607071
trial_1	active	186	KG00101431	creatinine increased	0.11327216029167175
trial_1	active	177	KG00099299	hyperglycaemia	0.11318594962358475
trial_1	active	126	KG00100076	Pain NOS	0.11204326897859573
trial_1	active	17	KG00097991	Asthenia NOS	0.11106792837381363
trial_1	active	2	KG00100772	thrombocytopaenia	0.10999900847673416
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.10807299613952637
trial_1	active	27	KG00099303	hyperkalaemia	0.10665914416313171
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.1045679897069931
trial_1	active	79	KG00100317	Insomnia, Primary	0.10343088209629059
trial_1	active	441	KG00098262	cellulitis nos	0.10282602161169052
trial_1	active	86	KG00098565	Depression, Mental	0.09745662659406662
trial_1	active	11	KG00097993	Asthma NOS	0.09335704892873764
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.0926191434264183
trial_1	active	31	KG00099872	Infarction, Myocardial	0.092253677546978
trial_1	active	257	KG00100922	Erythema NOS	0.09105975925922394
trial_1	active	136	KG00101582	Dry;skin	0.08715324103832245
trial_1	active	85	KG00098474	coughs	0.08669168502092361
trial_1	active	104	KG00097963	arthralgias	0.08537918329238892
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.08215073496103287
trial_1	active	18	KG00098307	Pain, Chest	0.08037763088941574
trial_1	active	46	KG00099121	Headache NOS	0.07932186126708984
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.07492798566818237
trial_1	active	237	KG00099189	haemoptysis	0.07395591586828232
trial_1	active	35	KG00101507	hypomagnesaemia	0.07392770051956177
trial_1	active	142	KG00100923	Unspecified infectious and parasitic diseases	0.07351327687501907
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.07202860713005066
trial_1	active	96	KG00101679	Unattended death NOS	0.07159736007452011
trial_1	active	28	KG00099347	hypoglycaemia	0.07135945558547974
trial_1	active	118	KG00099011	Gastritis NOS	0.07097171992063522
trial_1	active	179	KG00099342	hypocalcaemia	0.07021249085664749
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.06847118586301804
trial_1	active	5	KG00099169	haematuria	0.0680934265255928
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.06759017705917358
trial_1	active	200	KG00098539	Disorders, Deglutition	0.06758718937635422
trial_1	active	466	KG00101205	fall	0.06727370619773865
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.06717564910650253
trial_1	active	69	KG00100082	Palpitations NOS	0.06622660160064697
trial_1	active	488	KG00098167	Bronchospasm NOS	0.06620540469884872
trial_1	active	288	KG00101223	hypophosphataemia	0.06543005257844925
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.06480777263641357
trial_1	active	282	KG00099309	hypernatraemia	0.06305895745754242
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.06133623048663139
trial_1	active	4	KG00098817	epistaxis	0.0601264126598835
trial_1	active	302	KG00100163	Pericardial effusions	0.05985117703676224
trial_1	active	713	KG00107657	distressed respiratory	0.05936061218380928
trial_1	active	271	KG00103813	reflex bradycardia	0.059038788080215454
trial_1	active	94	KG00103829	abdominal discomfort	0.058739542961120605
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.058625228703022
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.057842034846544266
trial_1	active	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05707531422376633
trial_1	active	503	KG00102612	low haemoglobin	0.05630332604050636
trial_1	active	15	KG00097882	Angina pectoris NOS	0.056267570704221725
trial_1	active	270	KG00101499	Haemorrhage pulmonary	0.055689487606287
trial_1	active	22	KG00098705	Edema (NOS)	0.05502960830926895
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.054611388593912125
trial_1	active	144	KG00099610	Leukopenia NOS	0.05287817493081093
trial_1	active	239	KG00100128	pareses	0.05220503732562065
trial_1	active	82	KG00097697	abdomen distended	0.05138888955116272
trial_1	active	194	KG00110727	Neutrophil Count Decreased	0.05101977661252022
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.050727445632219315
trial_1	active	380	KG00099133	Heart failures	0.05033663660287857
trial_1	active	342	KG00101570	intervals prolonged qt	0.04977916553616524
trial_1	active	121	KG00099190	haemorrhage	0.04966409504413605
trial_1	active	25	KG00099134	congestive failures heart	0.049588002264499664
trial_1	active	286	KG00101110	Retention, Urinary	0.049037959426641464
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
trial_2	control	11	KG00097993	Asthma NOS	0.12974649667739868
trial_2	control	494	KG00099838	Organ Failure, Multiple	0.1287405639886856
trial_2	control	396	KG00100373	Embolism, Pulmonary	0.12624897062778473
trial_2	control	29	KG00099354	hyponatraemia	0.12441596388816833
trial_2	control	101	KG00097901	Anorexia NOS	0.1209268718957901
trial_2	control	79	KG00100317	Insomnia, Primary	0.12021980434656143
trial_2	control	17	KG00097991	Asthenia NOS	0.11931263655424118
trial_2	control	69	KG00100082	Palpitations NOS	0.11469438672065735
trial_2	control	131	KG00100948	Urinary tract infection (& [NOS])	0.11283913999795914
trial_2	control	102	KG00097916	anxieties	0.11273739486932755
trial_2	control	177	KG00099299	hyperglycaemia	0.1124439686536789
trial_2	control	2	KG00100772	thrombocytopaenia	0.11206149309873581
trial_2	control	228	KG00114657	Weight below normal	0.1106056272983551
trial_2	control	199	KG00098371	Rhinitis (chronic) NOS	0.10840196162462234
trial_2	control	130	KG00100683	Stomatitis NOS	0.10835694521665573
trial_2	control	361	KG00098004	Fibrillation, Atrial	0.10444892942905426
trial_2	control	398	KG00100580	Shock, Septic	0.10309060662984848
trial_2	control	441	KG00098262	cellulitis nos	0.10283619910478592
trial_2	control	713	KG00107657	distressed respiratory	0.10114724934101105
trial_2	control	189	KG00101580	Alanine aminotransferase increase	0.10092013329267502
trial_2	control	31	KG00099872	Infarction, Myocardial	0.10042756050825119
trial_2	control	394	KG00100243	Pneumonia, Aspiration	0.09717819094657898
trial_2	control	237	KG00099189	haemoptysis	0.09520714730024338
trial_2	control	104	KG00097963	arthralgias	0.09435881674289703
trial_2	control	86	KG00098565	Depression, Mental	0.09120907634496689
trial_2	control	27	KG00099303	hyperkalaemia	0.08952067047357559
trial_2	control	46	KG00099121	Headache NOS	0.08830124884843826
trial_2	control	268	KG00099557	Heart Failure, Left-Sided	0.08631296455860138
trial_2	control	85	KG00098474	coughs	0.08189909905195236
trial_2	control	35	KG00101507	hypomagnesaemia	0.07683338224887848
trial_2	control	4	KG00098817	epistaxis	0.07540818303823471
