trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	151	KG00098274	Infarction, Cerebral	0.3477100133895874
trial_1	active	87	KG00098599	diarrhoea	0.30372679233551025
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.26374340057373047
trial_1	active	180	KG00099363	Hypotension NOS	0.2580718696117401
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.22931964695453644
trial_1	active	221	KG00101207	peripheral oedema	0.2200075089931488
trial_1	active	78	KG00099326	Hypertensive diseases	0.21548861265182495
trial_1	active	20	KG00098540	dehydration	0.2130390852689743
trial_1	active	30	KG00099500	Acute Kidney Failure	0.19707225263118744
trial_1	active	9	KG00098432	Confusion NOS	0.19577330350875854
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.19487154483795166
trial_1	active	11	KG00097993	Asthma NOS	0.18647684156894684
trial_1	active	276	KG00099127	Arrest, Cardiac	0.17702355980873108
trial_1	active	123	KG00099351	hypokalaemia	0.166269451379776
trial_1	active	114	KG00098933	fevers	0.16544483602046967
trial_1	active	269	KG00100399	pyaemia	0.14936582744121552
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.14516960084438324
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.14089439809322357
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.14085173606872559
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.14052189886569977
trial_1	active	14	KG00097852	Anemia NOS	0.13689468801021576
trial_1	active	27	KG00099303	hyperkalaemia	0.13025331497192383
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.12665966153144836
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.1266413778066635
trial_1	active	49	KG00099902	nausea with vomiting	0.12181160598993301
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.1216244250535965
trial_1	active	102	KG00097916	anxieties	0.11869139224290848
trial_1	active	37	KG00097696	Cramps, Abdominal	0.11810564249753952
trial_1	active	186	KG00101431	creatinine increased	0.11744599044322968
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.1172233372926712
trial_1	active	29	KG00099354	hyponatraemia	0.1168089434504509
trial_1	active	31	KG00099872	Infarction, Myocardial	0.11629902571439743
trial_1	active	380	KG00099133	Heart failures	0.1137835681438446
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.1103811040520668
trial_1	active	21	KG00098675	dyspnoea	0.10985321551561356
trial_1	active	85	KG00098474	coughs	0.10954443365335464
trial_1	active	376	KG00098803	epilepsies	0.10830248892307281
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.1081705093383789
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.10809946060180664
trial_1	active	177	KG00099299	hyperglycaemia	0.10550639033317566
trial_1	active	96	KG00101679	Unattended death NOS	0.10472795367240906
trial_1	active	373	KG00098613	Digitalis Toxicity	0.10310789197683334
trial_1	active	86	KG00098565	Depression, Mental	0.10296301543712616
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.10201527923345566
trial_1	active	466	KG00101205	fall	0.10109912604093552
trial_1	active	2	KG00100772	thrombocytopaenia	0.09989085048437119
trial_1	active	147	KG00098000	atelectases	0.09486276656389236
trial_1	active	77	KG00098450	Constipation NOS	0.09375578165054321
trial_1	active	421	KG00100681	Ulcers, Gastric	0.09037312865257263
trial_1	active	398	KG00100580	Shock, Septic	0.08902355283498764
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.08836710453033447
trial_1	active	310	KG00097940	Appendicitis NOS	0.08728732168674469
trial_1	active	211	KG00100341	Pruritus NOS	0.0856214165687561
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.08457764983177185
trial_1	active	364	KG00098196	Calculus of gallbladder without mention of cholecystitis	0.0840173065662384
trial_1	active	118	KG00099011	Gastritis NOS	0.08389175683259964
trial_1	active	441	KG00098262	cellulitis nos	0.08348140865564346
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.08341304212808609
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.08076035231351852
trial_1	active	228	KG00114657	Weight below normal	0.08063671737909317
trial_1	active	379	KG00099120	Trauma, Craniocerebral	0.08057074248790741
trial_1	active	717	KG00112760	General physical health deterioration	0.07990650832653046
