trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.1405232548713684
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.12774010002613068
trial_1	active	180	KG00099363	Hypotension NOS	0.12359505891799927
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.10492201894521713
trial_1	active	151	KG00098274	Infarction, Cerebral	0.0985187292098999
trial_1	active	9	KG00098432	Confusion NOS	0.09474753588438034
trial_1	active	20	KG00098540	dehydration	0.0863928347826004
trial_1	active	114	KG00098933	fevers	0.0831826776266098
trial_1	active	221	KG00101207	peripheral oedema	0.08070040494203568
trial_1	active	30	KG00099500	Acute Kidney Failure	0.0737135112285614
trial_1	active	14	KG00097852	Anemia NOS	0.07339586317539215
trial_1	active	123	KG00099351	hypokalaemia	0.06999668478965759
trial_1	active	269	KG00100399	pyaemia	0.06837509572505951
trial_1	active	21	KG00098675	dyspnoea	0.06450378894805908
trial_1	active	276	KG00099127	Arrest, Cardiac	0.06422335654497147
trial_1	active	147	KG00098000	atelectases	0.06124546378850937
trial_1	active	11	KG00097993	Asthma NOS	0.060245342552661896
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.058706462383270264
trial_1	active	441	KG00098262	cellulitis nos	0.05546167120337486
trial_1	active	69	KG00100082	Palpitations NOS	0.05522540211677551
trial_1	active	49	KG00099902	nausea with vomiting	0.05390072241425514
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.0537552647292614
trial_1	active	211	KG00100341	Pruritus NOS	0.051021475344896317
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.0497942790389061
trial_1	active	77	KG00098450	Constipation NOS	0.04896979033946991
trial_1	active	37	KG00097696	Cramps, Abdominal	0.04718581959605217
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.046358682215213776
trial_1	active	102	KG00097916	anxieties	0.04454060271382332
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.044247180223464966
trial_1	active	46	KG00099121	Headache NOS	0.043926361948251724
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.043554216623306274
trial_1	active	398	KG00100580	Shock, Septic	0.04343845695257187
trial_1	active	18	KG00098307	Pain, Chest	0.04316788911819458
trial_1	active	31	KG00099872	Infarction, Myocardial	0.04283420741558075
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.042586229741573334
trial_1	active	78	KG00099326	Hypertensive diseases	0.042572543025016785
trial_1	active	85	KG00098474	coughs	0.04247385263442993
trial_1	active	68	KG00099901	nauseas	0.04193258285522461
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.04121757671236992
trial_1	active	177	KG00099299	hyperglycaemia	0.03972537815570831
trial_1	active	79	KG00100317	Insomnia, Primary	0.03906472027301788
trial_1	active	126	KG00100076	Pain NOS	0.03872247412800789
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.038641344755887985
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.03837920352816582
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.03752638027071953
trial_1	active	96	KG00101679	Unattended death NOS	0.03607639670372009
trial_1	active	4	KG00098817	epistaxis	0.03504747524857521
trial_1	active	29	KG00099354	hyponatraemia	0.035043444484472275
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.035012826323509216
trial_1	active	2	KG00100772	thrombocytopaenia	0.03487418591976166
trial_1	active	380	KG00099133	Heart failures	0.03472975641489029
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.032566796988248825
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.03244277462363243
trial_1	active	713	KG00107657	distressed respiratory	0.0316443108022213
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.031402476131916046
trial_1	active	130	KG00100683	Stomatitis NOS	0.031203443184494972
trial_1	active	17	KG00097991	Asthenia NOS	0.03116285614669323
trial_1	active	237	KG00099189	haemoptysis	0.030724547803401947
trial_1	active	271	KG00103813	reflex bradycardia	0.030224677175283432
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.029601719230413437
trial_1	active	86	KG00098565	Depression, Mental	0.029096676036715508
trial_1	active	27	KG00099303	hyperkalaemia	0.028225962072610855
trial_1	active	28	KG00099347	hypoglycaemia	0.028083091601729393
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.027584003284573555
trial_1	active	25	KG00099134	congestive failures heart	0.02754220925271511
trial_1	active	488	KG00098167	Bronchospasm NOS	0.026822341606020927
trial_1	active	466	KG00101205	fall	0.026543932035565376
trial_1	active	142	KG00100923	Unspecified infectious and parasitic diseases	0.026465345174074173
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.02626911550760269
trial_1	active	228	KG00114657	Weight below normal	0.02618803083896637
