trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.7654279470443726
trial_1	active	78	KG00099326	Hypertensive diseases	0.7070998549461365
trial_1	active	228	KG00114657	Weight below normal	0.5829508900642395
trial_1	active	9	KG00098432	Confusion NOS	0.5312935709953308
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.5309773683547974
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.5271190404891968
trial_1	active	20	KG00098540	dehydration	0.524523138999939
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.5243591666221619
trial_1	active	49	KG00099902	nausea with vomiting	0.4993077516555786
trial_1	active	30	KG00099500	Acute Kidney Failure	0.4834485650062561
trial_1	active	151	KG00098274	Infarction, Cerebral	0.46593448519706726
trial_1	active	257	KG00100922	Erythema NOS	0.46410587430000305
trial_1	active	211	KG00100341	Pruritus NOS	0.45709532499313354
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.4467715322971344
trial_1	active	130	KG00100683	Stomatitis NOS	0.4394571781158447
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.4164733588695526
trial_1	active	29	KG00099354	hyponatraemia	0.411612331867218
trial_1	active	77	KG00098450	Constipation NOS	0.409844309091568
trial_1	active	68	KG00099901	nauseas	0.40803658962249756
trial_1	active	123	KG00099351	hypokalaemia	0.4054286777973175
trial_1	active	102	KG00097916	anxieties	0.3898361325263977
trial_1	active	101	KG00097901	Anorexia NOS	0.38238486647605896
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.3786866068840027
trial_1	active	221	KG00101207	peripheral oedema	0.37717509269714355
trial_1	active	37	KG00097696	Cramps, Abdominal	0.35891419649124146
trial_1	active	269	KG00100399	pyaemia	0.3489176332950592
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.3453821837902069
trial_1	active	180	KG00099363	Hypotension NOS	0.3323052227497101
trial_1	active	114	KG00098933	fevers	0.3315909206867218
trial_1	active	186	KG00101431	creatinine increased	0.32834482192993164
trial_1	active	136	KG00101582	Dry;skin	0.3141220211982727
trial_1	active	79	KG00100317	Insomnia, Primary	0.30887120962142944
trial_1	active	191	KG00104055	Biliverdin increased	0.3065054714679718
trial_1	active	21	KG00098675	dyspnoea	0.30218306183815
trial_1	active	147	KG00098000	atelectases	0.29596439003944397
trial_1	active	11	KG00097993	Asthma NOS	0.2953590452671051
trial_1	active	86	KG00098565	Depression, Mental	0.2942116856575012
trial_1	active	441	KG00098262	cellulitis nos	0.29351434111595154
trial_1	active	17	KG00097991	Asthenia NOS	0.27896150946617126
trial_1	active	104	KG00097963	arthralgias	0.27304354310035706
trial_1	active	27	KG00099303	hyperkalaemia	0.27160462737083435
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.26633840799331665
trial_1	active	35	KG00101507	hypomagnesaemia	0.26466917991638184
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.26424285769462585
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.2629901170730591
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.2622690498828888
trial_1	active	31	KG00099872	Infarction, Myocardial	0.2602408826351166
trial_1	active	2	KG00100772	thrombocytopaenia	0.2592085897922516
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.25736746191978455
trial_1	active	239	KG00100128	pareses	0.24970845878124237
trial_1	active	14	KG00097852	Anemia NOS	0.24621239304542542
trial_1	active	237	KG00099189	haemoptysis	0.24247469007968903
trial_1	active	454	KG00098286	Pain, Neck	0.24063783884048462
trial_1	active	200	KG00098539	Disorders, Deglutition	0.23663170635700226
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.23449867963790894
trial_1	active	466	KG00101205	fall	0.23438580334186554
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.2314123809337616
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.23086883127689362
trial_1	active	337	KG00099261	Hoarsenesses	0.22878508269786835
trial_1	active	382	KG00099200	haemorrhoids	0.22480809688568115
trial_1	active	5	KG00099169	haematuria	0.22454001009464264
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.22094736993312836
trial_1	active	204	KG00098849	Esophagitis, Peptic	0.2197551727294922
trial_1	active	179	KG00099342	hypocalcaemia	0.21917276084423065
trial_1	active	177	KG00099299	hyperglycaemia	0.21809297800064087
trial_1	active	276	KG00099127	Arrest, Cardiac	0.21737882494926453
trial_1	active	4	KG00098817	epistaxis	0.21643103659152985
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.20656809210777283
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.19832336902618408
trial_1	active	288	KG00101223	hypophosphataemia	0.19722017645835876
trial_1	active	234	KG00098669	dysgeusias	0.19695626199245453
trial_1	active	85	KG00098474	coughs	0.1959201544523239
trial_1	active	83	KG00097747	pharyngitis nos acute	0.1928909420967102
trial_1	active	18	KG00098307	Pain, Chest	0.19162492454051971
trial_1	active	46	KG00099121	Headache NOS	0.18820375204086304
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.1881105750799179
trial_1	active	343	KG00102674	Eruptions, Acneiform	0.1864989995956421
trial_1	active	339	KG00100334	proteinurias	0.18088959157466888
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.17817309498786926
trial_1	active	350	KG00106765	decreased platelet count	0.1762508600950241
trial_1	active	15	KG00097882	Angina pectoris NOS	0.1753561645746231
trial_1	active	98	KG00097718	Incised wound, NOS	0.17517007887363434
trial_1	active	286	KG00101110	Retention, Urinary	0.17295865714550018
trial_1	active	124	KG00099369	hypothyroidisms	0.1722436100244522
trial_1	active	518	KG00098099	bullae	0.17145554721355438
trial_1	active	212	KG00100576	shivers	0.17089836299419403
trial_1	active	535	KG00098309	chest pains wall	0.17022904753684998
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.16978420317173004
trial_1	active	249	KG00104430	hypoalbuminaemia	0.1695951521396637
trial_1	active	118	KG00099011	Gastritis NOS	0.16730138659477234
trial_1	active	478	KG00103778	antalgic gait	0.1659155935049057
trial_1	active	271	KG00103813	reflex bradycardia	0.1639096438884735
trial_1	active	342	KG00101570	intervals prolonged qt	0.16357021033763885
trial_1	active	38	KG00098066	Binocular vision disorders	0.16246607899665833
trial_1	active	661	KG00101056	Laceration(s)	0.16207396984100342
trial_1	active	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.1603592336177826
trial_1	active	380	KG00099133	Heart failures	0.15923820436000824
trial_1	active	116	KG00098964	Pain in foot	0.15903924405574799
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.15734782814979553
trial_1	active	69	KG00100082	Palpitations NOS	0.1557074934244156
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
trial_2	control	11	KG00097993	Asthma NOS	0.12974649667739868
trial_2	control	494	KG00099838	Organ Failure, Multiple	0.1287405639886856
trial_2	control	396	KG00100373	Embolism, Pulmonary	0.12624897062778473
trial_2	control	29	KG00099354	hyponatraemia	0.12441596388816833
trial_2	control	101	KG00097901	Anorexia NOS	0.1209268718957901
trial_2	control	79	KG00100317	Insomnia, Primary	0.12021980434656143
trial_2	control	17	KG00097991	Asthenia NOS	0.11931263655424118
trial_2	control	69	KG00100082	Palpitations NOS	0.11469438672065735
trial_2	control	131	KG00100948	Urinary tract infection (& [NOS])	0.11283913999795914
trial_2	control	102	KG00097916	anxieties	0.11273739486932755
trial_2	control	177	KG00099299	hyperglycaemia	0.1124439686536789
trial_2	control	2	KG00100772	thrombocytopaenia	0.11206149309873581
trial_2	control	228	KG00114657	Weight below normal	0.1106056272983551
trial_2	control	199	KG00098371	Rhinitis (chronic) NOS	0.10840196162462234
trial_2	control	130	KG00100683	Stomatitis NOS	0.10835694521665573
trial_2	control	361	KG00098004	Fibrillation, Atrial	0.10444892942905426
trial_2	control	398	KG00100580	Shock, Septic	0.10309060662984848
trial_2	control	441	KG00098262	cellulitis nos	0.10283619910478592
trial_2	control	713	KG00107657	distressed respiratory	0.10114724934101105
trial_2	control	189	KG00101580	Alanine aminotransferase increase	0.10092013329267502
trial_2	control	31	KG00099872	Infarction, Myocardial	0.10042756050825119
trial_2	control	394	KG00100243	Pneumonia, Aspiration	0.09717819094657898
trial_2	control	237	KG00099189	haemoptysis	0.09520714730024338
trial_2	control	104	KG00097963	arthralgias	0.09435881674289703
trial_2	control	86	KG00098565	Depression, Mental	0.09120907634496689
trial_2	control	27	KG00099303	hyperkalaemia	0.08952067047357559
trial_2	control	46	KG00099121	Headache NOS	0.08830124884843826
trial_2	control	268	KG00099557	Heart Failure, Left-Sided	0.08631296455860138
trial_2	control	85	KG00098474	coughs	0.08189909905195236
trial_2	control	35	KG00101507	hypomagnesaemia	0.07683338224887848
trial_2	control	4	KG00098817	epistaxis	0.07540818303823471
trial_2	control	75	KG00100195	Dolens, Phlegmasia Alba	0.07421282678842545
trial_2	control	92	KG00100926	Infections, Upper Respiratory	0.07100164145231247
trial_2	control	138	KG00098796	epidemic vomiting syndrome	0.07099621742963791
trial_2	control	186	KG00101431	creatinine increased	0.06816177070140839
trial_2	control	126	KG00100076	Pain NOS	0.06616328656673431
trial_2	control	883	KG00107760	Neonatal cardiorespiratory arrest	0.06484149396419525
trial_2	control	66	KG00098642	drowsiness	0.06450963020324707
trial_2	control	397	KG00100456	Infections, Respiratory Tract	0.06437727063894272
trial_2	control	25	KG00099134	congestive failures heart	0.06393520534038544
trial_2	control	15	KG00097882	Angina pectoris NOS	0.062460508197546005
trial_2	control	466	KG00101205	fall	0.061682987958192825
trial_2	control	28	KG00099347	hypoglycaemia	0.060341425240039825
trial_2	control	380	KG00099133	Heart failures	0.05889195576310158
trial_2	control	5	KG00099169	haematuria	0.05883767083287239
trial_2	control	191	KG00104055	Biliverdin increased	0.058225393295288086
trial_2	control	317	KG00098586	DIABETES MELLITUS NOS	0.05819370225071907
