trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.16682729125022888
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.16178718209266663
trial_1	active	151	KG00098274	Infarction, Cerebral	0.16087713837623596
trial_1	active	211	KG00100341	Pruritus NOS	0.14987421035766602
trial_1	active	114	KG00098933	fevers	0.13576555252075195
trial_1	active	87	KG00098599	diarrhoea	0.13556234538555145
trial_1	active	49	KG00099902	nausea with vomiting	0.12641862034797668
trial_1	active	30	KG00099500	Acute Kidney Failure	0.125646710395813
trial_1	active	9	KG00098432	Confusion NOS	0.11504006385803223
trial_1	active	77	KG00098450	Constipation NOS	0.10936260968446732
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.10434403270483017
trial_1	active	147	KG00098000	atelectases	0.10301744192838669
trial_1	active	20	KG00098540	dehydration	0.1026715412735939
trial_1	active	102	KG00097916	anxieties	0.1025838702917099
trial_1	active	180	KG00099363	Hypotension NOS	0.09783368557691574
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.09469374269247055
trial_1	active	269	KG00100399	pyaemia	0.09297630935907364
trial_1	active	221	KG00101207	peripheral oedema	0.09160737693309784
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.09016423672437668
trial_1	active	68	KG00099901	nauseas	0.0812147706747055
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.07954280078411102
trial_1	active	123	KG00099351	hypokalaemia	0.07877145707607269
trial_1	active	78	KG00099326	Hypertensive diseases	0.07873564958572388
trial_1	active	441	KG00098262	cellulitis nos	0.07724276185035706
trial_1	active	79	KG00100317	Insomnia, Primary	0.0759379118680954
trial_1	active	14	KG00097852	Anemia NOS	0.0752449557185173
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.0727732703089714
trial_1	active	713	KG00107657	distressed respiratory	0.07265786081552505
trial_1	active	11	KG00097993	Asthma NOS	0.07257816195487976
trial_1	active	661	KG00101056	Laceration(s)	0.0720776617527008
trial_1	active	276	KG00099127	Arrest, Cardiac	0.07037854194641113
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.07033950090408325
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.07025369256734848
trial_1	active	86	KG00098565	Depression, Mental	0.06490041315555573
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.0643169954419136
trial_1	active	466	KG00101205	fall	0.06374167650938034
trial_1	active	21	KG00098675	dyspnoea	0.062479645013809204
trial_1	active	37	KG00097696	Cramps, Abdominal	0.0615123026072979
trial_1	active	177	KG00099299	hyperglycaemia	0.061334121972322464
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.06132763624191284
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.060498837381601334
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.05949326232075691
trial_1	active	29	KG00099354	hyponatraemia	0.05877585709095001
trial_1	active	126	KG00100076	Pain NOS	0.05797034129500389
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.05494939908385277
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.054253384470939636
trial_1	active	98	KG00097718	Incised wound, NOS	0.05196006968617439
trial_1	active	31	KG00099872	Infarction, Myocardial	0.05178297311067581
trial_1	active	69	KG00100082	Palpitations NOS	0.05139428377151489
trial_1	active	5	KG00099169	haematuria	0.05134986340999603
trial_1	active	228	KG00114657	Weight below normal	0.05119910091161728
trial_1	active	2	KG00100772	thrombocytopaenia	0.05022920295596123
trial_1	active	130	KG00100683	Stomatitis NOS	0.050216127187013626
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.048472605645656586
trial_1	active	271	KG00103813	reflex bradycardia	0.04823174700140953
trial_1	active	200	KG00098539	Disorders, Deglutition	0.04738183692097664
trial_1	active	17	KG00097991	Asthenia NOS	0.04694930091500282
trial_1	active	96	KG00101679	Unattended death NOS	0.04685530439019203
trial_1	active	219	KG00101049	Wheezes	0.04610714316368103
trial_1	active	15	KG00097882	Angina pectoris NOS	0.046042826026678085
trial_1	active	27	KG00099303	hyperkalaemia	0.045888569205999374
trial_1	active	85	KG00098474	coughs	0.0447315089404583
trial_1	active	470	KG00098567	dermabrasions	0.04460430517792702
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.04423867166042328
trial_1	active	186	KG00101431	creatinine increased	0.04385572671890259
trial_1	active	282	KG00099309	hypernatraemia	0.04339069128036499
trial_1	active	398	KG00100580	Shock, Septic	0.042244378477334976
trial_1	active	101	KG00097901	Anorexia NOS	0.042213693261146545
trial_1	active	195	KG00097814	Atopic Rhinitis	0.041668448597192764
trial_1	active	488	KG00098167	Bronchospasm NOS	0.04166581854224205
trial_1	active	237	KG00099189	haemoptysis	0.04009181633591652
trial_1	active	35	KG00101507	hypomagnesaemia	0.039559729397296906
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.0391789935529232
trial_1	active	71	KG00100958	urticarias	0.03881564363837242
trial_1	active	179	KG00099342	hypocalcaemia	0.03868810832500458
trial_1	active	286	KG00101110	Retention, Urinary	0.03867178037762642
trial_1	active	104	KG00097963	arthralgias	0.0385625846683979
trial_1	active	456	KG00099420	Influenzae	0.03772563487291336
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.03765500336885452
trial_1	active	547	KG00099240	herpes; labialis	0.037494342774152756
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.037441495805978775
trial_1	active	522	KG00100078	Postoperative Pain	0.03598539158701897
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.03588850423693657
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.035516127943992615
trial_1	active	478	KG00103778	antalgic gait	0.035476524382829666
trial_1	active	608	KG00098572	Atopic Dermatitis	0.03512599691748619
trial_1	active	379	KG00099120	Trauma, Craniocerebral	0.03508467227220535
trial_1	active	380	KG00099133	Heart failures	0.03480555862188339
trial_1	active	652	KG00100662	Sputums	0.03345516324043274
trial_1	active	139	KG00098855	Sinusitis, Ethmoid	0.033188704401254654
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.033010490238666534
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.032743021845817566
trial_1	active	208	KG00099896	Nasal congestion (finding)	0.03267183154821396
trial_1	active	371	KG00098517	Cystitis (NOS)	0.03266336768865585
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.03264405205845833
trial_1	active	239	KG00100128	pareses	0.03261779993772507
trial_1	active	150	KG00098201	candidiases	0.03261030092835426
trial_1	active	329	KG00100062	otitis media nos	0.032581884413957596
trial_1	active	46	KG00099121	Headache NOS	0.0324917696416378
trial_1	active	4	KG00098817	epistaxis	0.03236868232488632
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
trial_2	control	11	KG00097993	Asthma NOS	0.12974649667739868
trial_2	control	494	KG00099838	Organ Failure, Multiple	0.1287405639886856
trial_2	control	396	KG00100373	Embolism, Pulmonary	0.12624897062778473
trial_2	control	29	KG00099354	hyponatraemia	0.12441596388816833
trial_2	control	101	KG00097901	Anorexia NOS	0.1209268718957901
trial_2	control	79	KG00100317	Insomnia, Primary	0.12021980434656143
trial_2	control	17	KG00097991	Asthenia NOS	0.11931263655424118
trial_2	control	69	KG00100082	Palpitations NOS	0.11469438672065735
trial_2	control	131	KG00100948	Urinary tract infection (& [NOS])	0.11283913999795914
trial_2	control	102	KG00097916	anxieties	0.11273739486932755
trial_2	control	177	KG00099299	hyperglycaemia	0.1124439686536789
trial_2	control	2	KG00100772	thrombocytopaenia	0.11206149309873581
trial_2	control	228	KG00114657	Weight below normal	0.1106056272983551
trial_2	control	199	KG00098371	Rhinitis (chronic) NOS	0.10840196162462234
trial_2	control	130	KG00100683	Stomatitis NOS	0.10835694521665573
trial_2	control	361	KG00098004	Fibrillation, Atrial	0.10444892942905426
trial_2	control	398	KG00100580	Shock, Septic	0.10309060662984848
trial_2	control	441	KG00098262	cellulitis nos	0.10283619910478592
trial_2	control	713	KG00107657	distressed respiratory	0.10114724934101105
trial_2	control	189	KG00101580	Alanine aminotransferase increase	0.10092013329267502
trial_2	control	31	KG00099872	Infarction, Myocardial	0.10042756050825119
trial_2	control	394	KG00100243	Pneumonia, Aspiration	0.09717819094657898
trial_2	control	237	KG00099189	haemoptysis	0.09520714730024338
trial_2	control	104	KG00097963	arthralgias	0.09435881674289703
