trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	9	KG00098432	Confusion NOS	0.23859217762947083
trial_1	active	87	KG00098599	diarrhoea	0.18419040739536285
trial_1	active	49	KG00099902	nausea with vomiting	0.14911596477031708
trial_1	active	151	KG00098274	Infarction, Cerebral	0.14452601969242096
trial_1	active	68	KG00099901	nauseas	0.14029082655906677
trial_1	active	78	KG00099326	Hypertensive diseases	0.13339169323444366
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.13231399655342102
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.13007478415966034
trial_1	active	79	KG00100317	Insomnia, Primary	0.1179746612906456
trial_1	active	30	KG00099500	Acute Kidney Failure	0.1176193431019783
trial_1	active	102	KG00097916	anxieties	0.11708273738622665
trial_1	active	211	KG00100341	Pruritus NOS	0.10526786744594574
trial_1	active	180	KG00099363	Hypotension NOS	0.10258470475673676
trial_1	active	11	KG00097993	Asthma NOS	0.09897998720407486
trial_1	active	20	KG00098540	dehydration	0.09849212318658829
trial_1	active	228	KG00114657	Weight below normal	0.09723507612943649
trial_1	active	77	KG00098450	Constipation NOS	0.09258230775594711
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.08828451484441757
trial_1	active	86	KG00098565	Depression, Mental	0.0869402214884758
trial_1	active	17	KG00097991	Asthenia NOS	0.08690851926803589
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.085606150329113
trial_1	active	269	KG00100399	pyaemia	0.08527971804141998
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.08084332942962646
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.08083879202604294
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.08012379705905914
trial_1	active	114	KG00098933	fevers	0.07899465411901474
trial_1	active	21	KG00098675	dyspnoea	0.07665905356407166
trial_1	active	101	KG00097901	Anorexia NOS	0.07435458153486252
trial_1	active	441	KG00098262	cellulitis nos	0.07367053627967834
trial_1	active	466	KG00101205	fall	0.0731508806347847
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.06999112665653229
trial_1	active	221	KG00101207	peripheral oedema	0.06759639829397202
trial_1	active	66	KG00098642	drowsiness	0.0665091723203659
trial_1	active	147	KG00098000	atelectases	0.06577611714601517
trial_1	active	31	KG00099872	Infarction, Myocardial	0.06192650645971298
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.06052680313587189
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.05634145066142082
trial_1	active	46	KG00099121	Headache NOS	0.05626438185572624
trial_1	active	276	KG00099127	Arrest, Cardiac	0.0554044209420681
trial_1	active	15	KG00097882	Angina pectoris NOS	0.054309550672769547
trial_1	active	29	KG00099354	hyponatraemia	0.05378769338130951
trial_1	active	271	KG00103813	reflex bradycardia	0.05032157525420189
trial_1	active	14	KG00097852	Anemia NOS	0.05006520822644234
trial_1	active	123	KG00099351	hypokalaemia	0.04908072575926781
trial_1	active	85	KG00098474	coughs	0.04764809459447861
trial_1	active	37	KG00097696	Cramps, Abdominal	0.04679382964968681
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.04592982679605484
trial_1	active	380	KG00099133	Heart failures	0.04388093575835228
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.04310448467731476
trial_1	active	104	KG00097963	arthralgias	0.0429890938103199
trial_1	active	69	KG00100082	Palpitations NOS	0.04082105681300163
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.040559012442827225
trial_1	active	18	KG00098307	Pain, Chest	0.04047846421599388
trial_1	active	177	KG00099299	hyperglycaemia	0.04019492119550705
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.03944522887468338
trial_1	active	713	KG00107657	distressed respiratory	0.039358772337436676
trial_1	active	126	KG00100076	Pain NOS	0.03918761759996414
trial_1	active	25	KG00099134	congestive failures heart	0.03875158354640007
trial_1	active	366	KG00098275	Attack, Transient Ischemic	0.03861101344227791
trial_1	active	661	KG00101056	Laceration(s)	0.03791110962629318
trial_1	active	96	KG00101679	Unattended death NOS	0.03714476525783539
trial_1	active	425	KG00098146	Chronic Brain Damage	0.0368182547390461
trial_1	active	286	KG00101110	Retention, Urinary	0.03619280084967613
trial_1	active	98	KG00097718	Incised wound, NOS	0.035726092755794525
trial_1	active	225	KG00104032	Suicidal tendencies	0.03549403324723244
trial_1	active	364	KG00098196	Calculus of gallbladder without mention of cholecystitis	0.034314513206481934
trial_1	active	118	KG00099011	Gastritis NOS	0.033981163054704666
trial_1	active	239	KG00100128	pareses	0.03357096016407013
trial_1	active	200	KG00098539	Disorders, Deglutition	0.03320717811584473
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.03277486935257912
trial_1	active	300	KG00101064	xerostomia	0.03226212039589882
trial_1	active	478	KG00103778	antalgic gait	0.03203287720680237
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.03026743419468403
trial_1	active	327	KG00098362	Chronic Bronchitis	0.03015063889324665
trial_1	active	28	KG00099347	hypoglycaemia	0.0297036562114954
trial_1	active	27	KG00099303	hyperkalaemia	0.029422122985124588
trial_1	active	398	KG00100580	Shock, Septic	0.02936452254652977
trial_1	active	379	KG00099120	Trauma, Craniocerebral	0.028808915987610817
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.028047960251569748
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.027841301634907722
trial_1	active	456	KG00099420	Influenzae	0.027532171458005905
trial_1	active	139	KG00098855	Sinusitis, Ethmoid	0.027262398973107338
trial_1	active	5	KG00099169	haematuria	0.027155479416251183
trial_1	active	203	KG00098661	dysarthrias	0.02675476297736168
trial_1	active	262	KG00101199	agitation	0.026284093037247658
trial_1	active	524	KG00100611	Sleeping disturbances	0.02609853819012642
trial_1	active	38	KG00098066	Binocular vision disorders	0.02498173527419567
