trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.45101431012153625
trial_1	active	9	KG00098432	Confusion NOS	0.3116607069969177
trial_1	active	151	KG00098274	Infarction, Cerebral	0.27428925037384033
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.2675406038761139
trial_1	active	49	KG00099902	nausea with vomiting	0.2555028796195984
trial_1	active	30	KG00099500	Acute Kidney Failure	0.2530965805053711
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.2500399649143219
trial_1	active	211	KG00100341	Pruritus NOS	0.23750384151935577
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.23396913707256317
trial_1	active	20	KG00098540	dehydration	0.22503702342510223
trial_1	active	68	KG00099901	nauseas	0.2190641164779663
trial_1	active	78	KG00099326	Hypertensive diseases	0.21252857148647308
trial_1	active	123	KG00099351	hypokalaemia	0.21157389879226685
trial_1	active	221	KG00101207	peripheral oedema	0.2013438493013382
trial_1	active	269	KG00100399	pyaemia	0.17991526424884796
trial_1	active	114	KG00098933	fevers	0.17970158159732819
trial_1	active	228	KG00114657	Weight below normal	0.1729130744934082
trial_1	active	77	KG00098450	Constipation NOS	0.17010009288787842
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.16848225891590118
trial_1	active	180	KG00099363	Hypotension NOS	0.16587869822978973
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.15928709506988525
trial_1	active	102	KG00097916	anxieties	0.15790855884552002
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.15695713460445404
trial_1	active	147	KG00098000	atelectases	0.15560002624988556
trial_1	active	276	KG00099127	Arrest, Cardiac	0.15474337339401245
trial_1	active	14	KG00097852	Anemia NOS	0.15421132743358612
trial_1	active	21	KG00098675	dyspnoea	0.1534470170736313
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.15271179378032684
trial_1	active	130	KG00100683	Stomatitis NOS	0.14971482753753662
trial_1	active	11	KG00097993	Asthma NOS	0.14376865327358246
