trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.3857101798057556
trial_1	active	9	KG00098432	Confusion NOS	0.2673109471797943
trial_1	active	78	KG00099326	Hypertensive diseases	0.2564469873905182
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.2489558756351471
trial_1	active	151	KG00098274	Infarction, Cerebral	0.24401216208934784
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.24292811751365662
trial_1	active	30	KG00099500	Acute Kidney Failure	0.22068575024604797
trial_1	active	68	KG00099901	nauseas	0.21114268898963928
trial_1	active	77	KG00098450	Constipation NOS	0.2090006321668625
trial_1	active	49	KG00099902	nausea with vomiting	0.1978781819343567
trial_1	active	221	KG00101207	peripheral oedema	0.1814139187335968
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.1814112365245819
trial_1	active	102	KG00097916	anxieties	0.17688506841659546
trial_1	active	20	KG00098540	dehydration	0.17649537324905396
trial_1	active	211	KG00100341	Pruritus NOS	0.15795323252677917
trial_1	active	114	KG00098933	fevers	0.15259653329849243
trial_1	active	180	KG00099363	Hypotension NOS	0.15142294764518738
trial_1	active	79	KG00100317	Insomnia, Primary	0.14820623397827148
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.1473226696252823
trial_1	active	11	KG00097993	Asthma NOS	0.14488676190376282
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.14277812838554382
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.13951042294502258
trial_1	active	123	KG00099351	hypokalaemia	0.13335154950618744
trial_1	active	269	KG00100399	pyaemia	0.1330830156803131
trial_1	active	228	KG00114657	Weight below normal	0.1329629123210907
trial_1	active	86	KG00098565	Depression, Mental	0.127666637301445
trial_1	active	147	KG00098000	atelectases	0.12741617858409882
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.1258562207221985
trial_1	active	37	KG00097696	Cramps, Abdominal	0.12574966251850128
trial_1	active	441	KG00098262	cellulitis nos	0.1256886124610901
trial_1	active	276	KG00099127	Arrest, Cardiac	0.12345082312822342
trial_1	active	14	KG00097852	Anemia NOS	0.12158586829900742
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.11557863652706146
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.11554044485092163
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.11349061876535416
trial_1	active	29	KG00099354	hyponatraemia	0.11168444901704788
trial_1	active	69	KG00100082	Palpitations NOS	0.11042953282594681
trial_1	active	186	KG00101431	creatinine increased	0.10816850513219833
trial_1	active	21	KG00098675	dyspnoea	0.1062144786119461
trial_1	active	27	KG00099303	hyperkalaemia	0.10413554310798645
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.10379712283611298
trial_1	active	466	KG00101205	fall	0.10188431292772293
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.10184355825185776
trial_1	active	661	KG00101056	Laceration(s)	0.10057894885540009
trial_1	active	130	KG00100683	Stomatitis NOS	0.09670592099428177
trial_1	active	101	KG00097901	Anorexia NOS	0.09634187072515488
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.09488893300294876
trial_1	active	177	KG00099299	hyperglycaemia	0.09375184774398804
trial_1	active	5	KG00099169	haematuria	0.09264397621154785
trial_1	active	17	KG00097991	Asthenia NOS	0.0916379764676094
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.08931045234203339
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.08760108798742294
trial_1	active	35	KG00101507	hypomagnesaemia	0.08711536973714828
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.08684856444597244
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.08568121492862701
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.08204564452171326
trial_1	active	118	KG00099011	Gastritis NOS	0.08199017494916916
trial_1	active	31	KG00099872	Infarction, Myocardial	0.07901916652917862
trial_1	active	94	KG00103829	abdominal discomfort	0.07860210537910461
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.07850320637226105
trial_1	active	85	KG00098474	coughs	0.07835458964109421
trial_1	active	237	KG00099189	haemoptysis	0.07655145972967148
trial_1	active	104	KG00097963	arthralgias	0.07582110166549683
trial_1	active	239	KG00100128	pareses	0.07518484443426132
trial_1	active	713	KG00107657	distressed respiratory	0.07517104595899582
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.0738619789481163
trial_1	active	271	KG00103813	reflex bradycardia	0.0732128843665123
trial_1	active	204	KG00098849	Esophagitis, Peptic	0.0716327652335167
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.07150746136903763
trial_1	active	200	KG00098539	Disorders, Deglutition	0.0713968500494957
trial_1	active	191	KG00104055	Biliverdin increased	0.0713924989104271
trial_1	active	126	KG00100076	Pain NOS	0.07134409993886948
trial_1	active	286	KG00101110	Retention, Urinary	0.07123036682605743
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.070945143699646
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.07077500224113464
trial_1	active	454	KG00098286	Pain, Neck	0.06986033916473389
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.06970036029815674
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.06785335391759872
trial_1	active	46	KG00099121	Headache NOS	0.06759782880544662
trial_1	active	488	KG00098167	Bronchospasm NOS	0.06738956272602081
trial_1	active	98	KG00097718	Incised wound, NOS	0.06650283187627792
trial_1	active	18	KG00098307	Pain, Chest	0.06620226055383682
trial_1	active	380	KG00099133	Heart failures	0.06584393978118896
trial_1	active	15	KG00097882	Angina pectoris NOS	0.06583716720342636
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.06530321389436722
trial_1	active	398	KG00100580	Shock, Septic	0.06484055519104004
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.06444025784730911
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.06408167630434036
trial_1	active	66	KG00098642	drowsiness	0.06394348293542862
trial_1	active	456	KG00099420	Influenzae	0.06201161444187164
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.06152430921792984
trial_1	active	243	KG00100947	Micturition frequency increased	0.0600537545979023
trial_1	active	489	KG00099244	Herpes zoster disease	0.05941525474190712
trial_1	active	2	KG00100772	thrombocytopaenia	0.05925479903817177
trial_1	active	522	KG00100078	Postoperative Pain	0.05783890187740326
trial_1	active	547	KG00099240	herpes; labialis	0.05754154920578003
trial_1	active	364	KG00098196	Calculus of gallbladder without mention of cholecystitis	0.056745272129774094
trial_1	active	379	KG00099120	Trauma, Craniocerebral	0.05612538754940033
trial_1	active	164	KG00108827	ileus colon	0.0550708994269371
trial_1	active	371	KG00098517	Cystitis (NOS)	0.05431259050965309
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
