trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.363311231136322
trial_1	active	49	KG00099902	nausea with vomiting	0.2112799882888794
trial_1	active	9	KG00098432	Confusion NOS	0.20737338066101074
trial_1	active	114	KG00098933	fevers	0.20490457117557526
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.20472848415374756
trial_1	active	68	KG00099901	nauseas	0.19759933650493622
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.19351555407047272
trial_1	active	77	KG00098450	Constipation NOS	0.18045412003993988
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.17691002786159515
trial_1	active	30	KG00099500	Acute Kidney Failure	0.16860172152519226
trial_1	active	151	KG00098274	Infarction, Cerebral	0.16811829805374146
trial_1	active	211	KG00100341	Pruritus NOS	0.16660167276859283
trial_1	active	102	KG00097916	anxieties	0.16173909604549408
trial_1	active	78	KG00099326	Hypertensive diseases	0.1608954817056656
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.14105649292469025
trial_1	active	221	KG00101207	peripheral oedema	0.13992926478385925
trial_1	active	20	KG00098540	dehydration	0.13763585686683655
trial_1	active	37	KG00097696	Cramps, Abdominal	0.13694916665554047
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.13352641463279724
trial_1	active	123	KG00099351	hypokalaemia	0.1264103800058365
trial_1	active	269	KG00100399	pyaemia	0.1245778501033783
trial_1	active	180	KG00099363	Hypotension NOS	0.12122568488121033
trial_1	active	79	KG00100317	Insomnia, Primary	0.11752764135599136
trial_1	active	14	KG00097852	Anemia NOS	0.11303139477968216
trial_1	active	228	KG00114657	Weight below normal	0.10945029556751251
trial_1	active	441	KG00098262	cellulitis nos	0.1084994375705719
trial_1	active	101	KG00097901	Anorexia NOS	0.10630147159099579
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.10610240697860718
trial_1	active	147	KG00098000	atelectases	0.10605982691049576
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.10342457890510559
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.10115008801221848
trial_1	active	11	KG00097993	Asthma NOS	0.09957050532102585
trial_1	active	276	KG00099127	Arrest, Cardiac	0.09410779923200607
trial_1	active	21	KG00098675	dyspnoea	0.09367892891168594
trial_1	active	29	KG00099354	hyponatraemia	0.09325847774744034
trial_1	active	69	KG00100082	Palpitations NOS	0.09276871383190155
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.08745943754911423
