trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	9	KG00098432	Confusion NOS	0.18980096280574799
trial_1	active	87	KG00098599	diarrhoea	0.1890072226524353
trial_1	active	151	KG00098274	Infarction, Cerebral	0.15746381878852844
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.1514447182416916
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.1293744593858719
trial_1	active	77	KG00098450	Constipation NOS	0.12243977934122086
trial_1	active	78	KG00099326	Hypertensive diseases	0.12148813158273697
trial_1	active	49	KG00099902	nausea with vomiting	0.12020236998796463
trial_1	active	30	KG00099500	Acute Kidney Failure	0.11815561354160309
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.10812412947416306
trial_1	active	221	KG00101207	peripheral oedema	0.1045980155467987
trial_1	active	180	KG00099363	Hypotension NOS	0.10230474919080734
trial_1	active	68	KG00099901	nauseas	0.0988253578543663
trial_1	active	114	KG00098933	fevers	0.094207264482975
trial_1	active	20	KG00098540	dehydration	0.09006303548812866
trial_1	active	211	KG00100341	Pruritus NOS	0.08982215821743011
trial_1	active	102	KG00097916	anxieties	0.08625099062919617
trial_1	active	11	KG00097993	Asthma NOS	0.08114529401063919
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.07925892621278763
trial_1	active	79	KG00100317	Insomnia, Primary	0.07854205369949341
trial_1	active	269	KG00100399	pyaemia	0.07840850204229355
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.0769331306219101
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.07257228344678879
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.07077192515134811
trial_1	active	14	KG00097852	Anemia NOS	0.06951117515563965
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.06912558525800705
trial_1	active	66	KG00098642	drowsiness	0.06897716224193573
trial_1	active	29	KG00099354	hyponatraemia	0.0683550089597702
trial_1	active	123	KG00099351	hypokalaemia	0.06591888517141342
trial_1	active	86	KG00098565	Depression, Mental	0.06509477645158768
trial_1	active	147	KG00098000	atelectases	0.06492762267589569
trial_1	active	228	KG00114657	Weight below normal	0.06464678049087524
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.06361834704875946
trial_1	active	177	KG00099299	hyperglycaemia	0.06101329252123833
trial_1	active	17	KG00097991	Asthenia NOS	0.06013654172420502
trial_1	active	276	KG00099127	Arrest, Cardiac	0.05918624624609947
trial_1	active	21	KG00098675	dyspnoea	0.058368779718875885
trial_1	active	441	KG00098262	cellulitis nos	0.05834324657917023
trial_1	active	37	KG00097696	Cramps, Abdominal	0.05672876164317131
trial_1	active	466	KG00101205	fall	0.054653942584991455
trial_1	active	130	KG00100683	Stomatitis NOS	0.05056989938020706
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.049918051809072495
trial_1	active	713	KG00107657	distressed respiratory	0.04885237291455269
trial_1	active	2	KG00100772	thrombocytopaenia	0.04817306250333786
trial_1	active	69	KG00100082	Palpitations NOS	0.047060947865247726
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.04643388092517853
trial_1	active	101	KG00097901	Anorexia NOS	0.04631289467215538
trial_1	active	27	KG00099303	hyperkalaemia	0.044987067580223083
trial_1	active	85	KG00098474	coughs	0.0445234477519989
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.043821144849061966
trial_1	active	126	KG00100076	Pain NOS	0.043721314519643784
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.043415676802396774
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.04298647493124008
trial_1	active	186	KG00101431	creatinine increased	0.0428602360188961
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.04250134900212288
trial_1	active	104	KG00097963	arthralgias	0.04163925722241402
trial_1	active	31	KG00099872	Infarction, Myocardial	0.04159565642476082
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.04150114208459854
trial_1	active	98	KG00097718	Incised wound, NOS	0.04077708348631859
trial_1	active	5	KG00099169	haematuria	0.04073098301887512
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.04021815210580826
trial_1	active	46	KG00099121	Headache NOS	0.03939143568277359
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.039297930896282196
trial_1	active	661	KG00101056	Laceration(s)	0.03929271921515465
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.03896765038371086
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.037611767649650574
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.037456683814525604
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.036813780665397644
trial_1	active	28	KG00099347	hypoglycaemia	0.03654913604259491
trial_1	active	200	KG00098539	Disorders, Deglutition	0.03625135496258736
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.03602602332830429
trial_1	active	398	KG00100580	Shock, Septic	0.0356685034930706
trial_1	active	15	KG00097882	Angina pectoris NOS	0.03493833541870117
trial_1	active	380	KG00099133	Heart failures	0.03460002318024635
trial_1	active	118	KG00099011	Gastritis NOS	0.034591224044561386
trial_1	active	35	KG00101507	hypomagnesaemia	0.03444991633296013
trial_1	active	271	KG00103813	reflex bradycardia	0.03418237343430519
trial_1	active	237	KG00099189	haemoptysis	0.03246433660387993
trial_1	active	239	KG00100128	pareses	0.03206723928451538
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.0317990817129612
trial_1	active	96	KG00101679	Unattended death NOS	0.031659774482250214
trial_1	active	94	KG00103829	abdominal discomfort	0.031429700553417206
trial_1	active	286	KG00101110	Retention, Urinary	0.03074650838971138
trial_1	active	191	KG00104055	Biliverdin increased	0.03004303015768528
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.029753046110272408
trial_1	active	379	KG00099120	Trauma, Craniocerebral	0.02974189631640911
trial_1	active	488	KG00098167	Bronchospasm NOS	0.029145102947950363
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.028903143480420113
trial_1	active	456	KG00099420	Influenzae	0.028665971010923386
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.028175203129649162
trial_1	active	179	KG00099342	hypocalcaemia	0.028062274679541588
trial_1	active	18	KG00098307	Pain, Chest	0.02805776707828045
trial_1	active	234	KG00098669	dysgeusias	0.027915962040424347
trial_1	active	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.02755623683333397
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.02712804265320301
trial_1	active	376	KG00098803	epilepsies	0.02694667875766754
trial_1	active	371	KG00098517	Cystitis (NOS)	0.02686689980328083
trial_1	active	478	KG00103778	antalgic gait	0.02678890898823738
trial_1	active	282	KG00099309	hypernatraemia	0.026619521901011467
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.026515072211623192
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
trial_2	control	11	KG00097993	Asthma NOS	0.12974649667739868
trial_2	control	494	KG00099838	Organ Failure, Multiple	0.1287405639886856
trial_2	control	396	KG00100373	Embolism, Pulmonary	0.12624897062778473
trial_2	control	29	KG00099354	hyponatraemia	0.12441596388816833
trial_2	control	101	KG00097901	Anorexia NOS	0.1209268718957901
trial_2	control	79	KG00100317	Insomnia, Primary	0.12021980434656143
trial_2	control	17	KG00097991	Asthenia NOS	0.11931263655424118
trial_2	control	69	KG00100082	Palpitations NOS	0.11469438672065735
trial_2	control	131	KG00100948	Urinary tract infection (& [NOS])	0.11283913999795914
trial_2	control	102	KG00097916	anxieties	0.11273739486932755
trial_2	control	177	KG00099299	hyperglycaemia	0.1124439686536789
trial_2	control	2	KG00100772	thrombocytopaenia	0.11206149309873581
trial_2	control	228	KG00114657	Weight below normal	0.1106056272983551
trial_2	control	199	KG00098371	Rhinitis (chronic) NOS	0.10840196162462234
trial_2	control	130	KG00100683	Stomatitis NOS	0.10835694521665573
trial_2	control	361	KG00098004	Fibrillation, Atrial	0.10444892942905426
trial_2	control	398	KG00100580	Shock, Septic	0.10309060662984848
trial_2	control	441	KG00098262	cellulitis nos	0.10283619910478592
trial_2	control	713	KG00107657	distressed respiratory	0.10114724934101105
trial_2	control	189	KG00101580	Alanine aminotransferase increase	0.10092013329267502
trial_2	control	31	KG00099872	Infarction, Myocardial	0.10042756050825119
trial_2	control	394	KG00100243	Pneumonia, Aspiration	0.09717819094657898
trial_2	control	237	KG00099189	haemoptysis	0.09520714730024338
trial_2	control	104	KG00097963	arthralgias	0.09435881674289703
trial_2	control	86	KG00098565	Depression, Mental	0.09120907634496689
trial_2	control	27	KG00099303	hyperkalaemia	0.08952067047357559
trial_2	control	46	KG00099121	Headache NOS	0.08830124884843826
trial_2	control	268	KG00099557	Heart Failure, Left-Sided	0.08631296455860138
trial_2	control	85	KG00098474	coughs	0.08189909905195236
trial_2	control	35	KG00101507	hypomagnesaemia	0.07683338224887848
trial_2	control	4	KG00098817	epistaxis	0.07540818303823471
trial_2	control	75	KG00100195	Dolens, Phlegmasia Alba	0.07421282678842545
trial_2	control	92	KG00100926	Infections, Upper Respiratory	0.07100164145231247
trial_2	control	138	KG00098796	epidemic vomiting syndrome	0.07099621742963791
trial_2	control	186	KG00101431	creatinine increased	0.06816177070140839
trial_2	control	126	KG00100076	Pain NOS	0.06616328656673431
trial_2	control	883	KG00107760	Neonatal cardiorespiratory arrest	0.06484149396419525
trial_2	control	66	KG00098642	drowsiness	0.06450963020324707
trial_2	control	397	KG00100456	Infections, Respiratory Tract	0.06437727063894272
trial_2	control	25	KG00099134	congestive failures heart	0.06393520534038544
trial_2	control	15	KG00097882	Angina pectoris NOS	0.062460508197546005
trial_2	control	466	KG00101205	fall	0.061682987958192825
trial_2	control	28	KG00099347	hypoglycaemia	0.060341425240039825
trial_2	control	380	KG00099133	Heart failures	0.05889195576310158
