trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.18993070721626282
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.17801059782505035
trial_1	active	77	KG00098450	Constipation NOS	0.16862183809280396
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.1586616188287735
trial_1	active	114	KG00098933	fevers	0.15218958258628845
trial_1	active	221	KG00101207	peripheral oedema	0.1502435952425003
trial_1	active	151	KG00098274	Infarction, Cerebral	0.13612329959869385
trial_1	active	78	KG00099326	Hypertensive diseases	0.13129912316799164
trial_1	active	9	KG00098432	Confusion NOS	0.12860028445720673
trial_1	active	68	KG00099901	nauseas	0.12714390456676483
trial_1	active	49	KG00099902	nausea with vomiting	0.10892646014690399
trial_1	active	102	KG00097916	anxieties	0.1072009801864624
trial_1	active	79	KG00100317	Insomnia, Primary	0.1054806113243103
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.10396242141723633
trial_1	active	211	KG00100341	Pruritus NOS	0.10353422909975052
trial_1	active	180	KG00099363	Hypotension NOS	0.0995679646730423
trial_1	active	14	KG00097852	Anemia NOS	0.0990835428237915
trial_1	active	30	KG00099500	Acute Kidney Failure	0.09887015074491501
trial_1	active	37	KG00097696	Cramps, Abdominal	0.09755722433328629
trial_1	active	20	KG00098540	dehydration	0.09423083811998367
trial_1	active	11	KG00097993	Asthma NOS	0.09338577091693878
trial_1	active	177	KG00099299	hyperglycaemia	0.09317270666360855
trial_1	active	69	KG00100082	Palpitations NOS	0.08568617701530457
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.08451835811138153
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.08442372828722
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.08107481151819229
trial_1	active	86	KG00098565	Depression, Mental	0.07771594077348709
trial_1	active	21	KG00098675	dyspnoea	0.07492756098508835
trial_1	active	147	KG00098000	atelectases	0.07492025941610336
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.07191798090934753
trial_1	active	276	KG00099127	Arrest, Cardiac	0.07078777998685837
trial_1	active	441	KG00098262	cellulitis nos	0.06974688172340393
trial_1	active	123	KG00099351	hypokalaemia	0.06883803755044937
trial_1	active	130	KG00100683	Stomatitis NOS	0.06787542253732681
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.0670890361070633
trial_1	active	17	KG00097991	Asthenia NOS	0.06684856116771698
trial_1	active	269	KG00100399	pyaemia	0.0664253756403923
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.06476172059774399
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.06125578284263611
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.060776542872190475
trial_1	active	186	KG00101431	creatinine increased	0.060519326478242874
trial_1	active	126	KG00100076	Pain NOS	0.05985533818602562
trial_1	active	27	KG00099303	hyperkalaemia	0.05863208696246147
trial_1	active	29	KG00099354	hyponatraemia	0.05817066505551338
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.05802835524082184
trial_1	active	228	KG00114657	Weight below normal	0.05797957256436348
trial_1	active	101	KG00097901	Anorexia NOS	0.05793588235974312
trial_1	active	85	KG00098474	coughs	0.057660918682813644
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.05500759556889534
trial_1	active	466	KG00101205	fall	0.05432409048080444
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.05415448173880577
trial_1	active	2	KG00100772	thrombocytopaenia	0.05274209752678871
trial_1	active	5	KG00099169	haematuria	0.05238800495862961
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.05235827714204788
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.050511620938777924
trial_1	active	118	KG00099011	Gastritis NOS	0.05024225264787674
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.04971285164356232
trial_1	active	46	KG00099121	Headache NOS	0.047500766813755035
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.046887703239917755
trial_1	active	28	KG00099347	hypoglycaemia	0.04623650386929512
trial_1	active	104	KG00097963	arthralgias	0.04598679766058922
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.04557589441537857
trial_1	active	35	KG00101507	hypomagnesaemia	0.04500008746981621
trial_1	active	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.04475611448287964
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.04467880725860596
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.04382876679301262
trial_1	active	661	KG00101056	Laceration(s)	0.04362941160798073
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.04352810978889465
trial_1	active	713	KG00107657	distressed respiratory	0.04319782927632332
trial_1	active	200	KG00098539	Disorders, Deglutition	0.04294963181018829
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.042352527379989624
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.04216264188289642
trial_1	active	139	KG00098855	Sinusitis, Ethmoid	0.04099717363715172
trial_1	active	144	KG00099610	Leukopenia NOS	0.040401749312877655
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.040066272020339966
trial_1	active	508	KG00108565	blood glucose increased	0.0398557148873806
trial_1	active	243	KG00100947	Micturition frequency increased	0.039247170090675354
trial_1	active	219	KG00101049	Wheezes	0.03921907767653465
trial_1	active	522	KG00100078	Postoperative Pain	0.039174146950244904
trial_1	active	98	KG00097718	Incised wound, NOS	0.038989800959825516
trial_1	active	94	KG00103829	abdominal discomfort	0.038957446813583374
trial_1	active	179	KG00099342	hypocalcaemia	0.03876720741391182
trial_1	active	66	KG00098642	drowsiness	0.037949781864881516
trial_1	active	239	KG00100128	pareses	0.037732742726802826
trial_1	active	204	KG00098849	Esophagitis, Peptic	0.03720920905470848
trial_1	active	456	KG00099420	Influenzae	0.036914099007844925
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.03680972382426262
trial_1	active	363	KG00098184	burns injury	0.036398425698280334
trial_1	active	31	KG00099872	Infarction, Myocardial	0.03633369877934456
trial_1	active	271	KG00103813	reflex bradycardia	0.036091748625040054
trial_1	active	150	KG00098201	candidiases	0.03592611104249954
trial_1	active	116	KG00098964	Pain in foot	0.035573773086071014
trial_1	active	652	KG00100662	Sputums	0.03548303619027138
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.03546256199479103
trial_1	active	398	KG00100580	Shock, Septic	0.03498788923025131
trial_1	active	237	KG00099189	haemoptysis	0.03497852757573128
trial_1	active	4	KG00098817	epistaxis	0.03495532646775246
trial_1	active	208	KG00099896	Nasal congestion (finding)	0.03486208617687225
trial_1	active	96	KG00101679	Unattended death NOS	0.034762222319841385
trial_1	active	488	KG00098167	Bronchospasm NOS	0.03427468612790108
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
