trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.4920913279056549
trial_1	active	68	KG00099901	nauseas	0.24259456992149353
trial_1	active	49	KG00099902	nausea with vomiting	0.21614593267440796
trial_1	active	9	KG00098432	Confusion NOS	0.19723761081695557
trial_1	active	20	KG00098540	dehydration	0.1898442953824997
trial_1	active	77	KG00098450	Constipation NOS	0.17765426635742188
trial_1	active	151	KG00098274	Infarction, Cerebral	0.15313732624053955
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.15311160683631897
trial_1	active	114	KG00098933	fevers	0.1512109488248825
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.1359303742647171
trial_1	active	78	KG00099326	Hypertensive diseases	0.12691013514995575
trial_1	active	180	KG00099363	Hypotension NOS	0.12554769217967987
trial_1	active	37	KG00097696	Cramps, Abdominal	0.12542381882667542
trial_1	active	123	KG00099351	hypokalaemia	0.12530918419361115
trial_1	active	30	KG00099500	Acute Kidney Failure	0.12411994487047195
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.11802636831998825
trial_1	active	228	KG00114657	Weight below normal	0.11111044883728027
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.11055994033813477
trial_1	active	2	KG00100772	thrombocytopaenia	0.10996225476264954
trial_1	active	211	KG00100341	Pruritus NOS	0.10777105391025543
trial_1	active	147	KG00098000	atelectases	0.10567738115787506
trial_1	active	17	KG00097991	Asthenia NOS	0.10496346652507782
trial_1	active	130	KG00100683	Stomatitis NOS	0.09928465634584427
trial_1	active	101	KG00097901	Anorexia NOS	0.09905014932155609
trial_1	active	276	KG00099127	Arrest, Cardiac	0.09760382026433945
trial_1	active	177	KG00099299	hyperglycaemia	0.09711999446153641
trial_1	active	79	KG00100317	Insomnia, Primary	0.09209612011909485
trial_1	active	221	KG00101207	peripheral oedema	0.08839626610279083
trial_1	active	269	KG00100399	pyaemia	0.08772247284650803
trial_1	active	441	KG00098262	cellulitis nos	0.08596473932266235
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.08216362446546555
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.07979080080986023
trial_1	active	102	KG00097916	anxieties	0.07934847474098206
trial_1	active	29	KG00099354	hyponatraemia	0.07923131436109543
trial_1	active	14	KG00097852	Anemia NOS	0.07649391889572144
trial_1	active	86	KG00098565	Depression, Mental	0.07608111202716827
trial_1	active	398	KG00100580	Shock, Septic	0.07354922592639923
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.07305806875228882
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.07145761698484421
trial_1	active	144	KG00099610	Leukopenia NOS	0.07038412988185883
trial_1	active	4	KG00098817	epistaxis	0.0692024677991867
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.06863293051719666
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.06278946250677109
trial_1	active	35	KG00101507	hypomagnesaemia	0.06267472356557846
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.06253519654273987
trial_1	active	27	KG00099303	hyperkalaemia	0.06237288564443588
trial_1	active	257	KG00100922	Erythema NOS	0.06212134659290314
trial_1	active	713	KG00107657	distressed respiratory	0.061580825597047806
trial_1	active	31	KG00099872	Infarction, Myocardial	0.05994226410984993
trial_1	active	200	KG00098539	Disorders, Deglutition	0.05889838561415672
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.057163305580616
trial_1	active	179	KG00099342	hypocalcaemia	0.055353011935949326
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.05500645190477371
trial_1	active	46	KG00099121	Headache NOS	0.054846957325935364
trial_1	active	11	KG00097993	Asthma NOS	0.054635580629110336
trial_1	active	142	KG00100923	Unspecified infectious and parasitic diseases	0.054305240511894226
trial_1	active	21	KG00098675	dyspnoea	0.054198008030653
trial_1	active	282	KG00099309	hypernatraemia	0.05410441756248474
trial_1	active	69	KG00100082	Palpitations NOS	0.053767476230859756
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.053733788430690765
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.053370218724012375
trial_1	active	1	KG00099959	Neutropenia NOS	0.05168304592370987
trial_1	active	503	KG00102612	low haemoglobin	0.05145842209458351
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.05078142508864403
trial_1	active	126	KG00100076	Pain NOS	0.0505950003862381
trial_1	active	186	KG00101431	creatinine increased	0.049984101206064224
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.049203984439373016
trial_1	active	5	KG00099169	haematuria	0.047975871711969376
trial_1	active	202	KG00098630	Disturbance of Skin Sensation	0.047443293035030365
trial_1	active	18	KG00098307	Pain, Chest	0.04728320240974426
