trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	151	KG00098274	Infarction, Cerebral	0.10259174555540085
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.09936109185218811
trial_1	active	87	KG00098599	diarrhoea	0.09861519932746887
trial_1	active	9	KG00098432	Confusion NOS	0.0847875252366066
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.08370810002088547
trial_1	active	78	KG00099326	Hypertensive diseases	0.0832437127828598
trial_1	active	30	KG00099500	Acute Kidney Failure	0.08323539793491364
trial_1	active	180	KG00099363	Hypotension NOS	0.06903765350580215
trial_1	active	221	KG00101207	peripheral oedema	0.06088023632764816
trial_1	active	269	KG00100399	pyaemia	0.05890344828367233
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.05545176938176155
trial_1	active	147	KG00098000	atelectases	0.05329351872205734
trial_1	active	77	KG00098450	Constipation NOS	0.05324680358171463
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.051835279911756516
trial_1	active	102	KG00097916	anxieties	0.050174158066511154
trial_1	active	20	KG00098540	dehydration	0.050023335963487625
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.047967854887247086
trial_1	active	276	KG00099127	Arrest, Cardiac	0.04567531868815422
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.04494637995958328
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.04489095136523247
trial_1	active	441	KG00098262	cellulitis nos	0.0440693236887455
trial_1	active	211	KG00100341	Pruritus NOS	0.043781183660030365
trial_1	active	49	KG00099902	nausea with vomiting	0.04297638311982155
trial_1	active	11	KG00097993	Asthma NOS	0.039305493235588074
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.038061339408159256
trial_1	active	114	KG00098933	fevers	0.03666200488805771
trial_1	active	79	KG00100317	Insomnia, Primary	0.03634307533502579
trial_1	active	713	KG00107657	distressed respiratory	0.03604662045836449
trial_1	active	123	KG00099351	hypokalaemia	0.035260867327451706
trial_1	active	66	KG00098642	drowsiness	0.03494648635387421
trial_1	active	21	KG00098675	dyspnoea	0.03461010009050369
trial_1	active	177	KG00099299	hyperglycaemia	0.03393295779824257
trial_1	active	68	KG00099901	nauseas	0.03329531475901604
trial_1	active	86	KG00098565	Depression, Mental	0.03300965949892998
trial_1	active	130	KG00100683	Stomatitis NOS	0.032349489629268646
trial_1	active	14	KG00097852	Anemia NOS	0.031988468021154404
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.03185509145259857
trial_1	active	31	KG00099872	Infarction, Myocardial	0.031335871666669846
trial_1	active	29	KG00099354	hyponatraemia	0.03080523945391178
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.03003542870283127
trial_1	active	37	KG00097696	Cramps, Abdominal	0.029742013663053513
trial_1	active	466	KG00101205	fall	0.029552482068538666
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.02921694703400135
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.028846751898527145
trial_1	active	69	KG00100082	Palpitations NOS	0.02879215218126774
trial_1	active	17	KG00097991	Asthenia NOS	0.028214357793331146
trial_1	active	27	KG00099303	hyperkalaemia	0.028141090646386147
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.027731645852327347
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.027478601783514023
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.02737739123404026
trial_1	active	228	KG00114657	Weight below normal	0.026989523321390152
trial_1	active	271	KG00103813	reflex bradycardia	0.026448562741279602
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.026150263845920563
trial_1	active	237	KG00099189	haemoptysis	0.02593335695564747
trial_1	active	5	KG00099169	haematuria	0.025854362174868584
trial_1	active	398	KG00100580	Shock, Septic	0.024123158305883408
trial_1	active	28	KG00099347	hypoglycaemia	0.023713424801826477
trial_1	active	46	KG00099121	Headache NOS	0.023692311719059944
trial_1	active	35	KG00101507	hypomagnesaemia	0.02310129627585411
trial_1	active	4	KG00098817	epistaxis	0.022677473723888397
trial_1	active	661	KG00101056	Laceration(s)	0.022544963285326958
trial_1	active	96	KG00101679	Unattended death NOS	0.022468896582722664
trial_1	active	15	KG00097882	Angina pectoris NOS	0.022365272045135498
trial_1	active	126	KG00100076	Pain NOS	0.0217164047062397
trial_1	active	234	KG00098669	dysgeusias	0.021386951208114624
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.021261904388666153
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.021233370527625084
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.02090432494878769
trial_1	active	380	KG00099133	Heart failures	0.02062632516026497
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.020363958552479744
trial_1	active	25	KG00099134	congestive failures heart	0.0203571580350399
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.02032688818871975
trial_1	active	94	KG00103829	abdominal discomfort	0.020210443064570427
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.020138228312134743
trial_1	active	186	KG00101431	creatinine increased	0.020102011039853096
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.019943084567785263
trial_1	active	286	KG00101110	Retention, Urinary	0.019776463508605957
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.019767994061112404
trial_1	active	488	KG00098167	Bronchospasm NOS	0.019666684791445732
trial_1	active	118	KG00099011	Gastritis NOS	0.019581999629735947
