trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	30	KG00099500	Acute Kidney Failure	0.14592702686786652
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.14335750043392181
trial_1	active	151	KG00098274	Infarction, Cerebral	0.13983754813671112
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.13842883706092834
trial_1	active	180	KG00099363	Hypotension NOS	0.13660146296024323
trial_1	active	87	KG00098599	diarrhoea	0.11617731302976608
trial_1	active	269	KG00100399	pyaemia	0.09628055989742279
trial_1	active	276	KG00099127	Arrest, Cardiac	0.09306617826223373
trial_1	active	9	KG00098432	Confusion NOS	0.09303277730941772
trial_1	active	221	KG00101207	peripheral oedema	0.0911741629242897
trial_1	active	78	KG00099326	Hypertensive diseases	0.08845020830631256
trial_1	active	20	KG00098540	dehydration	0.08739184588193893
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.08737901598215103
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.08563362061977386
trial_1	active	11	KG00097993	Asthma NOS	0.08494322746992111
trial_1	active	114	KG00098933	fevers	0.0759122371673584
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.07511710375547409
trial_1	active	49	KG00099902	nausea with vomiting	0.07117835432291031
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.06993193179368973
trial_1	active	211	KG00100341	Pruritus NOS	0.06966093927621841
trial_1	active	123	KG00099351	hypokalaemia	0.06803227216005325
trial_1	active	147	KG00098000	atelectases	0.06715112179517746
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.06646174937486649
trial_1	active	441	KG00098262	cellulitis nos	0.0649772584438324
trial_1	active	102	KG00097916	anxieties	0.06323519349098206
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.06161024793982506
trial_1	active	713	KG00107657	distressed respiratory	0.05991057679057121
trial_1	active	21	KG00098675	dyspnoea	0.059062447398900986
trial_1	active	77	KG00098450	Constipation NOS	0.057988543063402176
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.056174300611019135
trial_1	active	31	KG00099872	Infarction, Myocardial	0.05461002141237259
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.05435784161090851
trial_1	active	14	KG00097852	Anemia NOS	0.05080267786979675
trial_1	active	96	KG00101679	Unattended death NOS	0.05078832060098648
trial_1	active	466	KG00101205	fall	0.04778466746211052
trial_1	active	86	KG00098565	Depression, Mental	0.046950601041316986
trial_1	active	177	KG00099299	hyperglycaemia	0.04693310707807541
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.04687026888132095
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.04616430401802063
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.04597200080752373
trial_1	active	271	KG00103813	reflex bradycardia	0.04564604163169861
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.0444512665271759
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.04440411925315857
trial_1	active	79	KG00100317	Insomnia, Primary	0.044183745980262756
trial_1	active	85	KG00098474	coughs	0.04265141487121582
trial_1	active	27	KG00099303	hyperkalaemia	0.042650189250707626
trial_1	active	398	KG00100580	Shock, Septic	0.042490821331739426
trial_1	active	29	KG00099354	hyponatraemia	0.04242256283760071
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.04200126230716705
trial_1	active	380	KG00099133	Heart failures	0.04122626781463623
trial_1	active	37	KG00097696	Cramps, Abdominal	0.04073936492204666
trial_1	active	68	KG00099901	nauseas	0.04042384773492813
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.03958543390035629
trial_1	active	15	KG00097882	Angina pectoris NOS	0.03935432806611061
trial_1	active	661	KG00101056	Laceration(s)	0.038622625172138214
trial_1	active	25	KG00099134	congestive failures heart	0.03798302263021469
trial_1	active	17	KG00097991	Asthenia NOS	0.03751181438565254
trial_1	active	69	KG00100082	Palpitations NOS	0.03601040691137314
trial_1	active	237	KG00099189	haemoptysis	0.03416453301906586
trial_1	active	66	KG00098642	drowsiness	0.03321506828069687
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.03316957503557205
trial_1	active	126	KG00100076	Pain NOS	0.0328349731862545
trial_1	active	46	KG00099121	Headache NOS	0.0326223224401474
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.031563930213451385
trial_1	active	488	KG00098167	Bronchospasm NOS	0.031067419797182083
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.03067714162170887
trial_1	active	18	KG00098307	Pain, Chest	0.030640149489045143
trial_1	active	373	KG00098613	Digitalis Toxicity	0.029569007456302643
trial_1	active	4	KG00098817	epistaxis	0.029393989592790604
trial_1	active	5	KG00099169	haematuria	0.029208596795797348
trial_1	active	118	KG00099011	Gastritis NOS	0.028831854462623596
trial_1	active	327	KG00098362	Chronic Bronchitis	0.028653858229517937
trial_1	active	186	KG00101431	creatinine increased	0.028466638177633286
trial_1	active	456	KG00099420	Influenzae	0.02823353186249733
trial_1	active	425	KG00098146	Chronic Brain Damage	0.028134213760495186
trial_1	active	286	KG00101110	Retention, Urinary	0.02812136523425579
trial_1	active	104	KG00097963	arthralgias	0.027700018137693405
trial_1	active	28	KG00099347	hypoglycaemia	0.02741440199315548
trial_1	active	366	KG00098275	Attack, Transient Ischemic	0.027372045442461967
trial_1	active	376	KG00098803	epilepsies	0.027195092290639877
trial_1	active	821	KG00100667	Infections, Staphylococcal	0.027142317965626717
trial_1	active	130	KG00100683	Stomatitis NOS	0.026885276660323143
trial_1	active	402	KG00101291	Lower respiratory tract infections	0.026369864121079445
trial_1	active	517	KG00097965	Gouty Arthritis	0.025918377563357353
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.02590436302125454
trial_1	active	364	KG00098196	Calculus of gallbladder without mention of cholecystitis	0.025612616911530495
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.025515329092741013
trial_1	active	200	KG00098539	Disorders, Deglutition	0.025232408195734024
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.02513304352760315
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.024212520569562912
trial_1	active	35	KG00101507	hypomagnesaemia	0.024041282013058662
trial_1	active	164	KG00108827	ileus colon	0.02395937405526638
trial_1	active	310	KG00097940	Appendicitis NOS	0.023866958916187286
trial_1	active	236	KG00099158	haematemesis	0.02360927313566208
trial_1	active	404	KG00101768	Staphylococcal bacteraemia	0.023550236597657204
trial_1	active	379	KG00099120	Trauma, Craniocerebral	0.023329036310315132
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.023297203704714775
trial_1	active	400	KG00100925	Upper gastrointestinal haemorrhage	0.023277154192328453
trial_1	active	142	KG00100923	Unspecified infectious and parasitic diseases	0.02325228601694107
trial_1	active	717	KG00112760	General physical health deterioration	0.022855034098029137
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
trial_2	control	11	KG00097993	Asthma NOS	0.12974649667739868
trial_2	control	494	KG00099838	Organ Failure, Multiple	0.1287405639886856
trial_2	control	396	KG00100373	Embolism, Pulmonary	0.12624897062778473
trial_2	control	29	KG00099354	hyponatraemia	0.12441596388816833
