trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.6124725937843323
trial_1	active	9	KG00098432	Confusion NOS	0.5921739935874939
trial_1	active	77	KG00098450	Constipation NOS	0.5868105888366699
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.5294769406318665
trial_1	active	114	KG00098933	fevers	0.5230244398117065
trial_1	active	30	KG00099500	Acute Kidney Failure	0.509905993938446
trial_1	active	20	KG00098540	dehydration	0.45619189739227295
trial_1	active	211	KG00100341	Pruritus NOS	0.4526963233947754
trial_1	active	221	KG00101207	peripheral oedema	0.4519234299659729
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.4475193917751312
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.43001028895378113
trial_1	active	37	KG00097696	Cramps, Abdominal	0.42370250821113586
trial_1	active	21	KG00098675	dyspnoea	0.42267221212387085
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.41966843605041504
trial_1	active	78	KG00099326	Hypertensive diseases	0.40313729643821716
trial_1	active	102	KG00097916	anxieties	0.4005682170391083
trial_1	active	49	KG00099902	nausea with vomiting	0.3896586000919342
trial_1	active	180	KG00099363	Hypotension NOS	0.37895798683166504
trial_1	active	11	KG00097993	Asthma NOS	0.3773500323295593
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.37404951453208923
trial_1	active	17	KG00097991	Asthenia NOS	0.3504687249660492
trial_1	active	86	KG00098565	Depression, Mental	0.3419806659221649
trial_1	active	14	KG00097852	Anemia NOS	0.33715739846229553
trial_1	active	123	KG00099351	hypokalaemia	0.33627793192863464
trial_1	active	177	KG00099299	hyperglycaemia	0.33465272188186646
trial_1	active	68	KG00099901	nauseas	0.33209720253944397
trial_1	active	151	KG00098274	Infarction, Cerebral	0.32210132479667664
trial_1	active	441	KG00098262	cellulitis nos	0.3211047947406769
trial_1	active	2	KG00100772	thrombocytopaenia	0.31068527698516846
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.3106086254119873
trial_1	active	85	KG00098474	coughs	0.30649542808532715
trial_1	active	79	KG00100317	Insomnia, Primary	0.30355361104011536
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.2990211844444275
