trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.368371844291687
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.2979383170604706
trial_1	active	9	KG00098432	Confusion NOS	0.2851104736328125
trial_1	active	151	KG00098274	Infarction, Cerebral	0.2841261327266693
trial_1	active	114	KG00098933	fevers	0.2489870935678482
trial_1	active	30	KG00099500	Acute Kidney Failure	0.24068693816661835
trial_1	active	49	KG00099902	nausea with vomiting	0.24057845771312714
trial_1	active	78	KG00099326	Hypertensive diseases	0.2359984964132309
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.22642168402671814
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.20801344513893127
trial_1	active	102	KG00097916	anxieties	0.2058941274881363
trial_1	active	441	KG00098262	cellulitis nos	0.18737226724624634
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.18413342535495758
trial_1	active	68	KG00099901	nauseas	0.18339797854423523
trial_1	active	269	KG00100399	pyaemia	0.1777462363243103
trial_1	active	180	KG00099363	Hypotension NOS	0.17346243560314178
trial_1	active	211	KG00100341	Pruritus NOS	0.17298626899719238
trial_1	active	221	KG00101207	peripheral oedema	0.17076219618320465
trial_1	active	11	KG00097993	Asthma NOS	0.1703340709209442
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.15577289462089539
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.15275533497333527
trial_1	active	77	KG00098450	Constipation NOS	0.15250757336616516
trial_1	active	20	KG00098540	dehydration	0.15229299664497375
trial_1	active	37	KG00097696	Cramps, Abdominal	0.1508301943540573
trial_1	active	21	KG00098675	dyspnoea	0.15052728354930878
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.14614135026931763
trial_1	active	86	KG00098565	Depression, Mental	0.1451219618320465
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.14267407357692719
trial_1	active	79	KG00100317	Insomnia, Primary	0.13862963020801544
trial_1	active	228	KG00114657	Weight below normal	0.1371891051530838
trial_1	active	466	KG00101205	fall	0.13271008431911469
trial_1	active	29	KG00099354	hyponatraemia	0.13124804198741913
trial_1	active	85	KG00098474	coughs	0.12848371267318726
trial_1	active	123	KG00099351	hypokalaemia	0.12649688124656677
trial_1	active	14	KG00097852	Anemia NOS	0.12269927561283112
trial_1	active	147	KG00098000	atelectases	0.1114082932472229
trial_1	active	661	KG00101056	Laceration(s)	0.11096522957086563
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.11083629727363586
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.10687356442213058
trial_1	active	276	KG00099127	Arrest, Cardiac	0.10644856095314026
trial_1	active	17	KG00097991	Asthenia NOS	0.10019847750663757
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.09997154772281647
trial_1	active	104	KG00097963	arthralgias	0.09991984069347382
trial_1	active	69	KG00100082	Palpitations NOS	0.09860345721244812
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.09665966778993607
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.09617137163877487
trial_1	active	46	KG00099121	Headache NOS	0.09604958444833755
trial_1	active	98	KG00097718	Incised wound, NOS	0.09508286416530609
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.09479346871376038
trial_1	active	15	KG00097882	Angina pectoris NOS	0.09406431019306183
trial_1	active	101	KG00097901	Anorexia NOS	0.09321519732475281
trial_1	active	2	KG00100772	thrombocytopaenia	0.09097955375909805
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.08983548730611801
trial_1	active	130	KG00100683	Stomatitis NOS	0.08866795897483826
trial_1	active	18	KG00098307	Pain, Chest	0.08841634541749954
trial_1	active	191	KG00104055	Biliverdin increased	0.08767043799161911
trial_1	active	4	KG00098817	epistaxis	0.08408534526824951
trial_1	active	271	KG00103813	reflex bradycardia	0.08277123421430588
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.0824679583311081
trial_1	active	713	KG00107657	distressed respiratory	0.08239130675792694
trial_1	active	126	KG00100076	Pain NOS	0.07839647680521011
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.07763712108135223
trial_1	active	27	KG00099303	hyperkalaemia	0.07610896974802017
trial_1	active	116	KG00098964	Pain in foot	0.07523785531520844
trial_1	active	5	KG00099169	haematuria	0.07474382221698761
trial_1	active	200	KG00098539	Disorders, Deglutition	0.07364153861999512
trial_1	active	31	KG00099872	Infarction, Myocardial	0.07349563390016556
trial_1	active	239	KG00100128	pareses	0.07092617452144623
trial_1	active	186	KG00101431	creatinine increased	0.06934481859207153
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.06753990799188614
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.06664074957370758
trial_1	active	456	KG00099420	Influenzae	0.0660109594464302
trial_1	active	94	KG00103829	abdominal discomfort	0.06567641347646713
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.06493432819843292
trial_1	active	139	KG00098855	Sinusitis, Ethmoid	0.06439150869846344
trial_1	active	118	KG00099011	Gastritis NOS	0.06429222226142883
trial_1	active	177	KG00099299	hyperglycaemia	0.06395711749792099
trial_1	active	503	KG00102612	low haemoglobin	0.06373455375432968
trial_1	active	488	KG00098167	Bronchospasm NOS	0.06320241093635559
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.06319381296634674
trial_1	active	35	KG00101507	hypomagnesaemia	0.06306149810552597
trial_1	active	96	KG00101679	Unattended death NOS	0.06298313289880753
trial_1	active	237	KG00099189	haemoptysis	0.061736200004816055
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.06156449019908905
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.060180895030498505
trial_1	active	478	KG00103778	antalgic gait	0.05749348923563957
trial_1	active	204	KG00098849	Esophagitis, Peptic	0.05653271824121475
trial_1	active	282	KG00099309	hypernatraemia	0.05633648484945297
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.05630124360322952
trial_1	active	66	KG00098642	drowsiness	0.05488117039203644
trial_1	active	379	KG00099120	Trauma, Craniocerebral	0.05458801984786987
trial_1	active	208	KG00099896	Nasal congestion (finding)	0.05456073209643364
trial_1	active	364	KG00098196	Calculus of gallbladder without mention of cholecystitis	0.053995467722415924
trial_1	active	373	KG00098613	Digitalis Toxicity	0.05331701785326004
trial_1	active	395	KG00100340	Prurigo NOS	0.05320434272289276
trial_1	active	398	KG00100580	Shock, Septic	0.053157780319452286
trial_1	active	618	KG00099164	haematoma	0.05306685343384743
trial_1	active	366	KG00098275	Attack, Transient Ischemic	0.05296932905912399
trial_1	active	202	KG00098630	Disturbance of Skin Sensation	0.0519210621714592
trial_1	active	144	KG00099610	Leukopenia NOS	0.051150109618902206
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
