trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.35255488753318787
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.215348020195961
trial_1	active	9	KG00098432	Confusion NOS	0.2037438005208969
trial_1	active	78	KG00099326	Hypertensive diseases	0.19614551961421967
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.1945803165435791
trial_1	active	77	KG00098450	Constipation NOS	0.19355864822864532
trial_1	active	49	KG00099902	nausea with vomiting	0.19045144319534302
trial_1	active	68	KG00099901	nauseas	0.1767897605895996
trial_1	active	114	KG00098933	fevers	0.17305457592010498
trial_1	active	30	KG00099500	Acute Kidney Failure	0.16508746147155762
trial_1	active	211	KG00100341	Pruritus NOS	0.1604948490858078
trial_1	active	151	KG00098274	Infarction, Cerebral	0.15906724333763123
trial_1	active	102	KG00097916	anxieties	0.15457354485988617
trial_1	active	221	KG00101207	peripheral oedema	0.14904500544071198
trial_1	active	37	KG00097696	Cramps, Abdominal	0.14476175606250763
trial_1	active	276	KG00099127	Arrest, Cardiac	0.14108508825302124
trial_1	active	20	KG00098540	dehydration	0.14103378355503082
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.13994573056697845
trial_1	active	180	KG00099363	Hypotension NOS	0.13671869039535522
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.13588200509548187
trial_1	active	79	KG00100317	Insomnia, Primary	0.13031913340091705
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.12669236958026886
trial_1	active	269	KG00100399	pyaemia	0.12571652233600616
trial_1	active	2	KG00100772	thrombocytopaenia	0.12204204499721527
trial_1	active	11	KG00097993	Asthma NOS	0.12091031670570374
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.11782395839691162
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.11710526794195175
trial_1	active	21	KG00098675	dyspnoea	0.11644533276557922
trial_1	active	147	KG00098000	atelectases	0.1162135973572731
trial_1	active	130	KG00100683	Stomatitis NOS	0.11604946851730347
trial_1	active	228	KG00114657	Weight below normal	0.11444184184074402
trial_1	active	14	KG00097852	Anemia NOS	0.11363116651773453
trial_1	active	123	KG00099351	hypokalaemia	0.11248619109392166
trial_1	active	69	KG00100082	Palpitations NOS	0.10789977014064789
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.10574513673782349
trial_1	active	86	KG00098565	Depression, Mental	0.1025395393371582
trial_1	active	441	KG00098262	cellulitis nos	0.09788459539413452
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.09340161085128784
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.09165684878826141
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.09050095826387405
trial_1	active	101	KG00097901	Anorexia NOS	0.08927065879106522
trial_1	active	5	KG00099169	haematuria	0.08777497708797455
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.08700907975435257
trial_1	active	186	KG00101431	creatinine increased	0.08497592806816101
trial_1	active	85	KG00098474	coughs	0.08489362895488739
trial_1	active	177	KG00099299	hyperglycaemia	0.08191531896591187
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.08073095977306366
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.0806204080581665
trial_1	active	27	KG00099303	hyperkalaemia	0.08055140823125839
trial_1	active	29	KG00099354	hyponatraemia	0.07795986533164978
trial_1	active	17	KG00097991	Asthenia NOS	0.07743338495492935
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.07700251042842865
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.07390525937080383
trial_1	active	237	KG00099189	haemoptysis	0.07253089547157288
trial_1	active	4	KG00098817	epistaxis	0.07202473282814026
trial_1	active	126	KG00100076	Pain NOS	0.07135956734418869
trial_1	active	35	KG00101507	hypomagnesaemia	0.07009539753198624
trial_1	active	191	KG00104055	Biliverdin increased	0.06789962202310562
trial_1	active	713	KG00107657	distressed respiratory	0.0677756741642952
trial_1	active	46	KG00099121	Headache NOS	0.0677051693201065
trial_1	active	398	KG00100580	Shock, Septic	0.06760135293006897
trial_1	active	466	KG00101205	fall	0.06700427830219269
trial_1	active	31	KG00099872	Infarction, Myocardial	0.06681130081415176
trial_1	active	202	KG00098630	Disturbance of Skin Sensation	0.06533665955066681
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.06486565619707108
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.0642596185207367
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.06185268610715866
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.06163798272609711
trial_1	active	271	KG00103813	reflex bradycardia	0.061081066727638245
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.061070315539836884
trial_1	active	661	KG00101056	Laceration(s)	0.06076545640826225
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.059459883719682693
trial_1	active	94	KG00103829	abdominal discomfort	0.05922965705394745
trial_1	active	488	KG00098167	Bronchospasm NOS	0.05763549357652664
trial_1	active	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.0575464628636837
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.055602848529815674
trial_1	active	144	KG00099610	Leukopenia NOS	0.055369794368743896
trial_1	active	257	KG00100922	Erythema NOS	0.05504962429404259
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.054650358855724335
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.05419301986694336
trial_1	active	239	KG00100128	pareses	0.0541360042989254
trial_1	active	104	KG00097963	arthralgias	0.05318712443113327
trial_1	active	282	KG00099309	hypernatraemia	0.05300948768854141
trial_1	active	18	KG00098307	Pain, Chest	0.05268768221139908
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.052407585084438324
trial_1	active	522	KG00100078	Postoperative Pain	0.05163326486945152
trial_1	active	15	KG00097882	Angina pectoris NOS	0.05093279853463173
trial_1	active	200	KG00098539	Disorders, Deglutition	0.050842322409152985
trial_1	active	98	KG00097718	Incised wound, NOS	0.05062419921159744
trial_1	active	481	KG00104585	Pulmonary congestion, NOS	0.05056700482964516
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.050357408821582794
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.04986753314733505
trial_1	active	208	KG00099896	Nasal congestion (finding)	0.04984183982014656
trial_1	active	363	KG00098184	burns injury	0.04935060814023018
trial_1	active	234	KG00098669	dysgeusias	0.049184802919626236
trial_1	active	179	KG00099342	hypocalcaemia	0.048877447843551636
trial_1	active	212	KG00100576	shivers	0.04850027337670326
trial_1	active	25	KG00099134	congestive failures heart	0.04842330142855644
trial_1	active	118	KG00099011	Gastritis NOS	0.048293378204107285
trial_1	active	350	KG00106765	decreased platelet count	0.04792634770274162
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
trial_2	control	11	KG00097993	Asthma NOS	0.12974649667739868
trial_2	control	494	KG00099838	Organ Failure, Multiple	0.1287405639886856
trial_2	control	396	KG00100373	Embolism, Pulmonary	0.12624897062778473
trial_2	control	29	KG00099354	hyponatraemia	0.12441596388816833
trial_2	control	101	KG00097901	Anorexia NOS	0.1209268718957901
trial_2	control	79	KG00100317	Insomnia, Primary	0.12021980434656143
trial_2	control	17	KG00097991	Asthenia NOS	0.11931263655424118
trial_2	control	69	KG00100082	Palpitations NOS	0.11469438672065735
trial_2	control	131	KG00100948	Urinary tract infection (& [NOS])	0.11283913999795914
trial_2	control	102	KG00097916	anxieties	0.11273739486932755
trial_2	control	177	KG00099299	hyperglycaemia	0.1124439686536789
trial_2	control	2	KG00100772	thrombocytopaenia	0.11206149309873581
trial_2	control	228	KG00114657	Weight below normal	0.1106056272983551
trial_2	control	199	KG00098371	Rhinitis (chronic) NOS	0.10840196162462234
trial_2	control	130	KG00100683	Stomatitis NOS	0.10835694521665573
trial_2	control	361	KG00098004	Fibrillation, Atrial	0.10444892942905426
trial_2	control	398	KG00100580	Shock, Septic	0.10309060662984848
trial_2	control	441	KG00098262	cellulitis nos	0.10283619910478592
trial_2	control	713	KG00107657	distressed respiratory	0.10114724934101105
trial_2	control	189	KG00101580	Alanine aminotransferase increase	0.10092013329267502
trial_2	control	31	KG00099872	Infarction, Myocardial	0.10042756050825119
trial_2	control	394	KG00100243	Pneumonia, Aspiration	0.09717819094657898
trial_2	control	237	KG00099189	haemoptysis	0.09520714730024338
trial_2	control	104	KG00097963	arthralgias	0.09435881674289703
trial_2	control	86	KG00098565	Depression, Mental	0.09120907634496689
trial_2	control	27	KG00099303	hyperkalaemia	0.08952067047357559
trial_2	control	46	KG00099121	Headache NOS	0.08830124884843826
trial_2	control	268	KG00099557	Heart Failure, Left-Sided	0.08631296455860138
trial_2	control	85	KG00098474	coughs	0.08189909905195236
trial_2	control	35	KG00101507	hypomagnesaemia	0.07683338224887848
trial_2	control	4	KG00098817	epistaxis	0.07540818303823471
trial_2	control	75	KG00100195	Dolens, Phlegmasia Alba	0.07421282678842545
trial_2	control	92	KG00100926	Infections, Upper Respiratory	0.07100164145231247
trial_2	control	138	KG00098796	epidemic vomiting syndrome	0.07099621742963791
trial_2	control	186	KG00101431	creatinine increased	0.06816177070140839
trial_2	control	126	KG00100076	Pain NOS	0.06616328656673431
trial_2	control	883	KG00107760	Neonatal cardiorespiratory arrest	0.06484149396419525
trial_2	control	66	KG00098642	drowsiness	0.06450963020324707
