trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	9	KG00098432	Confusion NOS	0.2947099804878235
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.277792364358902
trial_1	active	30	KG00099500	Acute Kidney Failure	0.2660386562347412
trial_1	active	151	KG00098274	Infarction, Cerebral	0.26562756299972534
trial_1	active	87	KG00098599	diarrhoea	0.2549970746040344
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.25350478291511536
trial_1	active	77	KG00098450	Constipation NOS	0.20817656815052032
trial_1	active	78	KG00099326	Hypertensive diseases	0.20145003497600555
trial_1	active	20	KG00098540	dehydration	0.19782982766628265
trial_1	active	49	KG00099902	nausea with vomiting	0.17796581983566284
trial_1	active	102	KG00097916	anxieties	0.17682196199893951
trial_1	active	11	KG00097993	Asthma NOS	0.17472094297409058
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.1680152267217636
trial_1	active	221	KG00101207	peripheral oedema	0.1593487411737442
trial_1	active	180	KG00099363	Hypotension NOS	0.14986532926559448
trial_1	active	68	KG00099901	nauseas	0.14470669627189636
trial_1	active	86	KG00098565	Depression, Mental	0.14373737573623657
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.14108648896217346
trial_1	active	269	KG00100399	pyaemia	0.13724201917648315
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.13569886982440948
trial_1	active	114	KG00098933	fevers	0.13275355100631714
trial_1	active	79	KG00100317	Insomnia, Primary	0.13238386809825897
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.12963932752609253
trial_1	active	123	KG00099351	hypokalaemia	0.1274716854095459
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.12650707364082336
trial_1	active	466	KG00101205	fall	0.12525978684425354
trial_1	active	211	KG00100341	Pruritus NOS	0.11539206653833389
trial_1	active	147	KG00098000	atelectases	0.11515491455793381
trial_1	active	661	KG00101056	Laceration(s)	0.11423268914222717
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.1126975491642952
trial_1	active	21	KG00098675	dyspnoea	0.11240346729755402
trial_1	active	441	KG00098262	cellulitis nos	0.11122701317071915
trial_1	active	29	KG00099354	hyponatraemia	0.10986743122339249
trial_1	active	37	KG00097696	Cramps, Abdominal	0.1093216985464096
trial_1	active	228	KG00114657	Weight below normal	0.10684780031442642
trial_1	active	276	KG00099127	Arrest, Cardiac	0.10469594597816467
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.10331959277391434
trial_1	active	104	KG00097963	arthralgias	0.10132690519094467
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.09924741089344025
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.09862815588712692
trial_1	active	17	KG00097991	Asthenia NOS	0.09604696929454803
trial_1	active	177	KG00099299	hyperglycaemia	0.0946226492524147
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.09461575746536255
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.09034712612628937
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.08996401727199554
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.08884711563587189
trial_1	active	14	KG00097852	Anemia NOS	0.08770494163036346
trial_1	active	69	KG00100082	Palpitations NOS	0.08747076988220215
trial_1	active	31	KG00099872	Infarction, Myocardial	0.08734924346208572
trial_1	active	66	KG00098642	drowsiness	0.08544960618019104
trial_1	active	98	KG00097718	Incised wound, NOS	0.08539910614490509
trial_1	active	27	KG00099303	hyperkalaemia	0.08449812233448029
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.08277025818824768
trial_1	active	15	KG00097882	Angina pectoris NOS	0.08237482607364655
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.0816878080368042
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.07906202226877213
trial_1	active	239	KG00100128	pareses	0.07770121842622757
trial_1	active	271	KG00103813	reflex bradycardia	0.07605539262294769
trial_1	active	456	KG00099420	Influenzae	0.07584203779697418
trial_1	active	5	KG00099169	haematuria	0.07500182837247849
trial_1	active	713	KG00107657	distressed respiratory	0.07462017238140106
trial_1	active	101	KG00097901	Anorexia NOS	0.07411777228116989
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.07209503650665283
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.07189545035362244
trial_1	active	379	KG00099120	Trauma, Craniocerebral	0.06993385404348373
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.06915682554244995
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.06732317060232162
trial_1	active	85	KG00098474	coughs	0.06695430725812912
trial_1	active	118	KG00099011	Gastritis NOS	0.06641225516796112
trial_1	active	380	KG00099133	Heart failures	0.06530381739139557
trial_1	active	186	KG00101431	creatinine increased	0.06449029594659805
trial_1	active	364	KG00098196	Calculus of gallbladder without mention of cholecystitis	0.06408371776342392
