trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	86	KG00098565	Depression, Mental	0.3477325439453125
trial_1	active	151	KG00098274	Infarction, Cerebral	0.314273476600647
trial_1	active	132	KG00101045	Gain, Weight	0.29605633020401
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.2854742407798767
trial_1	active	66	KG00098642	drowsiness	0.26829153299331665
trial_1	active	11	KG00097993	Asthma NOS	0.23761403560638428
trial_1	active	78	KG00099326	Hypertensive diseases	0.2294018268585205
trial_1	active	9	KG00098432	Confusion NOS	0.22478163242340088
trial_1	active	102	KG00097916	anxieties	0.2242375910282135
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.22328023612499237
trial_1	active	79	KG00100317	Insomnia, Primary	0.21679843962192535
trial_1	active	30	KG00099500	Acute Kidney Failure	0.21675285696983337
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.1797957420349121
trial_1	active	466	KG00101205	fall	0.17162929475307465
trial_1	active	221	KG00101207	peripheral oedema	0.16483071446418762
trial_1	active	20	KG00098540	dehydration	0.1617441177368164
trial_1	active	242	KG00100855	tremors	0.16087760031223297
trial_1	active	77	KG00098450	Constipation NOS	0.1582907885313034
trial_1	active	182	KG00100366	Disorders, Psychotic	0.14778877794742584
trial_1	active	114	KG00098933	fevers	0.1473172903060913
trial_1	active	17	KG00097991	Asthenia NOS	0.1466982066631317
trial_1	active	783	KG00106735	Acathisia	0.14420892298221588
trial_1	active	49	KG00099902	nausea with vomiting	0.1418430209159851
trial_1	active	228	KG00114657	Weight below normal	0.1397562026977539
trial_1	active	180	KG00099363	Hypotension NOS	0.13675834238529205
trial_1	active	87	KG00098599	diarrhoea	0.1327749341726303
trial_1	active	29	KG00099354	hyponatraemia	0.13199067115783691
trial_1	active	177	KG00099299	hyperglycaemia	0.12654376029968262
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.12645323574543
trial_1	active	104	KG00097963	arthralgias	0.1259092092514038
trial_1	active	21	KG00098675	dyspnoea	0.12512362003326416
trial_1	active	85	KG00098474	coughs	0.12286242842674255
trial_1	active	225	KG00104032	Suicidal tendencies	0.11174288392066956
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.1100957840681076
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.10912531614303589
trial_1	active	456	KG00099420	Influenzae	0.09790173918008804
trial_1	active	269	KG00100399	pyaemia	0.09641540050506592
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.09630136936903
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.09555364400148392
trial_1	active	281	KG00098869	extrapyramidal; disorder	0.09555032849311829
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.09487365931272507
trial_1	active	7	KG00097787	Aggressive Behaviour	0.094488225877285
trial_1	active	310	KG00097940	Appendicitis NOS	0.09333870559930801
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.09229139238595963
trial_1	active	96	KG00101679	Unattended death NOS	0.0916721522808075
trial_1	active	211	KG00100341	Pruritus NOS	0.09071505069732666
trial_1	active	739	KG00100119	Paraphrenia, NOS	0.08882278203964233
trial_1	active	118	KG00099011	Gastritis NOS	0.08819063752889633
trial_1	active	661	KG00101056	Laceration(s)	0.08634737879037857
trial_1	active	933	KG00103917	Auditory Hallucinations	0.08423485606908798
trial_1	active	123	KG00099351	hypokalaemia	0.08138000220060349
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.08119900524616241
trial_1	active	63	KG00100707	suicide attempts	0.08082660287618637
trial_1	active	300	KG00101064	xerostomia	0.07910186797380447
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.07870251685380936
trial_1	active	262	KG00101199	agitation	0.0773521214723587
