trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	151	KG00098274	Infarction, Cerebral	0.0779775083065033
trial_1	active	180	KG00099363	Hypotension NOS	0.07540275901556015
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.07381059229373932
trial_1	active	30	KG00099500	Acute Kidney Failure	0.0643836036324501
trial_1	active	9	KG00098432	Confusion NOS	0.0643543004989624
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.06428654491901398
trial_1	active	77	KG00098450	Constipation NOS	0.05237509310245514
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.050797536969184875
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.04857669770717621
trial_1	active	147	KG00098000	atelectases	0.04693297669291496
trial_1	active	221	KG00101207	peripheral oedema	0.044486045837402344
trial_1	active	49	KG00099902	nausea with vomiting	0.044460494071245193
trial_1	active	87	KG00098599	diarrhoea	0.04030241444706917
trial_1	active	276	KG00099127	Arrest, Cardiac	0.03759308531880379
trial_1	active	269	KG00100399	pyaemia	0.03697026148438454
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.03669331595301628
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.03581524267792702
trial_1	active	20	KG00098540	dehydration	0.035522572696208954
trial_1	active	78	KG00099326	Hypertensive diseases	0.03534428030252457
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.03518623858690262
trial_1	active	114	KG00098933	fevers	0.03465718403458595
trial_1	active	211	KG00100341	Pruritus NOS	0.03407231718301773
trial_1	active	177	KG00099299	hyperglycaemia	0.03401454910635948
trial_1	active	11	KG00097993	Asthma NOS	0.03246983513236046
trial_1	active	31	KG00099872	Infarction, Myocardial	0.0322977714240551
trial_1	active	68	KG00099901	nauseas	0.032223619520664215
trial_1	active	102	KG00097916	anxieties	0.030832692980766296
trial_1	active	123	KG00099351	hypokalaemia	0.0302948709577322
trial_1	active	441	KG00098262	cellulitis nos	0.029866812750697136
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.029736531898379326
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.029189398512244225
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.029090169817209244
trial_1	active	271	KG00103813	reflex bradycardia	0.029046013951301575
trial_1	active	21	KG00098675	dyspnoea	0.028725620359182358
trial_1	active	96	KG00101679	Unattended death NOS	0.027792664244771004
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.02682778798043728
trial_1	active	79	KG00100317	Insomnia, Primary	0.02659526839852333
trial_1	active	713	KG00107657	distressed respiratory	0.026576250791549683
trial_1	active	14	KG00097852	Anemia NOS	0.026502368971705437
trial_1	active	15	KG00097882	Angina pectoris NOS	0.024648554623126984
trial_1	active	46	KG00099121	Headache NOS	0.02461743727326393
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.023878974840044975
trial_1	active	466	KG00101205	fall	0.021927444264292717
trial_1	active	69	KG00100082	Palpitations NOS	0.02134781889617443
trial_1	active	398	KG00100580	Shock, Septic	0.020931659266352654
trial_1	active	37	KG00097696	Cramps, Abdominal	0.020847396925091743
trial_1	active	380	KG00099133	Heart failures	0.020218679681420326
trial_1	active	104	KG00097963	arthralgias	0.020166974514722824
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.020126065239310265
trial_1	active	286	KG00101110	Retention, Urinary	0.01991872303187847
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.01984485238790512
trial_1	active	29	KG00099354	hyponatraemia	0.019590409472584724
trial_1	active	27	KG00099303	hyperkalaemia	0.019428903236985207
trial_1	active	5	KG00099169	haematuria	0.019045842811465263
trial_1	active	86	KG00098565	Depression, Mental	0.018936926499009132
trial_1	active	18	KG00098307	Pain, Chest	0.01881319284439087
trial_1	active	17	KG00097991	Asthenia NOS	0.01843935064971447
trial_1	active	126	KG00100076	Pain NOS	0.018432127311825752
trial_1	active	237	KG00099189	haemoptysis	0.018414221704006195
