trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.1684214472770691
trial_1	active	151	KG00098274	Infarction, Cerebral	0.15677697956562042
trial_1	active	30	KG00099500	Acute Kidney Failure	0.15271617472171783
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.1362459510564804
trial_1	active	9	KG00098432	Confusion NOS	0.11636314541101456
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.11274899542331696
trial_1	active	78	KG00099326	Hypertensive diseases	0.11251749843358994
trial_1	active	269	KG00100399	pyaemia	0.08641043305397034
trial_1	active	77	KG00098450	Constipation NOS	0.08572768419981003
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.08443870395421982
trial_1	active	114	KG00098933	fevers	0.0833931565284729
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.08236761391162872
trial_1	active	276	KG00099127	Arrest, Cardiac	0.076963409781456
trial_1	active	180	KG00099363	Hypotension NOS	0.07675505429506302
trial_1	active	20	KG00098540	dehydration	0.07437177747488022
trial_1	active	147	KG00098000	atelectases	0.07243311405181885
trial_1	active	102	KG00097916	anxieties	0.07206327468156815
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.07128245383501053
trial_1	active	49	KG00099902	nausea with vomiting	0.07057606428861618
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.07005281001329422
trial_1	active	11	KG00097993	Asthma NOS	0.0699433758854866
trial_1	active	14	KG00097852	Anemia NOS	0.06693310290575027
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.06690849363803864
trial_1	active	68	KG00099901	nauseas	0.06448139250278473
trial_1	active	441	KG00098262	cellulitis nos	0.0634419322013855
trial_1	active	86	KG00098565	Depression, Mental	0.0631316527724266
trial_1	active	221	KG00101207	peripheral oedema	0.06296537816524506
trial_1	active	37	KG00097696	Cramps, Abdominal	0.06284572929143906
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.0626862496137619
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.06127355247735977
trial_1	active	123	KG00099351	hypokalaemia	0.060718122869729996
trial_1	active	177	KG00099299	hyperglycaemia	0.05910118669271469
