trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	30	KG00099500	Acute Kidney Failure	0.17031428217887878
trial_1	active	151	KG00098274	Infarction, Cerebral	0.13534805178642273
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.13481834530830383
trial_1	active	9	KG00098432	Confusion NOS	0.12926651537418365
trial_1	active	87	KG00098599	diarrhoea	0.12222602963447571
trial_1	active	269	KG00100399	pyaemia	0.11003649979829788
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.09987087547779083
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.09754519909620285
trial_1	active	276	KG00099127	Arrest, Cardiac	0.0920117050409317
trial_1	active	78	KG00099326	Hypertensive diseases	0.08536605536937714
trial_1	active	180	KG00099363	Hypotension NOS	0.08440472930669785
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.08076921850442886
trial_1	active	147	KG00098000	atelectases	0.07595158368349075
trial_1	active	114	KG00098933	fevers	0.07364804297685623
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.06509142369031906
trial_1	active	14	KG00097852	Anemia NOS	0.062269143760204315
trial_1	active	11	KG00097993	Asthma NOS	0.05969315767288208
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.057912781834602356
trial_1	active	123	KG00099351	hypokalaemia	0.057452842593193054
trial_1	active	221	KG00101207	peripheral oedema	0.05567818880081177
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.055334288626909256
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.05499495193362236
trial_1	active	49	KG00099902	nausea with vomiting	0.054450247436761856
trial_1	active	211	KG00100341	Pruritus NOS	0.05292538180947304
trial_1	active	77	KG00098450	Constipation NOS	0.05081364884972572
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.050516195595264435
trial_1	active	441	KG00098262	cellulitis nos	0.050346266478300095
trial_1	active	31	KG00099872	Infarction, Myocardial	0.050062280148267746
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.049552302807569504
trial_1	active	398	KG00100580	Shock, Septic	0.04852721095085144
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.04804882034659386
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.04720909520983696
trial_1	active	37	KG00097696	Cramps, Abdominal	0.0469294898211956
trial_1	active	2	KG00100772	thrombocytopaenia	0.04691750556230545
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.04612239450216293
trial_1	active	29	KG00099354	hyponatraemia	0.045341331511735916
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.04527781903743744
trial_1	active	713	KG00107657	distressed respiratory	0.04471923038363457
trial_1	active	68	KG00099901	nauseas	0.04438323527574539
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.043089572340250015
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.04104175046086311
trial_1	active	237	KG00099189	haemoptysis	0.040571827441453934
trial_1	active	20	KG00098540	dehydration	0.0398741140961647
trial_1	active	130	KG00100683	Stomatitis NOS	0.03889372944831848
trial_1	active	15	KG00097882	Angina pectoris NOS	0.03756370022892952
trial_1	active	69	KG00100082	Palpitations NOS	0.036880649626255035
trial_1	active	21	KG00098675	dyspnoea	0.03657090291380882
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.03647707775235176
trial_1	active	177	KG00099299	hyperglycaemia	0.03558472916483879
trial_1	active	27	KG00099303	hyperkalaemia	0.03525926172733307
trial_1	active	102	KG00097916	anxieties	0.03498886525630951
trial_1	active	79	KG00100317	Insomnia, Primary	0.03473741561174393
trial_1	active	186	KG00101431	creatinine increased	0.034019846469163895
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.03217796981334686
trial_1	active	380	KG00099133	Heart failures	0.031518224626779556
trial_1	active	85	KG00098474	coughs	0.03061983920633793
trial_1	active	86	KG00098565	Depression, Mental	0.030572062358260155
trial_1	active	25	KG00099134	congestive failures heart	0.030507905408740044
trial_1	active	35	KG00101507	hypomagnesaemia	0.030346844345331192
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.03027062490582466
trial_1	active	488	KG00098167	Bronchospasm NOS	0.030268041417002678
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.029777778312563896
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.02910236082971096
trial_1	active	46	KG00099121	Headache NOS	0.027980202808976173
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.02758301980793476
trial_1	active	17	KG00097991	Asthenia NOS	0.027454892173409462
trial_1	active	96	KG00101679	Unattended death NOS	0.02730405330657959
trial_1	active	4	KG00098817	epistaxis	0.027104143053293228
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.02702828124165535
trial_1	active	228	KG00114657	Weight below normal	0.026944972574710846
trial_1	active	5	KG00099169	haematuria	0.026814494282007217
trial_1	active	661	KG00101056	Laceration(s)	0.02662809193134308
trial_1	active	327	KG00098362	Chronic Bronchitis	0.02651549130678177
trial_1	active	149	KG00100192	phlebitides	0.02638557367026806
trial_1	active	191	KG00104055	Biliverdin increased	0.025761732831597328
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.025696348398923874
trial_1	active	104	KG00097963	arthralgias	0.02414504624903202
trial_1	active	98	KG00097718	Incised wound, NOS	0.023716561496257782
trial_1	active	271	KG00103813	reflex bradycardia	0.022761132568120956
trial_1	active	618	KG00099164	haematoma	0.02231518179178238
trial_1	active	466	KG00101205	fall	0.02229641191661358
trial_1	active	28	KG00099347	hypoglycaemia	0.022243646904826164
trial_1	active	164	KG00108827	ileus colon	0.021857475861907005
trial_1	active	310	KG00097940	Appendicitis NOS	0.021784281358122826
trial_1	active	202	KG00098630	Disturbance of Skin Sensation	0.021402793005108833
trial_1	active	118	KG00099011	Gastritis NOS	0.021039891988039017
trial_1	active	18	KG00098307	Pain, Chest	0.02091941609978676
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.020594768226146698
trial_1	active	183	KG00100449	Adult Respiratory Distress Syndrome	0.02053535357117653
trial_1	active	503	KG00102612	low haemoglobin	0.02049521543085575
trial_1	active	94	KG00103829	abdominal discomfort	0.020126977935433388
trial_1	active	286	KG00101110	Retention, Urinary	0.02002597413957119
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.019916782155632973
trial_1	active	126	KG00100076	Pain NOS	0.01990903913974762
trial_1	active	723	KG00098573	Dermatitis, Contact	0.019667714834213257
trial_1	active	66	KG00098642	drowsiness	0.019555972889065742
trial_1	active	234	KG00098669	dysgeusias	0.019540706649422646
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.01936228573322296
trial_1	active	264	KG00098627	Coagulation, Intravascular Disseminated	0.019021159037947655
trial_1	active	400	KG00100925	Upper gastrointestinal haemorrhage	0.01899232156574726
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
