trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	9	KG00098432	Confusion NOS	0.36870262026786804
trial_1	active	87	KG00098599	diarrhoea	0.3368834853172302
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.3332197070121765
trial_1	active	30	KG00099500	Acute Kidney Failure	0.30098816752433777
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.2731844484806061
trial_1	active	151	KG00098274	Infarction, Cerebral	0.2727487087249756
trial_1	active	77	KG00098450	Constipation NOS	0.26712310314178467
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.25914111733436584
trial_1	active	20	KG00098540	dehydration	0.2557476758956909
trial_1	active	78	KG00099326	Hypertensive diseases	0.2542996108531952
trial_1	active	102	KG00097916	anxieties	0.25312140583992004
trial_1	active	49	KG00099902	nausea with vomiting	0.24304762482643127
trial_1	active	11	KG00097993	Asthma NOS	0.22701594233512878
trial_1	active	86	KG00098565	Depression, Mental	0.22673344612121582
trial_1	active	221	KG00101207	peripheral oedema	0.2147153615951538
trial_1	active	79	KG00100317	Insomnia, Primary	0.21003226935863495
trial_1	active	68	KG00099901	nauseas	0.20268666744232178
trial_1	active	180	KG00099363	Hypotension NOS	0.19254666566848755
trial_1	active	466	KG00101205	fall	0.19234244525432587
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.18387803435325623
trial_1	active	661	KG00101056	Laceration(s)	0.17989932000637054
trial_1	active	66	KG00098642	drowsiness	0.1764695942401886
trial_1	active	211	KG00100341	Pruritus NOS	0.1721453219652176
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.1683201640844345
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.16319461166858673
trial_1	active	17	KG00097991	Asthenia NOS	0.15371057391166687
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.15263675153255463
trial_1	active	104	KG00097963	arthralgias	0.15088778734207153
trial_1	active	114	KG00098933	fevers	0.14905059337615967
trial_1	active	123	KG00099351	hypokalaemia	0.14451110363006592
trial_1	active	228	KG00114657	Weight below normal	0.13603179156780243
trial_1	active	29	KG00099354	hyponatraemia	0.13309434056282043
trial_1	active	269	KG00100399	pyaemia	0.13285544514656067
trial_1	active	441	KG00098262	cellulitis nos	0.12689122557640076
trial_1	active	21	KG00098675	dyspnoea	0.12606512010097504
trial_1	active	456	KG00099420	Influenzae	0.12543465197086334
trial_1	active	177	KG00099299	hyperglycaemia	0.12458249926567078
trial_1	active	37	KG00097696	Cramps, Abdominal	0.12371844053268433
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.12307050824165344
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.11628525704145432
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.11585625261068344
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.11560681462287903
trial_1	active	14	KG00097852	Anemia NOS	0.11252724379301071
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.11132427304983139
trial_1	active	85	KG00098474	coughs	0.11006104201078415
trial_1	active	98	KG00097718	Incised wound, NOS	0.10952824354171753
trial_1	active	276	KG00099127	Arrest, Cardiac	0.10817600786685944
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.10716356337070465
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.1065898984670639
trial_1	active	69	KG00100082	Palpitations NOS	0.10621584206819534
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.10523904860019684
trial_1	active	147	KG00098000	atelectases	0.10467943549156189
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.10283154249191284
trial_1	active	5	KG00099169	haematuria	0.10165859758853912
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.10163281857967377
trial_1	active	239	KG00100128	pareses	0.10017978399991989
trial_1	active	225	KG00104032	Suicidal tendencies	0.09878865629434586
trial_1	active	118	KG00099011	Gastritis NOS	0.0972595140337944
trial_1	active	478	KG00103778	antalgic gait	0.09348361939191818
trial_1	active	116	KG00098964	Pain in foot	0.0926094725728035
trial_1	active	139	KG00098855	Sinusitis, Ethmoid	0.09197685122489929
trial_1	active	379	KG00099120	Trauma, Craniocerebral	0.09039794653654099
trial_1	active	271	KG00103813	reflex bradycardia	0.08990476280450821
trial_1	active	470	KG00098567	dermabrasions	0.08889154344797134
trial_1	active	27	KG00099303	hyperkalaemia	0.08826645463705063
trial_1	active	364	KG00098196	Calculus of gallbladder without mention of cholecystitis	0.08819207549095154
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.08795348554849625
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.08689004182815552
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.08532265573740005
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.08498964458703995
trial_1	active	286	KG00101110	Retention, Urinary	0.08431345969438553
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.08395694196224213
trial_1	active	31	KG00099872	Infarction, Myocardial	0.08369652926921844
trial_1	active	94	KG00103829	abdominal discomfort	0.0834059864282608
trial_1	active	204	KG00098849	Esophagitis, Peptic	0.08300165832042694
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.08231785893440247
trial_1	active	15	KG00097882	Angina pectoris NOS	0.08216727524995804
trial_1	active	186	KG00101431	creatinine increased	0.08121384680271149
trial_1	active	376	KG00098803	epilepsies	0.08061365783214569
trial_1	active	454	KG00098286	Pain, Neck	0.08020156621932983
trial_1	active	713	KG00107657	distressed respiratory	0.08018266409635544
trial_1	active	101	KG00097901	Anorexia NOS	0.07954969257116318
trial_1	active	300	KG00101064	xerostomia	0.07928101718425751
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.07742887735366821
trial_1	active	310	KG00097940	Appendicitis NOS	0.07507935911417007
trial_1	active	46	KG00099121	Headache NOS	0.07487326115369797
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.07474766671657562
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.07468399405479431
trial_1	active	332	KG00100821	toothaches	0.0732838362455368
trial_1	active	373	KG00098613	Digitalis Toxicity	0.0731012374162674
trial_1	active	126	KG00100076	Pain NOS	0.07134101539850235
trial_1	active	203	KG00098661	dysarthrias	0.07110957056283951
trial_1	active	297	KG00099294	hypercholesterolaemia	0.07081913203001022
trial_1	active	18	KG00098307	Pain, Chest	0.0701153352856636
trial_1	active	237	KG00099189	haemoptysis	0.06996583193540573
trial_1	active	200	KG00098539	Disorders, Deglutition	0.06975434720516205
trial_1	active	363	KG00098184	burns injury	0.06973235309123993
trial_1	active	25	KG00099134	congestive failures heart	0.06940193474292755
trial_1	active	28	KG00099347	hypoglycaemia	0.06924053281545639
trial_1	active	130	KG00100683	Stomatitis NOS	0.06894439458847046
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
trial_2	control	11	KG00097993	Asthma NOS	0.12974649667739868
trial_2	control	494	KG00099838	Organ Failure, Multiple	0.1287405639886856
trial_2	control	396	KG00100373	Embolism, Pulmonary	0.12624897062778473
trial_2	control	29	KG00099354	hyponatraemia	0.12441596388816833
trial_2	control	101	KG00097901	Anorexia NOS	0.1209268718957901
trial_2	control	79	KG00100317	Insomnia, Primary	0.12021980434656143
trial_2	control	17	KG00097991	Asthenia NOS	0.11931263655424118
trial_2	control	69	KG00100082	Palpitations NOS	0.11469438672065735
trial_2	control	131	KG00100948	Urinary tract infection (& [NOS])	0.11283913999795914
trial_2	control	102	KG00097916	anxieties	0.11273739486932755
trial_2	control	177	KG00099299	hyperglycaemia	0.1124439686536789
trial_2	control	2	KG00100772	thrombocytopaenia	0.11206149309873581
trial_2	control	228	KG00114657	Weight below normal	0.1106056272983551
trial_2	control	199	KG00098371	Rhinitis (chronic) NOS	0.10840196162462234
trial_2	control	130	KG00100683	Stomatitis NOS	0.10835694521665573
trial_2	control	361	KG00098004	Fibrillation, Atrial	0.10444892942905426
trial_2	control	398	KG00100580	Shock, Septic	0.10309060662984848
trial_2	control	441	KG00098262	cellulitis nos	0.10283619910478592
trial_2	control	713	KG00107657	distressed respiratory	0.10114724934101105
trial_2	control	189	KG00101580	Alanine aminotransferase increase	0.10092013329267502
trial_2	control	31	KG00099872	Infarction, Myocardial	0.10042756050825119
trial_2	control	394	KG00100243	Pneumonia, Aspiration	0.09717819094657898
trial_2	control	237	KG00099189	haemoptysis	0.09520714730024338
trial_2	control	104	KG00097963	arthralgias	0.09435881674289703
trial_2	control	86	KG00098565	Depression, Mental	0.09120907634496689
trial_2	control	27	KG00099303	hyperkalaemia	0.08952067047357559
trial_2	control	46	KG00099121	Headache NOS	0.08830124884843826
trial_2	control	268	KG00099557	Heart Failure, Left-Sided	0.08631296455860138
trial_2	control	85	KG00098474	coughs	0.08189909905195236
trial_2	control	35	KG00101507	hypomagnesaemia	0.07683338224887848
trial_2	control	4	KG00098817	epistaxis	0.07540818303823471
trial_2	control	75	KG00100195	Dolens, Phlegmasia Alba	0.07421282678842545
trial_2	control	92	KG00100926	Infections, Upper Respiratory	0.07100164145231247
trial_2	control	138	KG00098796	epidemic vomiting syndrome	0.07099621742963791
trial_2	control	186	KG00101431	creatinine increased	0.06816177070140839
trial_2	control	126	KG00100076	Pain NOS	0.06616328656673431
trial_2	control	883	KG00107760	Neonatal cardiorespiratory arrest	0.06484149396419525
trial_2	control	66	KG00098642	drowsiness	0.06450963020324707
trial_2	control	397	KG00100456	Infections, Respiratory Tract	0.06437727063894272
trial_2	control	25	KG00099134	congestive failures heart	0.06393520534038544
trial_2	control	15	KG00097882	Angina pectoris NOS	0.062460508197546005
trial_2	control	466	KG00101205	fall	0.061682987958192825
trial_2	control	28	KG00099347	hypoglycaemia	0.060341425240039825
trial_2	control	380	KG00099133	Heart failures	0.05889195576310158
trial_2	control	5	KG00099169	haematuria	0.05883767083287239
trial_2	control	191	KG00104055	Biliverdin increased	0.058225393295288086
trial_2	control	317	KG00098586	DIABETES MELLITUS NOS	0.05819370225071907
