trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.3234565854072571
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.29917648434638977
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.27367064356803894
trial_1	active	114	KG00098933	fevers	0.24167263507843018
trial_1	active	30	KG00099500	Acute Kidney Failure	0.23506076633930206
trial_1	active	9	KG00098432	Confusion NOS	0.21704033017158508
trial_1	active	221	KG00101207	peripheral oedema	0.21624301373958588
trial_1	active	14	KG00097852	Anemia NOS	0.2018527090549469
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.1979534775018692
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.1943449079990387
trial_1	active	211	KG00100341	Pruritus NOS	0.19346940517425537
trial_1	active	78	KG00099326	Hypertensive diseases	0.18843594193458557
trial_1	active	151	KG00098274	Infarction, Cerebral	0.17966097593307495
trial_1	active	269	KG00100399	pyaemia	0.1710939258337021
trial_1	active	11	KG00097993	Asthma NOS	0.16162998974323273
trial_1	active	177	KG00099299	hyperglycaemia	0.14962171018123627
trial_1	active	180	KG00099363	Hypotension NOS	0.148744136095047
trial_1	active	20	KG00098540	dehydration	0.14451758563518524
trial_1	active	130	KG00100683	Stomatitis NOS	0.1415117233991623
trial_1	active	37	KG00097696	Cramps, Abdominal	0.1410936862230301
trial_1	active	276	KG00099127	Arrest, Cardiac	0.13972461223602295
trial_1	active	147	KG00098000	atelectases	0.13729189336299896
trial_1	active	123	KG00099351	hypokalaemia	0.13676919043064117
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.1312820315361023
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.1302834004163742
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.12698693573474884
trial_1	active	49	KG00099902	nausea with vomiting	0.12559767067432404
trial_1	active	21	KG00098675	dyspnoea	0.1235533207654953
trial_1	active	2	KG00100772	thrombocytopaenia	0.1233961284160614
trial_1	active	77	KG00098450	Constipation NOS	0.12111729383468628
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.12103492021560669
trial_1	active	186	KG00101431	creatinine increased	0.1179719790816307
trial_1	active	85	KG00098474	coughs	0.11724930256605148
trial_1	active	86	KG00098565	Depression, Mental	0.11666786670684814
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.11648198962211609
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.1157921776175499
