trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	151	KG00098274	Infarction, Cerebral	0.13600097596645355
trial_1	active	9	KG00098432	Confusion NOS	0.12528055906295776
trial_1	active	87	KG00098599	diarrhoea	0.12313438951969147
trial_1	active	78	KG00099326	Hypertensive diseases	0.10799796134233475
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.09977018088102341
trial_1	active	211	KG00100341	Pruritus NOS	0.08899489790201187
trial_1	active	79	KG00100317	Insomnia, Primary	0.08600267022848129
trial_1	active	86	KG00098565	Depression, Mental	0.08329498022794724
trial_1	active	68	KG00099901	nauseas	0.08193399012088776
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.0813174918293953
trial_1	active	77	KG00098450	Constipation NOS	0.07781337201595306
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.07521818578243256
trial_1	active	177	KG00099299	hyperglycaemia	0.07458776235580444
trial_1	active	221	KG00101207	peripheral oedema	0.07018425315618515
trial_1	active	30	KG00099500	Acute Kidney Failure	0.06884808093309402
trial_1	active	114	KG00098933	fevers	0.06850138306617737
trial_1	active	17	KG00097991	Asthenia NOS	0.0684259906411171
trial_1	active	20	KG00098540	dehydration	0.0672769844532013
trial_1	active	49	KG00099902	nausea with vomiting	0.06355553865432739
trial_1	active	102	KG00097916	anxieties	0.062474574893713
trial_1	active	11	KG00097993	Asthma NOS	0.06194672733545303
trial_1	active	29	KG00099354	hyponatraemia	0.060650117695331573
trial_1	active	166	KG00099773	menopausal syndrome	0.05728839710354805
trial_1	active	228	KG00114657	Weight below normal	0.05687543377280235
trial_1	active	21	KG00098675	dyspnoea	0.05601143091917038
trial_1	active	180	KG00099363	Hypotension NOS	0.053760115057229996
trial_1	active	104	KG00097963	arthralgias	0.05324079841375351
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.05241461843252182
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.05175168067216873
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.0513019785284996
trial_1	active	147	KG00098000	atelectases	0.05112471431493759
trial_1	active	14	KG00097852	Anemia NOS	0.05040978640317917
trial_1	active	126	KG00100076	Pain NOS	0.048848871141672134
trial_1	active	123	KG00099351	hypokalaemia	0.048726655542850494
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.04745054617524147
trial_1	active	96	KG00101679	Unattended death NOS	0.043426670134067535
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.0432957261800766
trial_1	active	441	KG00098262	cellulitis nos	0.04296258091926575
trial_1	active	186	KG00101431	creatinine increased	0.0428958423435688
trial_1	active	37	KG00097696	Cramps, Abdominal	0.042887475341558456
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.041878681629896164
trial_1	active	46	KG00099121	Headache NOS	0.040752336382865906
trial_1	active	276	KG00099127	Arrest, Cardiac	0.04037962481379509
trial_1	active	15	KG00097882	Angina pectoris NOS	0.04032120481133461
trial_1	active	466	KG00101205	fall	0.040080197155475616
trial_1	active	31	KG00099872	Infarction, Myocardial	0.039334654808044434
trial_1	active	85	KG00098474	coughs	0.03845013678073883
trial_1	active	27	KG00099303	hyperkalaemia	0.03792509436607361
trial_1	active	18	KG00098307	Pain, Chest	0.037562597543001175
trial_1	active	271	KG00103813	reflex bradycardia	0.034970723092556
trial_1	active	269	KG00100399	pyaemia	0.03484207019209862
trial_1	active	139	KG00098855	Sinusitis, Ethmoid	0.03483455628156662
trial_1	active	101	KG00097901	Anorexia NOS	0.03356784209609032
trial_1	active	69	KG00100082	Palpitations NOS	0.03229447081685066
trial_1	active	118	KG00099011	Gastritis NOS	0.03214668855071068
trial_1	active	28	KG00099347	hypoglycaemia	0.031198222190141678
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.031149955466389656
trial_1	active	98	KG00097718	Incised wound, NOS	0.030515896156430244
trial_1	active	130	KG00100683	Stomatitis NOS	0.030226554721593857
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.0293662641197443
trial_1	active	297	KG00099294	hypercholesterolaemia	0.029194781556725502
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.029084408655762672
trial_1	active	239	KG00100128	pareses	0.029023490846157074
trial_1	active	200	KG00098539	Disorders, Deglutition	0.02890997752547264
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.028744874522089958
trial_1	active	121	KG00099190	haemorrhage	0.028697267174720764
trial_1	active	2	KG00100772	thrombocytopaenia	0.0283157080411911
trial_1	active	5	KG00099169	haematuria	0.02804979868233204
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.028029941022396088
trial_1	active	327	KG00098362	Chronic Bronchitis	0.027995262295007706
trial_1	active	364	KG00098196	Calculus of gallbladder without mention of cholecystitis	0.0275884922593832
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.0275687538087368
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.026744721457362175
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.02617119997739792
trial_1	active	142	KG00100923	Unspecified infectious and parasitic diseases	0.025998856872320175
trial_1	active	286	KG00101110	Retention, Urinary	0.025622978806495667
trial_1	active	19	KG00098331	Cholecystitis NOS	0.025362445041537285
trial_1	active	380	KG00099133	Heart failures	0.0251240786164999
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.025108182802796364
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.025018826127052307
trial_1	active	132	KG00101045	Gain, Weight	0.024962179362773895
trial_1	active	203	KG00098661	dysarthrias	0.02453891932964325
trial_1	active	243	KG00100947	Micturition frequency increased	0.024489689618349075
trial_1	active	191	KG00104055	Biliverdin increased	0.02436945214867592
trial_1	active	116	KG00098964	Pain in foot	0.024007685482501984
trial_1	active	25	KG00099134	congestive failures heart	0.022921372205018997
trial_1	active	310	KG00097940	Appendicitis NOS	0.022880302742123604
trial_1	active	661	KG00101056	Laceration(s)	0.02261720597743988
trial_1	active	366	KG00098275	Attack, Transient Ischemic	0.022487524896860123
trial_1	active	454	KG00098286	Pain, Neck	0.0220978781580925
trial_1	active	618	KG00099164	haematoma	0.020987046882510185
trial_1	active	204	KG00098849	Esophagitis, Peptic	0.020066991448402405
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.019993728026747704
trial_1	active	179	KG00099342	hypocalcaemia	0.01979878544807434
trial_1	active	66	KG00098642	drowsiness	0.019722502678632736
trial_1	active	35	KG00101507	hypomagnesaemia	0.019538622349500656
trial_1	active	456	KG00099420	Influenzae	0.019364995881915092
trial_1	active	94	KG00103829	abdominal discomfort	0.019277146086096764
trial_1	active	212	KG00100576	shivers	0.019051874056458473
trial_1	active	136	KG00101582	Dry;skin	0.019020430743694305
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
