trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.5473388433456421
trial_1	active	9	KG00098432	Confusion NOS	0.30274268984794617
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.2716221213340759
trial_1	active	20	KG00098540	dehydration	0.2654998302459717
trial_1	active	30	KG00099500	Acute Kidney Failure	0.25839927792549133
trial_1	active	151	KG00098274	Infarction, Cerebral	0.25179755687713623
trial_1	active	49	KG00099902	nausea with vomiting	0.22958140075206757
trial_1	active	78	KG00099326	Hypertensive diseases	0.2182859629392624
trial_1	active	68	KG00099901	nauseas	0.20551593601703644
trial_1	active	77	KG00098450	Constipation NOS	0.20290778577327728
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.2003568857908249
trial_1	active	114	KG00098933	fevers	0.19759312272071838
trial_1	active	123	KG00099351	hypokalaemia	0.19699957966804504
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.19607287645339966
trial_1	active	228	KG00114657	Weight below normal	0.19541889429092407
trial_1	active	180	KG00099363	Hypotension NOS	0.19425910711288452
trial_1	active	29	KG00099354	hyponatraemia	0.19343233108520508
trial_1	active	211	KG00100341	Pruritus NOS	0.1834183931350708
trial_1	active	130	KG00100683	Stomatitis NOS	0.18090075254440308
trial_1	active	269	KG00100399	pyaemia	0.16751393675804138
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.16677822172641754
trial_1	active	441	KG00098262	cellulitis nos	0.16445881128311157
trial_1	active	37	KG00097696	Cramps, Abdominal	0.160847470164299
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.15880423784255981
trial_1	active	86	KG00098565	Depression, Mental	0.15701961517333984
trial_1	active	221	KG00101207	peripheral oedema	0.15270428359508514
trial_1	active	17	KG00097991	Asthenia NOS	0.14818303287029266
trial_1	active	177	KG00099299	hyperglycaemia	0.14057454466819763
trial_1	active	147	KG00098000	atelectases	0.1397818624973297
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.1368723064661026
trial_1	active	14	KG00097852	Anemia NOS	0.1365177035331726
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.1359683871269226
trial_1	active	2	KG00100772	thrombocytopaenia	0.13482877612113953
trial_1	active	102	KG00097916	anxieties	0.13088776171207428
trial_1	active	35	KG00101507	hypomagnesaemia	0.12954899668693542
trial_1	active	276	KG00099127	Arrest, Cardiac	0.12938342988491058
trial_1	active	79	KG00100317	Insomnia, Primary	0.12918666005134583
trial_1	active	27	KG00099303	hyperkalaemia	0.12706854939460754
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.12005642056465149
trial_1	active	257	KG00100922	Erythema NOS	0.11918912827968597
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.11175955832004547
