trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.414721816778183
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.41053110361099243
trial_1	active	78	KG00099326	Hypertensive diseases	0.3515477180480957
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.3322724401950836
trial_1	active	77	KG00098450	Constipation NOS	0.3240068256855011
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.3159836530685425
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.31473833322525024
trial_1	active	151	KG00098274	Infarction, Cerebral	0.295661598443985
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.2943957448005676
trial_1	active	9	KG00098432	Confusion NOS	0.29258567094802856
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.28706154227256775
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.2862415611743927
trial_1	active	30	KG00099500	Acute Kidney Failure	0.27596497535705566
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.2531823515892029
trial_1	active	211	KG00100341	Pruritus NOS	0.2527287006378174
trial_1	active	11	KG00097993	Asthma NOS	0.24361218512058258
trial_1	active	114	KG00098933	fevers	0.22696302831172943
trial_1	active	186	KG00101431	creatinine increased	0.22056114673614502
trial_1	active	221	KG00101207	peripheral oedema	0.22013553977012634
trial_1	active	37	KG00097696	Cramps, Abdominal	0.20694148540496826
trial_1	active	102	KG00097916	anxieties	0.20452377200126648
trial_1	active	297	KG00099294	hypercholesterolaemia	0.20124384760856628
trial_1	active	20	KG00098540	dehydration	0.19920200109481812
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.1966930627822876
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.18199367821216583
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.1790902018547058
trial_1	active	130	KG00100683	Stomatitis NOS	0.17852067947387695
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.17261970043182373
trial_1	active	466	KG00101205	fall	0.17073126137256622
trial_1	active	441	KG00098262	cellulitis nos	0.1696619987487793
trial_1	active	79	KG00100317	Insomnia, Primary	0.1693028211593628
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.1690828800201416
