trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.36030715703964233
trial_1	active	30	KG00099500	Acute Kidney Failure	0.3269408345222473
trial_1	active	9	KG00098432	Confusion NOS	0.2876579761505127
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.2870926558971405
trial_1	active	87	KG00098599	diarrhoea	0.28527918457984924
trial_1	active	221	KG00101207	peripheral oedema	0.25988247990608215
trial_1	active	151	KG00098274	Infarction, Cerebral	0.25092145800590515
trial_1	active	49	KG00099902	nausea with vomiting	0.24672751128673553
trial_1	active	78	KG00099326	Hypertensive diseases	0.24558047950267792
trial_1	active	180	KG00099363	Hypotension NOS	0.24432779848575592
trial_1	active	68	KG00099901	nauseas	0.236395925283432
trial_1	active	77	KG00098450	Constipation NOS	0.22681932151317596
trial_1	active	20	KG00098540	dehydration	0.21741415560245514
trial_1	active	269	KG00100399	pyaemia	0.21083560585975647
trial_1	active	276	KG00099127	Arrest, Cardiac	0.20836660265922546
trial_1	active	211	KG00100341	Pruritus NOS	0.20444652438163757
trial_1	active	114	KG00098933	fevers	0.19793015718460083
trial_1	active	123	KG00099351	hypokalaemia	0.19366846978664398
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.19339662790298462
trial_1	active	11	KG00097993	Asthma NOS	0.1931532621383667
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.18685530126094818
trial_1	active	102	KG00097916	anxieties	0.18460333347320557
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.17686663568019867
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.17038306593894958
trial_1	active	14	KG00097852	Anemia NOS	0.160892054438591
trial_1	active	147	KG00098000	atelectases	0.16074500977993011
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.15765893459320068
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.15596593916416168
trial_1	active	441	KG00098262	cellulitis nos	0.15548527240753174
trial_1	active	29	KG00099354	hyponatraemia	0.1549559384584427
trial_1	active	21	KG00098675	dyspnoea	0.15289364755153656
trial_1	active	27	KG00099303	hyperkalaemia	0.14375291764736176
trial_1	active	713	KG00107657	distressed respiratory	0.1427771896123886
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.14235225319862366
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.13479311764240265
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.13415278494358063
trial_1	active	79	KG00100317	Insomnia, Primary	0.13349021971225739
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.1294938176870346
trial_1	active	86	KG00098565	Depression, Mental	0.1294204443693161
trial_1	active	466	KG00101205	fall	0.12835265696048737
trial_1	active	177	KG00099299	hyperglycaemia	0.12651556730270386
trial_1	active	186	KG00101431	creatinine increased	0.12366493046283722
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.1233472228050232
trial_1	active	37	KG00097696	Cramps, Abdominal	0.11975612491369247
trial_1	active	69	KG00100082	Palpitations NOS	0.1196291595697403
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.11664146929979324
trial_1	active	31	KG00099872	Infarction, Myocardial	0.11658463627099991
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.11321406811475754
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.11203795671463013
trial_1	active	661	KG00101056	Laceration(s)	0.11168323457241058
trial_1	active	17	KG00097991	Asthenia NOS	0.10793264210224152
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.10729645192623138
trial_1	active	130	KG00100683	Stomatitis NOS	0.10503633320331573
trial_1	active	228	KG00114657	Weight below normal	0.10121923685073853
trial_1	active	35	KG00101507	hypomagnesaemia	0.10106652230024338
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.10042141377925873
trial_1	active	237	KG00099189	haemoptysis	0.09973685443401337
trial_1	active	398	KG00100580	Shock, Septic	0.09857771545648575
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.0976719781756401
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.09588660299777985
trial_1	active	271	KG00103813	reflex bradycardia	0.09476624429225922
trial_1	active	5	KG00099169	haematuria	0.0946027934551239
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.09420502185821533
trial_1	active	488	KG00098167	Bronchospasm NOS	0.09408842772245407
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.09321535378694534
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.09273635596036911
trial_1	active	85	KG00098474	coughs	0.0918659195303917
trial_1	active	66	KG00098642	drowsiness	0.09014444798231125
trial_1	active	380	KG00099133	Heart failures	0.08968892693519592
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.0895572155714035
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.08828512579202652
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.0871574729681015
trial_1	active	25	KG00099134	congestive failures heart	0.08701266348361969
trial_1	active	15	KG00097882	Angina pectoris NOS	0.08610249310731888
trial_1	active	2	KG00100772	thrombocytopaenia	0.08483893424272537
trial_1	active	104	KG00097963	arthralgias	0.0847909152507782
trial_1	active	126	KG00100076	Pain NOS	0.08295075595378876
trial_1	active	200	KG00098539	Disorders, Deglutition	0.08224412053823471
trial_1	active	327	KG00098362	Chronic Bronchitis	0.08044371008872986
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.08018924295902252
trial_1	active	96	KG00101679	Unattended death NOS	0.0792960450053215
trial_1	active	101	KG00097901	Anorexia NOS	0.07858974486589432
trial_1	active	118	KG00099011	Gastritis NOS	0.07857426255941391
trial_1	active	28	KG00099347	hypoglycaemia	0.07820508629083633
trial_1	active	239	KG00100128	pareses	0.0769391730427742
trial_1	active	191	KG00104055	Biliverdin increased	0.07576151192188263
trial_1	active	450	KG00101442	anasarca	0.07574695348739624
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.07527661323547363
trial_1	active	46	KG00099121	Headache NOS	0.07524579018354416
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.0749640092253685
