trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.3098208010196686
trial_1	active	9	KG00098432	Confusion NOS	0.28973737359046936
trial_1	active	151	KG00098274	Infarction, Cerebral	0.28218182921409607
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.2106713503599167
trial_1	active	30	KG00099500	Acute Kidney Failure	0.20902037620544434
trial_1	active	180	KG00099363	Hypotension NOS	0.18899992108345032
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.1789589673280716
trial_1	active	78	KG00099326	Hypertensive diseases	0.17199765145778656
trial_1	active	77	KG00098450	Constipation NOS	0.16721640527248383
trial_1	active	221	KG00101207	peripheral oedema	0.1581227332353592
trial_1	active	20	KG00098540	dehydration	0.15574832260608673
trial_1	active	102	KG00097916	anxieties	0.15275278687477112
trial_1	active	123	KG00099351	hypokalaemia	0.13537326455116272
trial_1	active	269	KG00100399	pyaemia	0.13298526406288147
trial_1	active	49	KG00099902	nausea with vomiting	0.13079756498336792
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.11802567541599274
trial_1	active	276	KG00099127	Arrest, Cardiac	0.1179889664053917
trial_1	active	228	KG00114657	Weight below normal	0.11252539604902267
trial_1	active	29	KG00099354	hyponatraemia	0.1122889593243599
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.112080417573452
trial_1	active	441	KG00098262	cellulitis nos	0.11054964363574982
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.10954662412405014
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.10907629877328873
trial_1	active	11	KG00097993	Asthma NOS	0.10900931805372238
trial_1	active	147	KG00098000	atelectases	0.10871496796607971
trial_1	active	114	KG00098933	fevers	0.10567071288824081
trial_1	active	211	KG00100341	Pruritus NOS	0.10526589304208755
trial_1	active	68	KG00099901	nauseas	0.10428103059530258
trial_1	active	14	KG00097852	Anemia NOS	0.10238638520240784
trial_1	active	35	KG00101507	hypomagnesaemia	0.10075771808624268
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.0982413962483406
trial_1	active	37	KG00097696	Cramps, Abdominal	0.09416824579238892
trial_1	active	86	KG00098565	Depression, Mental	0.09381164610385895
trial_1	active	27	KG00099303	hyperkalaemia	0.093060202896595
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.09217142313718796
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.09213065356016159
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.0914774090051651
