trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.3178187310695648
trial_1	active	30	KG00099500	Acute Kidney Failure	0.22435621917247772
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.20500187575817108
trial_1	active	269	KG00100399	pyaemia	0.16695180535316467
trial_1	active	151	KG00098274	Infarction, Cerebral	0.16386255621910095
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.16212980449199677
trial_1	active	276	KG00099127	Arrest, Cardiac	0.16098183393478394
trial_1	active	9	KG00098432	Confusion NOS	0.15969403088092804
trial_1	active	147	KG00098000	atelectases	0.146623432636261
trial_1	active	211	KG00100341	Pruritus NOS	0.14330077171325684
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.14065386354923248
trial_1	active	180	KG00099363	Hypotension NOS	0.12491857260465622
trial_1	active	49	KG00099902	nausea with vomiting	0.12474698573350906
trial_1	active	78	KG00099326	Hypertensive diseases	0.12320803105831146
trial_1	active	68	KG00099901	nauseas	0.12101352214813232
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.11950530856847763
trial_1	active	123	KG00099351	hypokalaemia	0.11783415824174881
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.11641766130924225
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.11518623679876328
trial_1	active	114	KG00098933	fevers	0.11024647951126099
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.10243622213602066
trial_1	active	20	KG00098540	dehydration	0.100045345723629
trial_1	active	77	KG00098450	Constipation NOS	0.09793511778116226
trial_1	active	37	KG00097696	Cramps, Abdominal	0.09649379551410675
trial_1	active	31	KG00099872	Infarction, Myocardial	0.09429068863391876
trial_1	active	441	KG00098262	cellulitis nos	0.0899684727191925
trial_1	active	221	KG00101207	peripheral oedema	0.08731355518102646
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.08600851893424988
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.08287616819143295
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.08069417625665665
trial_1	active	713	KG00107657	distressed respiratory	0.08062408119440079
trial_1	active	14	KG00097852	Anemia NOS	0.08007129281759262
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.07751341164112091
trial_1	active	102	KG00097916	anxieties	0.07456725835800171
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.0743107721209526
trial_1	active	130	KG00100683	Stomatitis NOS	0.07417471706867218
trial_1	active	35	KG00101507	hypomagnesaemia	0.07385669648647308
trial_1	active	186	KG00101431	creatinine increased	0.07223449647426605
trial_1	active	27	KG00099303	hyperkalaemia	0.07032766193151474
trial_1	active	398	KG00100580	Shock, Septic	0.07020285725593567
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.0655801072716713
trial_1	active	237	KG00099189	haemoptysis	0.0636533796787262
trial_1	active	79	KG00100317	Insomnia, Primary	0.06196459382772446
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.061484336853027344
trial_1	active	11	KG00097993	Asthma NOS	0.0610719732940197
trial_1	active	21	KG00098675	dyspnoea	0.06056389957666397
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.06025819480419159
trial_1	active	29	KG00099354	hyponatraemia	0.05964576452970505
trial_1	active	177	KG00099299	hyperglycaemia	0.05828193947672844
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.05707661807537079
trial_1	active	2	KG00100772	thrombocytopaenia	0.0570058710873127
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.056772179901599884
trial_1	active	488	KG00098167	Bronchospasm NOS	0.056273140013217926
trial_1	active	5	KG00099169	haematuria	0.05624764412641525
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.055189039558172226
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.05271109566092491
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.0519217848777771
trial_1	active	69	KG00100082	Palpitations NOS	0.05024480074644089
trial_1	active	46	KG00099121	Headache NOS	0.04939427226781845
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.049295686185359955
trial_1	active	191	KG00104055	Biliverdin increased	0.04896204173564911
trial_1	active	228	KG00114657	Weight below normal	0.04895339161157608
trial_1	active	661	KG00101056	Laceration(s)	0.04822347313165665
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.04726346209645271
trial_1	active	86	KG00098565	Depression, Mental	0.04646262526512146
trial_1	active	234	KG00098669	dysgeusias	0.04335712641477585
trial_1	active	15	KG00097882	Angina pectoris NOS	0.0427587665617466
trial_1	active	4	KG00098817	epistaxis	0.04244989529252052
trial_1	active	149	KG00100192	phlebitides	0.042136941105127335
trial_1	active	25	KG00099134	congestive failures heart	0.0414222776889801
trial_1	active	101	KG00097901	Anorexia NOS	0.04116658866405487
trial_1	active	522	KG00100078	Postoperative Pain	0.0408659502863884
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.04017047956585884
trial_1	active	380	KG00099133	Heart failures	0.04001615196466446
trial_1	active	202	KG00098630	Disturbance of Skin Sensation	0.039435677230358124
trial_1	active	96	KG00101679	Unattended death NOS	0.038299743086099625
trial_1	active	94	KG00103829	abdominal discomfort	0.0379057452082634
trial_1	active	17	KG00097991	Asthenia NOS	0.037904173135757446
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.03768766671419144
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.03763061761856079
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.03696664795279503
trial_1	active	179	KG00099342	hypocalcaemia	0.036694083362817764
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.03658086806535721
trial_1	active	327	KG00098362	Chronic Bronchitis	0.03643134608864784
trial_1	active	219	KG00101049	Wheezes	0.036375947296619415
trial_1	active	150	KG00098201	candidiases	0.03623656556010246
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.03621780872344971
trial_1	active	547	KG00099240	herpes; labialis	0.03608844429254532
trial_1	active	85	KG00098474	coughs	0.036074213683605194
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.03520262986421585
trial_1	active	271	KG00103813	reflex bradycardia	0.03517083078622818
trial_1	active	257	KG00100922	Erythema NOS	0.0351407565176487
trial_1	active	282	KG00099309	hypernatraemia	0.0338597409427166
trial_1	active	164	KG00108827	ileus colon	0.03382381051778793
trial_1	active	288	KG00101223	hypophosphataemia	0.03326884284615517
trial_1	active	503	KG00102612	low haemoglobin	0.03324631229043007
trial_1	active	723	KG00098573	Dermatitis, Contact	0.03268309682607651
trial_1	active	264	KG00098627	Coagulation, Intravascular Disseminated	0.03249730169773102
trial_1	active	517	KG00097965	Gouty Arthritis	0.03205319866538048
trial_1	active	270	KG00101499	Haemorrhage pulmonary	0.03203228488564491
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
