trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.44255533814430237
trial_1	active	9	KG00098432	Confusion NOS	0.3696005642414093
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.3645746111869812
trial_1	active	30	KG00099500	Acute Kidney Failure	0.3509688675403595
trial_1	active	78	KG00099326	Hypertensive diseases	0.3370317220687866
trial_1	active	211	KG00100341	Pruritus NOS	0.3333367705345154
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.3280767798423767
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.31791603565216064
trial_1	active	20	KG00098540	dehydration	0.30063313245773315
trial_1	active	77	KG00098450	Constipation NOS	0.2997351884841919
trial_1	active	102	KG00097916	anxieties	0.29863977432250977
trial_1	active	151	KG00098274	Infarction, Cerebral	0.2907584309577942
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.2903343737125397
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.26264551281929016
trial_1	active	49	KG00099902	nausea with vomiting	0.26131799817085266
trial_1	active	221	KG00101207	peripheral oedema	0.2591218054294586
trial_1	active	114	KG00098933	fevers	0.25610536336898804
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.2512219548225403
trial_1	active	68	KG00099901	nauseas	0.24826310575008392
trial_1	active	123	KG00099351	hypokalaemia	0.23761694133281708
trial_1	active	11	KG00097993	Asthma NOS	0.21765045821666718
trial_1	active	180	KG00099363	Hypotension NOS	0.21636874973773956
trial_1	active	228	KG00114657	Weight below normal	0.21096627414226532
trial_1	active	441	KG00098262	cellulitis nos	0.2080969363451004
trial_1	active	37	KG00097696	Cramps, Abdominal	0.20467032492160797
trial_1	active	269	KG00100399	pyaemia	0.20167382061481476
trial_1	active	29	KG00099354	hyponatraemia	0.20057980716228485
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.19990873336791992
trial_1	active	661	KG00101056	Laceration(s)	0.1935628205537796
trial_1	active	466	KG00101205	fall	0.19063416123390198
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.19032005965709686
trial_1	active	86	KG00098565	Depression, Mental	0.18682174384593964
trial_1	active	147	KG00098000	atelectases	0.18386919796466827
trial_1	active	79	KG00100317	Insomnia, Primary	0.1836317777633667
trial_1	active	21	KG00098675	dyspnoea	0.18359443545341492
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.18118837475776672
trial_1	active	104	KG00097963	arthralgias	0.17584507167339325
trial_1	active	27	KG00099303	hyperkalaemia	0.17521889507770538
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.16935570538043976
trial_1	active	177	KG00099299	hyperglycaemia	0.16728311777114868
trial_1	active	14	KG00097852	Anemia NOS	0.16593894362449646
trial_1	active	186	KG00101431	creatinine increased	0.16520196199417114
trial_1	active	17	KG00097991	Asthenia NOS	0.16268640756607056
trial_1	active	276	KG00099127	Arrest, Cardiac	0.16204456984996796
trial_1	active	239	KG00100128	pareses	0.15274177491664886
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.1520264595746994
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.150582954287529
trial_1	active	5	KG00099169	haematuria	0.14944815635681152
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.1465068906545639
trial_1	active	98	KG00097718	Incised wound, NOS	0.14527736604213715
trial_1	active	69	KG00100082	Palpitations NOS	0.1444961279630661
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.14155371487140656
trial_1	active	85	KG00098474	coughs	0.1387632042169571
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.13662509620189667
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.13494674861431122
trial_1	active	261	KG00101559	raised alkaline phosphatase	0.13355951011180878
trial_1	active	101	KG00097901	Anorexia NOS	0.1331021785736084
trial_1	active	271	KG00103813	reflex bradycardia	0.13291916251182556
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.13282859325408936
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.13259579241275787
trial_1	active	522	KG00100078	Postoperative Pain	0.13256563246250153
trial_1	active	454	KG00098286	Pain, Neck	0.13182185590267181
trial_1	active	470	KG00098567	dermabrasions	0.1281834840774536
trial_1	active	15	KG00097882	Angina pectoris NOS	0.12809139490127563
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.1268606334924698
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.12654250860214233
trial_1	active	35	KG00101507	hypomagnesaemia	0.12573082745075226
trial_1	active	31	KG00099872	Infarction, Myocardial	0.1249631717801094
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.12442990392446518
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.12309850752353668
trial_1	active	130	KG00100683	Stomatitis NOS	0.12208165973424911
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.12114141881465912
trial_1	active	456	KG00099420	Influenzae	0.12112493067979813
trial_1	active	118	KG00099011	Gastritis NOS	0.11934082955121994
trial_1	active	126	KG00100076	Pain NOS	0.11839219927787781
trial_1	active	204	KG00098849	Esophagitis, Peptic	0.1180092990398407
trial_1	active	286	KG00101110	Retention, Urinary	0.11795645207166672
trial_1	active	200	KG00098539	Disorders, Deglutition	0.11690086871385574
trial_1	active	478	KG00103778	antalgic gait	0.11656444519758224
trial_1	active	212	KG00100576	shivers	0.11626805365085602
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.11596401780843735
trial_1	active	351	KG00107159	Maculopapular Lesion	0.1156761422753334
trial_1	active	489	KG00099244	Herpes zoster disease	0.11563748866319656
trial_1	active	94	KG00103829	abdominal discomfort	0.1142120435833931
trial_1	active	179	KG00099342	hypocalcaemia	0.11387401819229126
trial_1	active	191	KG00104055	Biliverdin increased	0.11284902691841125
trial_1	active	38	KG00098066	Binocular vision disorders	0.11208262294530869
trial_1	active	136	KG00101582	Dry;skin	0.10989334434270859
trial_1	active	713	KG00107657	distressed respiratory	0.10970223695039749
trial_1	active	97	KG00104198	LIVER ENZYME ELEVATED	0.10952529311180115
trial_1	active	547	KG00099240	herpes; labialis	0.10902412980794907
trial_1	active	364	KG00098196	Calculus of gallbladder without mention of cholecystitis	0.10862071067094803
trial_1	active	139	KG00098855	Sinusitis, Ethmoid	0.10817033052444458
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.1071162223815918
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.10652638971805573
trial_1	active	652	KG00100662	Sputums	0.10483602434396744
trial_1	active	379	KG00099120	Trauma, Craniocerebral	0.10308690369129181
trial_1	active	237	KG00099189	haemoptysis	0.10016295313835144
trial_1	active	371	KG00098517	Cystitis (NOS)	0.0986914187669754
trial_1	active	116	KG00098964	Pain in foot	0.09862172603607178
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
trial_2	control	11	KG00097993	Asthma NOS	0.12974649667739868
trial_2	control	494	KG00099838	Organ Failure, Multiple	0.1287405639886856
trial_2	control	396	KG00100373	Embolism, Pulmonary	0.12624897062778473
